,Close,High,Low,Open,psUnix
0,0,0,0,0,1620241200
1,340256786540325233929710090404719700000,340256786540325233929710090404719700000,0,0,1620270000
2,340256786540325233929710090404719700000,340256786540325233929710090404719700000,340256786540325233929710090404719700000,340256786540325233929710090404719700000,1620277200
3,340256786540325233929710090404719700000,340256786540325233929710090404719700000,340256786540325233929710090404719700000,340256786540325233929710090404719700000,1620288000
4,340256786540325233929710090404719700000,340256786540325233929710090404719700000,340256786540325233929710090404719700000,340256786540325233929710090404719700000,1620316800
5,1436654051.743137603846168309243936,340256786540325233929710090404719700000,1436654051.743137603846168309243936,340256786540325233929710090404719700000,1620385200
6,1436414664.865550685321822108692821,1436414664.865550685321822108692821,1436414664.865550685321822108692821,1436414664.865550685321822108692821,1620392400
7,1436315361.586755156665473494016537,1436414664.865550685321822108692821,1436315361.586755156665473494016537,1436414664.865550685321822108692821,1620396000
8,1411404310.110588797845409907840825,1413733350.277329323495991929175107,1411404310.110588797845409907840825,1413733350.277329323495991929175107,1620399600
9,1168786536.625667383737621552178326,1294960808.065524501734125837110444,1118302168.762891990366901237144555,1294960808.065524501734125837110444,1620403200
10,1232864778.863162178403319465226182,1370825186.013425022983427541045909,1174820281.250782040758572622246623,1345437433.199417440523409278316259,1620406800
11,1270957847.339593652372648989960382,1344954264.073732034775320749701068,1219906845.849841264493374621682787,1230755519.950196688084828378874311,1620410400
12,1235538083.64028682164778570722581,1322161451.932342874658635305985128,1200215191.415318250847044925391374,1298885058.412533048662209672094495,1620414000
13,1183571145.565675206499846697803191,1267391548.774928195235073395189648,1170049680.635315400161568680316527,1225878156.400190024697540292770606,1620417600
14,1260294681.976968773260134290681241,1295572646.927273494858442824970833,1179615240.9402224602586025515522,1181586354.916939147227532801189489,1620421200
15,1425732243.80825330081842109469027,1462013314.140720068390934019937869,1252718718.99120911707558965058374,1255747055.475023988042017886630802,1620424800
16,1246457131.95607119586217986535743,1490234508.933879957918437008969497,1224788145.526313176223129580153968,1420724149.781191609224632020836996,1620428400
17,1132819093.71335931641337038008917,1275830143.025865459038820765231371,1100918525.387335709814305057434033,1245049265.039842411498749899580216,1620432000
18,948071570.2261716465235832369078525,1157841926.483126919308075743136013,867977497.8279008500247734533684713,1132508014.039719792135084939986937,1620435600
