,Close,High,Low,Open,psUnix
0,1996369811.161107429004684200487519,2231045429.333729296924787965989526,0,0,1620244800
1,1945520883.011257252188736004798163,2056546746.472572346793384602592263,1789071136.340115802970564587201594,1811190100.525959544749238881722145,1620248400
2,1975461784.123811959531254607286723,2013451090.991156402542318506400706,1943267084.287412962783636039104669,1943267084.287412962783636039104669,1620252000
3,2006258875.903091983587203749563492,2013169148.978692673307249678845211,1952731481.782663057435977044346508,1974979837.513879244224028895229932,1620255600
4,2013643406.89423337099079095290754,2135727652.118873382503295326064915,1983264540.981595330549672324902887,2004274082.860886753808758427490386,1620259200
5,2034636525.754528066490042780360488,2107015264.580853165513454049002825,1989884337.497893784137766483289759,2010677601.759157562104645120921481,1620262800
6,1966817423.030255721323891082511114,2082933638.839281333839987887811627,1966817423.030255721323891082511114,2025963654.977399793307527224294342,1620266400
7,2012117254.6677614507899605537534,2036606438.280538445865552082507445,1968822331.117199647956748895407862,1971912490.895434853591153947916844,1620270000
8,2027605424.682556806198113147952786,2041445594.801193098607145650402935,1966705647.992432227063575286036731,2000475518.370491096117869103597615,1620273600
9,1984721700.34170802461700861603259,2031012908.898377201045285929874338,1948723925.336620940138377991068913,2028970971.98296450010184925973587,1620277200
10,1970644695.012948958481279872329761,2015180532.095155430418553358766833,1943768964.631160762689198196553084,1988180688.216369606542014447565524,1620280800
11,2064205780.979191791656089725899005,2111777067.507830441136958002356913,1979130038.596576889679001923999755,2000026344.962715850110792483440339,1620284400
12,2029655601.760564978114972445349687,2079426958.969175102139329830339131,2021884195.103973093726388555240335,2044970911.661414043410953782640791,1620288000
13,2091796947.480014984821264731877577,2099232226.320916205905756239022548,2030389822.064466389518326097923735,2031362017.346479895685270425272139,1620291600
14,2166376965.384548324127487900502145,2306971652.562281952975330251233257,2060144441.287143361107463668394614,2091364566.637161224882433218829245,1620295200
15,2101525092.608444005575395493807565,2206620636.328427684485918091522642,2078803277.575106187294264350877037,2184330693.143252776019479189121332,1620298800
16,2149012241.636579053194112200964361,2209209218.237422636247456698187585,2064209844.905788662960695387637729,2171459777.353432101343972405188445,1620302400
17,2182290992.086724693327788886666107,2183108749.377954440410161675995512,2098799521.84995456675776457381071,2147087307.640022112730011664760075,1620306000
18,2156897294.971683481666435602907869,2209555621.729893970490730515678759,2148356311.947095265366397706760291,2177934899.12388156397636279549791,1620309600
19,2166961450.439813932219254007877088,2174893432.938454161907110126749574,2147813938.794180396879443131870208,2156520638.139636982448787839017579,1620313200
20,2290090145.784144983528585400320516,2300451635.156813123784313078712825,2165337235.909965431066579179791593,2166839740.327683009534611585591386,1620316800
21,2271309514.665992025831544850614472,2297529426.413968990633573475963739,2256399833.704694023595857492034406,2295545209.659806560407345274792906,1620320400
22,2341766630.930124851180082662538282,2418350299.141611100214125084538619,2253323887.278621898494941327346581,2271138352.252626062969253993988653,1620324000
23,2206688452.097363925710910118603826,2338942741.195407420612810025436014,2120774287.274844839214846535644716,2338942741.195407420612810025436014,1620327600
24,2194699012.935803548517501945936252,2206705587.094315302089375085692295,2186588423.92467536323659702829115,2206648287.266857907889938986002226,1620331200
25,2242378109.787303541957029349657427,2243560261.750431613255063935777219,2166741571.609501761668683364975503,2194221029.236112669282380541144859,1620334800
26,2254074939.692768660659500642814841,2256279541.005637721409595787645167,2235588448.368910500826999646651483,2241499096.87675383306585576122846,1620338400
27,2292724743.005046200992333840541993,2298939174.931748812100831576952845,2255462589.734547431064106282543327,2256422636.961556237569735875174412,1620342000
28,2264004377.822863049166456592644565,2291692124.377347969779874934435415,2263638977.591187536097453283587533,2291692124.377347969779874934435415,1620345600
29,2282516520.032645838471310810552968,2285569605.601589443412206133801158,2263547970.984801772636879273118622,2263839429.980042651446693854620712,1620349200
30,2424759182.262219156876487269549166,2458086353.773558323241714142496858,2281359127.443455356812282465006511,2282475078.798621180205209864598733,1620352800
31,2388213821.718135093470821748196688,2424750218.609066284917324566268818,2388213821.718135093470821748196688,2424750218.609066284917324566268818,1620356400
32,2374710705.15945640822780295064857,2388168521.728304919474825258589582,2372416689.573690807497617978847528,2388168521.728304919474825258589582,1620360000
33,2365119904.612330084433063986396071,2374709894.66437204409010603932422,2356632346.217667631768009128385925,2374709894.66437204409010603932422,1620363600
34,1699337728.800723941930993162593827,2372888613.240968683406645087560846,1699337728.800723941930993162593827,2365072132.93697585167973012183254,1620367200
35,1438293335.954658414298669182011079,2007648816.361218862631295929616851,1102784285.917486746030481654986021,1698056460.739439448972261366369648,1620370800
36,1583462135.222823233251955652667936,1846505644.302223382605629143496167,1430723511.036579056305857309882612,1448381754.2305940776642031076739,1620374400
37,1590864921.169528795891324807688739,1798995604.266742940943697594200372,1505002517.101481180859224668055251,1589633325.464753167172470678287122,1620378000
