,liquidityGross,liquidityNet,tickIdx
0,0,0,222900
1,0,0,230280
2,0,0,243600
3,0,0,244140
4,0,0,245760
5,61957753203033,61957753203033,246360
6,41626664603698,41626664603698,247980
7,0,0,248160
8,14142008632336,14142008632336,248820
9,0,0,249180
10,32988256924244,32988256924244,249840
11,15832498052289,15832498052289,249960
12,14490411768731,14490411768731,250140
13,4507895852034,4507895852034,250620
14,3352148450642,3352148450642,250800
15,246818053116625,246818053116625,250920
16,0,0,251040
17,95260661808536,95260661808536,251160
18,0,0,251340
19,0,0,252180
20,2746743059187,2746743059187,252300
21,257525878507650,257525878507650,252480
22,0,0,252600
23,41783060859819,41783060859819,252720
24,0,0,252900
25,0,0,253080
26,0,0,253200
27,292492150603341,292492150603341,253320
28,4108028930016283,3614392823783033,253440
29,0,0,253560
30,19742255483121,19742255483121,253920
31,0,0,254100
32,0,0,254160
33,30506230340803,30506230340803,254280
34,0,0,254340
35,0,0,254760
36,0,0,254880
37,14142008632336,-14142008632336,255000
38,0,0,255120
39,0,0,255540
40,0,0,255600
41,23087249852015,23087249852015,255660
42,0,0,255900
43,57919927201396,-8056586647092,256080
44,0,0,256140
45,96602035223800,96602035223800,256200
46,0,0,256260
47,0,0,256320
48,274746541406,274746541406,256380
49,337387570801186,337387570801186,256440
50,0,0,256500
51,144948798519,144948798519,256680
52,0,0,256800
53,0,0,256860
54,437536659771417,437536659771417,256920
55,0,0,256980
56,0,0,257100
57,0,0,257160
58,29290148596785,29290148596785,257220
59,3941781236228151,3941781236228151,257280
60,0,0,257340
61,0,0,257400
62,834647524722479,-834647524722479,257460
63,42899655271162,42899655271162,257520
64,0,0,257580
65,0,0,257640
66,0,0,257700
67,0,0,257760
68,0,0,257820
69,257525878507650,-257525878507650,257880
70,42564511864911,42564511864911,257940
71,509850647341316,509850647341316,258000
72,665598272477,665598272477,258060
73,0,0,258180
74,0,0,258240
75,0,0,258300
76,41626664603698,-41626664603698,258360
77,0,0,258420
78,43587803544422,-42211506997902,258600
79,0,0,258660
80,0,0,258720
81,0,0,258780
82,0,0,258840
83,0,0,258900
84,0,0,259020
85,0,0,259080
86,0,0,259140
87,0,0,259200
88,0,0,259260
89,0,0,259320
90,0,0,259380
91,0,0,259440
92,95260661808536,-95260661808536,259500
93,0,0,259560
94,0,0,259620
95,437536659771417,-437536659771417,259680
96,0,0,259740
97,751866312482982,666737288753160,259800
98,0,0,259860
99,0,0,259980
100,11798141501544,11798141501544,260040
101,0,0,260100
102,0,0,260160
103,18922436078674,-12742560025904,260220
104,665598272477,-665598272477,260280
105,0,0,260460
106,0,0,260520
107,136140618850653,136140618850653,260580
108,0,0,260640
109,0,0,260700
110,0,0,260760
111,0,0,260820
112,0,0,260880
113,0,0,260940
114,1943382456994,1943382456994,261000
115,0,0,261060
116,0,0,261120
117,0,0,261180
118,0,0,261240
119,0,0,261300
120,32401634333949,32401634333949,261360
121,3107133711505672,-3107133711505672,261420
122,0,0,261480
123,0,0,261540
124,5908569423857,5908569423857,261600
125,0,0,261660
126,2208975166924,2208975166924,261720
127,0,0,261780
128,0,0,261840
129,0,0,261900
130,0,0,261960
131,0,0,262020
132,0,0,262080
133,0,0,262140
134,9410009485167,9410009485167,262200
135,0,0,262260
136,4631067569254525,4570055108572919,262320
137,0,0,262380
138,463279754621771,-463279754621771,262440
139,0,0,262500
140,0,0,262560
141,0,0,262620
142,0,0,262680
143,0,0,262740
144,204475918648,204475918648,262800
145,6352226124089775,6352226124089775,262860
146,0,0,262920
147,907239037242,907239037242,262980
148,0,0,263040
149,0,0,263100
150,0,0,263160
151,0,0,263220
152,0,0,263280
153,5362869143165,5362869143165,263340
154,0,0,263400
155,51707053213356,51707053213356,263460
156,0,0,263520
157,183769536625158,183769536625158,263580
158,4600561338913722,-4600561338913722,263640
159,0,0,263700
160,0,0,263760
161,0,0,263820
162,0,0,263880
163,190406378438065,-190406378438065,263940
164,0,0,264000
165,0,0,264060
166,16871524378337,16871524378337,264120
167,153609388014935,-137491868656705,264180
168,414039982709,414039982709,264240
169,0,0,264300
170,8058759679115,-8058759679115,264360
171,37764503477114,-37764503477114,264420
172,0,0,264480
173,0,0,264540
174,6345589282276868,-6345589282276868,264600
175,0,0,264660
176,63069468158923,-63069468158923,264720
177,0,0,264780
178,16871524378337,-16871524378337,264840
179,0,0,264900
180,414039982709,-414039982709,264960
181,23094403933763,-23094403933763,265020
182,0,0,265080
183,0,0,265140
184,0,0,265200
185,0,0,265260
186,0,0,265320
187,3867119446323515,-3867119446323515,265380
188,1943382456994,-1943382456994,265440
189,0,0,265500
190,0,0,265560
191,0,0,265680
192,23087249852015,-23087249852015,265740
193,3089938026385,-3089938026385,265800
194,2208975166924,-2208975166924,265920
195,0,0,265980
196,0,0,266040
197,0,0,266100
198,0,0,266400
199,0,0,266460
200,0,0,266580
201,0,0,266640
202,0,0,266700
203,0,0,266760
204,0,0,266880
205,0,0,267000
206,1001638097931825,-1001638097931825,267180
207,0,0,267240
208,0,0,267300
209,0,0,267360
210,0,0,267420
211,0,0,267480
212,14490411768731,-14490411768731,267540
213,0,0,267660
214,0,0,267780
215,11798141501544,-11798141501544,267960
216,0,0,268140
217,0,0,268320
218,0,0,268440
219,51981799754762,-51981799754762,268500
220,0,0,268980
221,0,0,269100
222,155853289587,-155853289587,269400
223,688148273260,-688148273260,269760
224,41783060859819,-41783060859819,269940
225,4507895852034,-4507895852034,270120
226,0,0,270180
227,0,0,270240
228,0,0,270360
229,0,0,270420
230,144948798519,-144948798519,270540
231,0,0,270600
232,509850647341316,-509850647341316,270960
233,0,0,271200
234,0,0,271380
235,2746743059187,-2746743059187,272220
236,0,0,272280
237,24931670277152,-24931670277152,272580
238,0,0,273120
239,0,0,274080
240,0,0,274200
241,0,0,274560
242,0,0,275100
243,0,0,275460
244,0,0,277320
245,0,0,281040
246,0,0,283260
247,0,0,299040
248,0,0,322380
249,0,0,345420
250,0,0,363540
251,0,0,363600
252,0,0,887220
253,0,0,-887220
