,liquidityGross,liquidityNet,tickIdx
0,0,0,-207240
1,0,0,-214200
2,0,0,-246360
3,0,0,-276300
4,130022973131,-130022973131,-288360
5,529386558879,-529386558879,-292440
6,0,0,-294300
7,0,0,-297420
8,0,0,-297480
9,0,0,-298320
10,0,0,-298440
11,0,0,-299400
12,2925930922698,-2925930922698,-299580
13,3133416138339,-3133416138339,-299640
14,0,0,-299700
15,0,0,-300060
16,16924838288,-16924838288,-300300
17,62186739558319,-62186739558319,-300540
18,3847490629352,-3847490629352,-300780
19,4048375024393,-4048375024393,-301200
20,0,0,-301320
21,0,0,-301440
22,0,0,-301560
23,0,0,-301860
24,3664602069323,-3664602069323,-302160
25,0,0,-302220
26,0,0,-302280
27,0,0,-302340
28,33364175852739,-33364175852739,-302400
29,0,0,-302520
30,0,0,-302640
31,10370851175647,-10370851175647,-302700
32,4084748446221,-4084748446221,-302760
33,0,0,-302820
34,728845734259,-728845734259,-302880
35,0,0,-302940
36,0,0,-303060
37,0,0,-303120
38,0,0,-303180
39,0,0,-303240
40,6595876315978,-6595876315978,-303300
41,0,0,-303360
42,0,0,-303420
43,0,0,-303540
44,0,0,-303600
45,0,0,-303660
46,0,0,-303720
47,33364175852739,33364175852739,-303840
48,17130700760951,-17130700760951,-303900
49,0,0,-304020
50,0,0,-304080
51,0,0,-304140
52,0,0,-304200
53,0,0,-304260
54,0,0,-304320
55,0,0,-304380
56,0,0,-304440
57,17130700760951,17130700760951,-304500
58,0,0,-304560
59,0,0,-304620
60,0,0,-304680
61,0,0,-304740
62,270152328260,-270152328260,-304800
63,0,0,-304860
64,0,0,-304920
65,728845734259,728845734259,-304980
66,0,0,-305040
67,0,0,-305100
68,0,0,-305160
69,0,0,-305220
70,0,0,-305280
71,0,0,-305340
72,0,0,-305400
73,0,0,-305460
74,625235865894,-625235865894,-305520
75,0,0,-305580
76,0,0,-305700
77,0,0,-305760
78,6595876315978,6595876315978,-305880
79,0,0,-305940
80,0,0,-306000
81,0,0,-306120
82,0,0,-306180
83,0,0,-306240
84,0,0,-306300
85,0,0,-306360
86,0,0,-306420
87,0,0,-306480
88,0,0,-306540
89,0,0,-306600
90,1554740073302,-1554740073302,-306660
91,3664602069323,3664602069323,-306720
92,62186739558319,62186739558319,-306780
93,866222685455,296799779685,-306840
94,0,0,-306900
95,0,0,-306960
96,0,0,-307020
97,43477504820,-43477504820,-307080
98,0,0,-307140
99,0,0,-307200
100,0,0,-307260
101,0,0,-307320
102,0,0,-307380
103,0,0,-307440
104,0,0,-307500
105,481454756723,-481454756723,-307560
106,11553532690,-11553532690,-307620
107,0,0,-307680
108,0,0,-307740
109,0,0,-307800
110,0,0,-307860
111,0,0,-307920
112,0,0,-307980
113,0,0,-308040
114,0,0,-308100
115,0,0,-308160
116,0,0,-308220
117,481454756723,481454756723,-308280
118,2925930922698,2925930922698,-308340
119,3133416138339,3133416138339,-308400
120,0,0,-308460
121,0,0,-308520
122,134470680593,-134470680593,-308580
123,0,0,-308640
124,0,0,-308700
125,0,0,-308760
126,0,0,-308820
127,0,0,-308880
128,0,0,-308940
129,0,0,-309000
130,0,0,-309060
131,0,0,-309120
132,2884527177474,-2884527177474,-309240
133,0,0,-309300
134,0,0,-309360
135,0,0,-309420
136,0,0,-309480
137,26879583459,-26879583459,-309540
138,27506394089,-27506394089,-309600
139,0,0,-309660
140,284711452885,284711452885,-309720
141,105505029930,-105505029930,-309780
142,0,0,-309840
143,0,0,-309900
144,0,0,-309960
145,0,0,-310020
146,0,0,-310080
147,0,0,-310140
148,0,0,-310200
149,0,0,-310260
150,0,0,-310320
151,0,0,-310380
152,0,0,-310440
153,0,0,-310500
154,0,0,-310560
155,0,0,-310620
156,0,0,-310680
157,0,0,-310740
158,0,0,-310800
159,4048375024393,4048375024393,-310860
160,10324639492242,10287976360078,-310920
161,0,0,-310980
162,0,0,-311040
163,0,0,-311100
164,0,0,-311160
165,0,0,-311280
166,0,0,-311340
167,9551047907,-9551047907,-311400
168,0,0,-311460
169,8240080039,-8240080039,-311520
170,0,0,-311580
171,0,0,-311700
172,0,0,-311760
173,0,0,-311820
174,0,0,-311880
175,0,0,-311940
176,60539917313,-60539917313,-312000
177,0,0,-312060
178,0,0,-312120
179,0,0,-312180
180,0,0,-312300
181,0,0,-312360
182,0,0,-312420
183,0,0,-312480
184,0,0,-312540
185,0,0,-312600
186,0,0,-312660
187,0,0,-312780
188,0,0,-312840
189,0,0,-312900
190,37817352307,-37817352307,-312960
191,0,0,-313020
192,0,0,-313080
193,0,0,-313140
194,0,0,-313200
195,178981171856,-178981171856,-313260
196,0,0,-313320
197,0,0,-313380
198,0,0,-313440
199,4311635265433,3857861627009,-313500
200,0,0,-313560
201,0,0,-313620
202,0,0,-313680
203,0,0,-313740
204,0,0,-313800
205,4315358945,-4315358945,-313860
206,16924838288,16924838288,-313920
207,0,0,-313980
208,0,0,-314040
209,0,0,-314100
210,0,0,-314160
211,0,0,-314220
212,0,0,-314280
213,0,0,-314340
214,0,0,-314400
215,0,0,-314460
216,0,0,-314520
217,0,0,-314580
218,3847490629352,3847490629352,-314640
219,0,0,-314700
220,0,0,-314760
221,0,0,-314820
222,0,0,-314880
223,0,0,-314940
224,0,0,-315000
225,0,0,-315060
226,0,0,-315120
227,0,0,-315180
228,178981171856,178981171856,-315240
229,43477504820,43477504820,-315300
230,0,0,-315360
231,0,0,-315420
232,0,0,-315480
233,0,0,-315540
234,0,0,-315600
235,0,0,-315660
236,15126293131180,-15126293131180,-315720
237,270152328260,270152328260,-315780
238,5205354700537,-5205354700537,-315840
239,6455319887620,-6455319887620,-315900
240,0,0,-315960
241,0,0,-316020
242,0,0,-316080
243,0,0,-316140
244,15126293131180,15126293131180,-316200
245,0,0,-316260
246,0,0,-316320
247,0,0,-316380
248,0,0,-316440
249,130022973131,130022973131,-316500
250,64543249487,64543249487,-316560
251,0,0,-316620
252,0,0,-316680
253,28517382734,-28517382734,-316740
254,0,0,-316800
255,0,0,-316860
256,37817352307,37817352307,-316920
257,0,0,-316980
258,0,0,-317040
259,0,0,-317100
260,0,0,-317160
261,15281719214,-15281719214,-317220
262,0,0,-317280
263,68410318606,-68410318606,-317340
264,6455319887620,6455319887620,-317400
265,5205354700537,5205354700537,-317460
266,0,0,-317520
267,3760967348441,-3760967348441,-317580
268,0,0,-317640
269,0,0,-317700
270,0,0,-317760
271,0,0,-317820
272,0,0,-317880
273,0,0,-317940
274,0,0,-318000
275,134470680593,134470680593,-318060
276,0,0,-318120
277,0,0,-318180
278,0,0,-318240
279,77617986550,-77617986550,-318300
