,liquidityGross,liquidityNet,tickIdx
0,637425475,-637425475,-115140
1,0,0,-130980
2,3623896417410,-3623896417410,-138160
3,0,0,-143860
4,32003584930518,-32003584930518,-154250
5,0,0,-154260
6,782415126974,-782415126974,-161190
7,1987937569802,-1987937569802,-166300
8,433812880881,-433812880881,-168120
9,20705859720,-20705859720,-173230
10,1438965021115881,-1438965021115881,-177280
11,0,0,-180160
12,0,0,-180410
13,34074937998726,-34074937998726,-182390
14,146960739637186,-146960739637186,-182400
15,0,0,-184130
16,403527120380,-403527120380,-184200
17,0,0,-184210
18,1091055721030693,-1091055721030693,-184220
19,403527120380,403527120380,-184690
20,31638488998981466,-31638488998981466,-184730
21,0,0,-184740
22,0,0,-185270
23,73344818289813,-73344818289813,-185810
24,1138381955903353,-1138381955903353,-185950
25,0,0,-186040
26,0,0,-186440
27,64224871565330,-64224871565330,-186450
28,0,0,-187080
29,0,0,-187500
30,2027518236609908,-2027518236609908,-187770
31,499050865423746,-499050865423746,-187780
32,0,0,-187930
33,0,0,-188150
34,0,0,-188220
35,0,0,-188370
36,0,0,-188520
37,0,0,-188800
38,494918161607371,-494918161607371,-188830
39,5010686638654352,-5010686638654352,-189110
40,720923186807436,-720923186807436,-189220
41,3859601473705943,-3859601473705943,-189320
42,0,0,-189340
43,0,0,-189390
44,0,0,-189400
45,0,0,-189700
46,20081801589036553,-20081801589036553,-190050
47,0,0,-190100
48,4949787425688582,-4949787425688582,-190120
49,815401051149478540,-815401051149478540,-190160
50,1577076238644696,-1577076238644696,-190190
51,6003203389628405,-6003203389628405,-190310
52,0,0,-190410
53,1250051636483353,-1250051636483353,-190440
54,0,0,-190480
55,0,0,-190500
56,3128688341927570,-3128688341927570,-190540
57,4463193326331974,-4463193326331974,-190570
58,225809267489238215,-225809267489238215,-190590
59,0,0,-190680
60,930274847923877,-930274847923877,-190760
61,761312337300895,-761312337300895,-190770
62,0,0,-190820
63,35879125088579007,-35879125088579007,-190850
64,74242286791968121,-74242286791968121,-190890
65,108210430254328364,-108210430254328364,-190960
66,0,0,-191010
67,25469913673675073,-25469913673675073,-191030
68,0,0,-191080
69,0,0,-191100
70,14511182977486319,-14511182977486319,-191110
71,36765044673607,-36765044673607,-191120
72,0,0,-191130
73,136015780630106601,-136015780630106601,-191140
74,39122595415070092,-39118619539930488,-191150
75,126063838138781390,-126063838138781390,-191170
76,43399970409860981,-43399970409860981,-191210
77,3989494227508203,-3989494227508203,-191240
78,822589138614902,-822589138614902,-191300
79,42001287806471400,-42001287806471400,-191350
80,0,0,-191370
81,88165605911645215,-88165605911645215,-191390
82,0,0,-191400
83,0,0,-191440
84,336598532911068135,-336598532911068135,-191450
85,643641758395472,-643641758395472,-191460
86,0,0,-191480
87,0,0,-191510
88,0,0,-191520
89,0,0,-191530
90,0,0,-191540
91,3435134578147098779,-3435134578147098779,-191550
92,65556937706488937,-65556937706488937,-191560
93,65751429596010833,-65751429596010833,-191570
94,7403717686128552,-7403717686128552,-191590
95,14156307006635891,-14156307006635891,-191600
96,0,0,-191620
97,0,0,-191640
98,0,0,-191660
99,0,0,-191680
100,0,0,-191700
101,0,0,-191710
102,0,0,-191720
103,0,0,-191730
104,0,0,-191740
105,0,0,-191760
106,21462008765336870,-21462008765336870,-191770
107,88165605911645215,88165605911645215,-191780
108,38739643749206933,-38739643749206933,-191810
109,0,0,-191820
110,0,0,-191830
111,0,0,-191850
112,2263312960261216,-2263312960261216,-191870
113,0,0,-191890
114,0,0,-191900
115,0,0,-191930
116,3102905252157544,-3102905252157544,-191950
117,0,0,-191960
118,103509005341871549,103509005341871549,-191970
119,126063838138781390,126063838138781390,-191980
120,0,0,-192000
121,0,0,-192010
122,0,0,-192030
123,0,0,-192050
124,0,0,-192060
125,0,0,-192080
126,0,0,-192090
127,0,0,-192100
128,0,0,-192110
129,0,0,-192120
130,0,0,-192130
131,0,0,-192140
132,0,0,-192150
133,0,0,-192160
134,0,0,-192180
135,168516856129966185,-37402980716988311,-192200
136,0,0,-192220
137,0,0,-192230
138,0,0,-192250
139,0,0,-192260
140,0,0,-192270
141,0,0,-192290
142,0,0,-192310
143,0,0,-192320
144,0,0,-192330
145,0,0,-192340
146,45086561529738625,-16064195574765987,-192350
147,13497588248396,-13497588248396,-192360
148,0,0,-192380
149,0,0,-192390
