,liquidityGross,liquidityNet,tickIdx
0,46238886893607379,-46238886893607379,0
1,0,0,-10500
2,0,0,-10740
3,0,0,-10980
4,0,0,-11040
5,0,0,-11340
6,0,0,-11400
7,5980244129372605787048,-5980244129372605787048,-12000
8,0,0,-12060
9,0,0,-12360
10,0,0,-12780
11,0,0,-12900
12,406540777132687068262,-406540777132687068262,-13440
13,0,0,138180
14,52947580683499172728,-52947580683499172728,-13860
15,0,0,-13920
16,91691256603726127145,-91691256603726127145,-15000
17,0,0,-15060
18,0,0,-15120
19,0,0,-15840
20,0,0,-15900
21,0,0,159360
22,0,0,-16020
23,1149587105899692077881,-1149587105899692077881,-16080
24,1727195881885933796,1727195881885933796,-161160
25,0,0,-16140
26,0,0,-16320
27,0,0,-16560
28,50878510993740945030,-50878510993740945030,-17160
29,0,0,-17280
30,0,0,-17400
31,0,0,17700
32,0,0,-17880
33,0,0,-17940
34,87887323472325053103,-87887323472325053103,-18000
35,494481321111233580,-494481321111233580,-18120
36,0,0,-18300
37,0,0,-18360
38,1727195881885933796,-1727195881885933796,184200
39,0,0,-18600
40,0,0,-18660
41,0,0,18960
42,131641434163755412290,-131641434163755412290,-18960
43,0,0,-19020
44,0,0,-19200
45,0,0,-19320
46,94428267870520303127,-94428267870520303127,-19380
47,0,0,-19440
48,0,0,-19500
49,1096559197521674245,-1096559197521674245,-19560
50,0,0,-19620
51,0,0,-19680
52,0,0,-19740
53,0,0,-19800
54,0,0,-19860
55,0,0,-19920
56,0,0,-19980
57,0,0,-20100
58,0,0,-20160
59,0,0,-20340
60,0,0,-20400
61,0,0,-20460
62,0,0,20520
63,0,0,-20520
64,0,0,20580
65,0,0,-20640
66,0,0,-20760
67,543229804387482814141,-543229804387482814141,-20820
68,0,0,-20880
69,43207413384249675484,-43207413384249675484,-21000
70,0,0,-21060
71,24274835560138424113,-24274835560138424113,-21180
72,0,0,-21240
73,0,0,-21360
74,0,0,-21420
75,0,0,-21480
76,0,0,-21540
77,0,0,-21600
78,92530778935440007862,-92530778935440007862,-21660
79,0,0,-21720
80,3468364303725296116553,-3468364303725296116553,-21840
81,0,0,-21900
82,19563573246122574447,-19563573246122574447,-21960
83,28435167871095379754,-28435167871095379754,-22020
84,64762077686075926586,-64762077686075926586,-22080
85,251950189137215734467,-251950189137215734467,-22140
86,0,0,2220
87,657338987241880294,-657338987241880294,-22260
88,35146731108738089201,-35146731108738089201,-22320
89,0,0,-22440
90,0,0,-22500
91,0,0,-22560
92,0,0,-22620
93,0,0,-22680
94,0,0,-22740
95,905636095227313476248,-905636095227313476248,-22800
96,0,0,22860
97,8256136538673953010,-8256136538673953010,-22860
98,25339874228340549000,-25339874228340549000,-22920
99,21849398858812031314,-21849398858812031314,-22980
100,159572550647126207652,-159572550647126207652,23040
101,5013125957447492377060,-5013125957447492377060,-23040
102,0,0,-23100
103,0,0,-23160
104,0,0,-23220
105,0,0,-23280
106,0,0,-23340
107,13749325614280580908,-13749325614280580908,-23400
108,5968174025967228924,-5968174025967228924,-23460
109,96800458213012432391,-96800458213012432391,-23520
110,0,0,-23580
111,30863233781509022963986,-30863233781509022963986,-23640
112,6031817820712783919333,-6031817820712783919333,-23700
113,0,0,-23760
114,6773092988928587712369,-6773092988928587712369,-23820
115,30769882849771790534717,30769882849771790534717,-23880
116,0,0,-23940
117,84258885555132377846,-84258885555132377846,-24000
118,3818920529521746450848,-3818920529521746450848,-24060
119,2101884238130499392179,-2101884238130499392179,-24120
120,2082018048831074114677,-2082018048831074114677,-24180
121,5808239749893669341,-5808239749893669341,-24240
122,0,0,-24300
123,493614917621435791155,-493614917621435791155,-24360
124,298349034557828091099,-298349034557828091099,-24420
125,134320624952679585718,-134320624952679585718,-24480
126,297417703244239111713,297417703244239111713,-24540
127,303964614078116843307,-303964614078116843307,-24600
128,0,0,24660
129,771793275968473579298,-760176796468686240616,-24660
130,5746407396153425458973,5746407396153425458973,-24720
131,0,0,-24780
132,8600068228838053526797,-6799456906495534535447,-24840
133,48766335764806024983,-48766335764806024983,-24900
134,53843805117195316672,-53843805117195316672,-24960
135,0,0,-25020
136,9130766036744307104,-9130766036744307104,-25080
137,0,0,-25140
138,25713005763708459670,-25713005763708459670,-25200
139,59616001502479041538690,-59616001502479041538690,-25260
140,0,0,-25320
141,59109751987412984134203,59109751987412984134203,-25380
142,0,0,-25440
143,119580712067454411931074,-119580712067454411931074,-25500
144,119513906862566553722937,119421922413707099959219,-25560
145,2341259085681757731673,-2341259085681757731673,-25620
146,0,0,-25680
147,3468364303725296116553,3468364303725296116553,-25740
148,0,0,2580
149,2013689059166816129,2013689059166816129,-25800
150,716942250655779318512,-716942250655779318512,-25860
151,96912653877286824698,-22638859933835167090,-25920
152,0,0,-25980
153,0,0,-26040
154,18420926796343178157,-18420926796343178157,-26100
155,7167190696742466691,-7167190696742466691,-26160
156,4922784407791748174,-4922784407791748174,-26220
157,34529234357917083267,-34529234357917083267,-26340
158,6148777626153066089917,5811710632592145484179,-26400
159,375010336871003528601,-375010336871003528601,-26460
160,0,0,-26520
161,573474447479417507825,-573474447479417507825,-26580
162,0,0,-26640
163,138668124935242026161,-138668124935242026161,-26700
164,0,0,-26760
165,45001657577190706564,-45001657577190706564,-26820
166,378858908997104450097,86507282176416023057,-26880
167,0,0,-26940
168,6816833763116232238488,-6816833763116232238488,-27000
169,0,0,27060
170,18742252994947522702329,-16999305970283735959065,-27060
171,0,0,27120
172,46724257986046618448,-46724257986046618448,-27120
173,227883899238166383236,-227883899238166383236,-27180
174,594565237229260742218,-594565237229260742218,-27240
175,13122491226216415209,13122491226216415209,-27300
176,113131013106462366097,-113131013106462366097,-27360
177,165539708185279897662,-165539708185279897662,-27420
178,179710070963311129043,-179710070963311129043,-27480
179,0,0,-27540
180,2451907333186099639991,-2451907333186099639991,-27600
181,0,0,-276300
182,2930204642970328657561,-2930204642970328657561,-27660
183,6469323963136831386952,-6469323963136831386952,-27720
184,412684040612041675108,-412684040612041675108,-27780
185,220199404713547134421,-169100460686894686333,-27840
186,6015327124610530967789,-6015327124610530967789,-27900
187,0,0,-27960
188,28289262440710807018487,5507042415591280037451,-28020
189,638151186903274336117,-638151186903274336117,-28080
190,1613285819672681226936,-1613285819672681226936,-28140
191,5156421288413971778494,-5156421288413971778494,-28200
192,26702056233808207053,-26702056233808207053,-28260
193,2879775953702788512068,-2879775953702788512068,-28320
194,221179063062464349795,-221179063062464349795,-28380
195,58172939457083408,-58172939457083408,-28440
196,1484405070274640731939,-1484405070274640731939,-28500
197,0,0,-28560
198,0,0,-28620
199,761328098671232205058,-761328098671232205058,-28680
200,6195321192193614562720,-6195321192193614562720,-28740
201,5447221652190196499914,-5447221652190196499914,-28800
202,0,0,-28860
203,11512038852636947744526,-11512038852636947744526,-28920
204,0,0,-28980
205,2625889778524668354088,-2625889778524668354088,-29040
206,0,0,-29100
207,1242137017583832594892,-1242137017583832594892,-29160
208,0,0,-29220
209,0,0,-29280
210,251042939536050438341,-251042939536050438341,-29340
211,38705078686053178082,-38705078686053178082,-29400
212,0,0,-29460
213,0,0,-29520
214,507869387178098616570,30256949246449144294,-29580
215,347795661680317877965,-230261246465988965683,-29640
216,0,0,-29700
217,87887323472325053103,87887323472325053103,-29760
218,71774536467466577379,71774536467466577379,-29820
219,600762091852840890440,600762091852840890440,-29880
220,0,0,29940
221,1335938351204790533300,1335938351204790533300,-29940
222,0,0,30000
223,131422500848575582111,-131422500848575582111,-30000
224,0,0,30060
225,0,0,-30060
226,697358934071168100624,-697358934071168100624,-30120
227,0,0,-30180
228,0,0,-30240
229,0,0,-30300
230,242932370830401865090,242932370830401865090,-30360
231,280332295646677760960,280332295646677760960,-30420
232,88774764150679847054,-88774764150679847054,-30480
233,426907659608631496122,-426907659608631496122,-30540
234,0,0,-30600
235,131858205010848548153,131858205010848548153,-30660
236,0,0,-30720
237,0,0,-30780
238,2022340919313327746899,2022340919313327746899,-30840
239,10432025911779183523720,10432025911779183523720,-30900
240,21849398858812031314,21849398858812031314,-30960
241,4417564407824183057654,4417564407824183057654,-31020
242,449845965891833292242,449845965891833292242,-31080
243,2122463648605240720276,2122463648605240720276,-31140
244,455795854027615583401,455795854027615583401,-31200
245,53843805117195316672,53843805117195316672,-31260
246,842540831817594503783,842540831817594503783,-31320
247,1191626196985898265036,1191626196985898265036,-31380
248,12018244390312557547840,12018244390312557547840,-31440
249,986387388144321522448,986387388144321522448,-31500
250,206950464212632754538,206950464212632754538,-31560
251,5261945647220023705949,5261945647220023705949,-31620
252,5274243764710348318623,3192852712258006725837,-31680
253,0,0,-31740
254,2453108580169194571,-2453108580169194571,31800
255,0,0,-31800
256,786374071524667293262,786374071524667293262,-31860
257,0,0,-31920
258,82746106786397073402,82746106786397073402,-31980
259,116258764340390236753,116258764340390236753,-32040
260,2904644414360568293307,2904644414360568293307,-32100
261,73303482225123349972,73303482225123349972,-32160
262,0,0,32220
263,741859091447477134639,741859091447477134639,-32220
264,521483530313700499575,521483530313700499575,-32280
265,980188199464749555099,980188199464749555099,-32340
266,385239916593385132868,385239916593385132868,-32400
267,5974386716907163641007,5974386716907163641007,-32460
268,32768810199094530625,32768810199094530625,-32520
269,1259286195473624542764,1259286195473624542764,-32580
270,0,0,-32640
271,343641445740941861612,343641445740941861612,-32700
272,0,0,-32760
273,0,0,-32820
274,0,0,-32880
275,3497481298786603725651,-3497481298786603725651,-32940
276,1027534942782051254418,1027534942782051254418,-33000
277,0,0,-33060
278,75738951231292597303,75738951231292597303,-33120
279,0,0,-33180
280,17200415722503908098,17200415722503908098,-33240
281,8556138989693084265101,8556138989693084265101,-33300
282,0,0,33360
283,1096559197521674245,1096559197521674245,-33360
284,0,0,-33420
285,167254350019129834957,167254350019129834957,-33480
286,0,0,33540
287,661822494716578910669,661822494716578910669,-33540
288,3497481298786603725651,3497481298786603725651,-33600
289,2052208452935658294802,2052208452935658294802,-33660
290,306187562005546900412,306187562005546900412,-33720
291,0,0,-33780
292,436979924077254132480,436979924077254132480,-33840
293,0,0,-33900
294,422036680576982509189,422036680576982509189,-33960
295,0,0,34020
296,1245427560718618417071,1245427560718618417071,-34020
297,0,0,-34080
298,117080750359398418848,117080750359398418848,-34140
299,7538544073760643230,7538544073760643230,-34200
300,0,0,-34260
301,9130766036744307104,9130766036744307104,-34320
302,0,0,-34380
303,4194500138078440909792,4194500138078440909792,-34440
304,454134504857176005167,454134504857176005167,-34500
305,0,0,-34560
306,0,0,-34620
307,157253455273272860522,157253455273272860522,-34680
308,2074374492933571672,2074374492933571672,-34740
309,198254887430404847191,198254887430404847191,-34800
310,11391110012559763490518,11391110012559763490518,-34860
311,0,0,-34920
312,65843077901416539972,65843077901416539972,-34980
313,2913964688200459283089,2913964688200459283089,-35040
314,0,0,-35100
315,96923426820402353923,96923426820402353923,-35160
316,50878510993740945030,50878510993740945030,-35220
317,6852994785952503312074,6852994785952503312074,-35280
318,0,0,-35340
319,6712940296147194062847,6712940296147194062847,-35400
320,0,0,-35460
321,158414893668847708786,158414893668847708786,-35520
322,46565242965484591826,46565242965484591826,-35580
323,0,0,-35640
324,0,0,-35700
325,144342910940947554979,144342910940947554979,-35760
326,105676804592603403824,105676804592603403824,-35820
327,0,0,-35880
328,0,0,-35940
329,0,0,-36000
330,0,0,-36120
331,35146731108738089201,35146731108738089201,-36180
332,0,0,-36240
333,0,0,-36300
334,3282480026656813555229,3282480026656813555229,-36360
335,2099922817622638111424,2099922817622638111424,-36420
336,274633626231529944145,274633626231529944145,-36480
337,0,0,-36600
338,912560008113093801771,912560008113093801771,-36660
339,0,0,-36780
340,0,0,-36840
341,0,0,-368460
342,201340985995410863436,201340985995410863436,-36900
343,0,0,-36960
344,6749177060960595534,6749177060960595534,-37020
345,0,0,-37080
346,0,0,-37140
347,45001657577190706564,45001657577190706564,-37200
348,0,0,-37320
349,0,0,-37380
350,0,0,-37620
351,70150328400383511413,70150328400383511413,-37680
352,0,0,-37740
353,0,0,-37800
354,119677006982970370253,119677006982970370253,-37980
355,1566657426310523724068,1566657426310523724068,-38040
356,0,0,-38100
357,0,0,-38160
358,0,0,-38220
359,931331313588979386,931331313588979386,-38280
360,81177290925296858149,81177290925296858149,-38400
361,0,0,-38460
362,16946438756231485873,16946438756231485873,-38580
363,0,0,-38700
364,0,0,-38820
365,0,0,-38940
366,12199662969979592379,12199662969979592379,-39060
367,158154084781487216620,158154084781487216620,-39120
368,0,0,-39180
369,0,0,-39540
370,0,0,-3960
371,0,0,-39720
372,0,0,-39900
373,49309177173338297741,49309177173338297741,-40020
374,0,0,-40200
375,0,0,-40260
376,0,0,-40500
377,0,0,-40620
378,20845536705502375238,20845536705502375238,-40740
379,0,0,-40920
380,0,0,-41340
381,0,0,-41400
382,0,0,-41460
383,3302535525972767262,3302535525972767262,-41640
384,1961420507861280755,1961420507861280755,-41700
385,0,0,-41940
386,0,0,-42000
387,0,0,-42120
388,58172939457083408,58172939457083408,-42300
389,0,0,-42480
390,0,0,-42540
391,37961262886671045814,37961262886671045814,-42660
392,0,0,-42780
393,0,0,-43320
394,0,0,-43380
395,0,0,-43740
396,0,0,-43860
397,0,0,-44400
398,0,0,-44940
399,0,0,-45000
400,0,0,-45060
401,0,0,-45780
402,0,0,46080
403,496076437680065056,496076437680065056,-46080
404,0,0,-46320
405,0,0,-47580
406,0,0,-47880
407,0,0,-48180
408,0,0,-5100
409,46238886893607379,46238886893607379,-51180
410,37961262886671045814,-37961262886671045814,-5160
411,0,0,-52980
412,89756236123659887232,-89756236123659887232,-540
413,0,0,-54180
414,0,0,-56940
415,0,0,-57540
416,0,0,-60780
417,0,0,-6240
418,0,0,-6540
419,49309177173338297741,-49309177173338297741,-6780
420,157196395811546572660,-157196395811546572660,-6900
421,0,0,69060
422,158894182848684266082,158894182848684266082,-69060
423,0,0,6960
424,0,0,-6960
425,0,0,-7980
426,0,0,-8040
427,0,0,8100
428,20845536705502375238,-20845536705502375238,-8340
429,0,0,852000
430,19910572670255567073,-19910572670255567073,887220
431,0,0,-887220
432,0,0,-9180
433,0,0,-92100
434,0,0,92160
435,29109974694950876534,-29109974694950876534,-9240
436,0,0,-9900
