,liquidityGross,liquidityNet,tickIdx
0,2636234884534193425828,-2278565187381960336658,0
1,0,0,-104160
2,7861151638788704491,-7861151638788704491,106500
3,0,0,1080
4,885098668955279151,-885098668955279151,-1080
5,0,0,108180
6,58839990045131124,58839990045131124,-109440
7,0,0,10980
8,14844985094357421097,-6642313136938367877,-10980
9,0,0,-111540
10,0,0,-1140
11,0,0,-114480
12,1077028788640831727,-1077028788640831727,115140
13,33233519023785822516,33233519023785822516,-115140
14,106790719818316084,106790719818316084,-116160
15,17603763815493226309,17603763815493226309,-116340
16,0,0,120
17,0,0,-120
18,0,0,1200
19,0,0,-12000
20,457405889689975403890,-450595094731830850876,-12060
21,393954791173885028032,393954791173885028032,-12120
22,0,0,-12360
23,10666729901899493,10666729901899493,-125220
24,127139409511076881,-127139409511076881,1260
25,0,0,-127620
26,10666729901899493,-10666729901899493,131220
27,0,0,1320
28,73778169000200386849,-73778169000200386849,138180
29,37656961218270905148,37656961218270905148,-138180
30,0,0,13860
31,8868694986803617616,-8868694986803617616,-13860
32,72711621325344094833,-72711621325344094833,-14700
33,0,0,-15360
34,0,0,15480
35,0,0,-15480
36,0,0,15540
37,0,0,-1560
38,0,0,-15600
39,574733745123645631768,558969645821904178804,16080
40,149348384023238227357,-149348384023238227357,-16080
41,5734418877705826088,5734418877705826088,-161160
42,0,0,-16140
43,7861151638788704491,7861151638788704491,-162600
44,552461692233278343021,-552461692233278343021,16500
45,1409245106840294,-1409245106840294,-16500
46,0,0,-166680
47,0,0,-16680
48,515405150696780565,-515405150696780565,-1680
49,117953969976944425,-117953969976944425,-16920
50,538407553439319348,-538407553439319348,-16980
51,48862542288723556484,-48862542288723556484,-17460
52,0,0,1800
53,26800273261610525132,-26800273261610525132,-18300
54,1169126362654226672,1169126362654226672,-184200
55,513192927623904609962,513192927623904609962,-184260
56,213964990986567111150,-213964990986567111150,-18840
57,207026001060601124157,196341017135971173995,-18960
58,0,0,-19020
59,146999754904054620199,-146999754904054620199,19440
60,1155135674249480604,-1155135674249480604,-19680
61,320375781888921132,-320375781888921132,-19860
62,299639527792036434,-299639527792036434,-19920
63,1499472890193099742,-1499472890193099742,-20280
64,1706626094618054721,-1706626094618054721,20340
65,0,0,-20340
66,138402895201008941,-138402895201008941,-2040
67,72711621325344094833,72711621325344094833,-20400
68,1409245106840294,1409245106840294,-206220
69,0,0,207240
70,37044841626005691,37044841626005691,-207240
71,2385793618503473896,-2385793618503473896,-20760
72,38931317951986991,-38931317951986991,-20820
73,0,0,-21000
74,0,0,-21060
75,0,0,-21120
76,69334651640795694606,-69334651640795694606,-21180
77,0,0,-21240
78,0,0,21660
79,0,0,-21660
80,0,0,-21720
81,0,0,21840
82,0,0,21960
83,0,0,-21960
84,0,0,22020
85,0,0,-22020
86,0,0,-22080
87,5425251657735526568,-5425251657735526568,2220
88,84567220290103164,-84567220290103164,-2220
89,15485474939437097310,-15485474939437097310,-22200
90,0,0,-22380
91,192548779953468460161,-192548779953468460161,-22500
92,990516923395472316,-990516923395472316,-22680
93,0,0,-22740
94,102496787287126906069,-102496787287126906069,-22800
95,0,0,-22860
96,1263742211000466626420,-1263742211000466626420,-22920
97,0,0,22980
98,1130631249847692951972,-1130631249847692951972,-22980
99,180120001982534062254,180120001982534062254,-230280
100,26948322631513512242,4061777567915248744,23040
101,613075802441349371926,-613075802441349371926,-23040
102,3968945760296875290,-3968945760296875290,-23100
103,0,0,-23160
104,0,0,-23280
105,74385260766022463925,-74385260766022463925,-23400
106,0,0,-23460
107,362974552537097585,-362974552537097585,-23580
108,0,0,-23700
109,133188146685505400,-133188146685505400,-23820
110,5231313847404956617,-5231313847404956617,-23940
111,0,0,-24000
112,0,0,24060
113,15083028370224826093,-15083028370224826093,-24060
114,0,0,-24120
115,2032338076661281779,2032338076661281779,-242640
116,139292393570531679,-139292393570531679,-24300
117,0,0,-24540
118,15513467380194540,-15513467380194540,-24600
119,44901154496869556168,-44901154496869556168,-24780
120,8547201770227000740,-8547201770227000740,-24840
121,0,0,-25200
122,3718189968379248817,-3718189968379248817,-25260
123,0,0,-25320
124,0,0,-253260
125,11776513422714072885,-11776513422714072885,253320
126,0,0,-25380
127,0,0,25560
128,5354971577201835799,-5354971577201835799,-25560
129,0,0,-25680
130,0,0,-25920
131,0,0,-26100
132,5425251657735526568,5425251657735526568,-2640
133,0,0,-26580
134,14094289100270078596,-14094289100270078596,-26640
135,6635545465113522721,-6635545465113522721,-26760
136,0,0,26940
137,99534395188457313266,99534395188457313266,27060
138,155564575755370713971,-155564575755370713971,-27060
139,4291309520581994858869,-4291309520581994858869,-27180
140,0,0,-27540
141,168343488559819989369,-168343488559819989369,276300
142,0,0,-27720
143,834074881020497865,-834074881020497865,-27780
144,14751799518045493514,-14751799518045493514,-28080
145,18725743559385790829,-18725743559385790829,-28140
146,0,0,-28320
147,697930188106939965,-697930188106939965,-28500
148,0,0,-28800
149,0,0,28920
150,0,0,-28980
151,0,0,29460
152,13380787231859685207,-13380787231859685207,-29520
153,2027537172776610786,-2027537172776610786,-29580
154,12313829171536974093,-12313829171536974093,-29760
155,60478732028197657238,-60478732028197657238,-29880
156,119475816680631553,-119475816680631553,29940
157,397552822365592890171,-382586394329597080187,-29940
158,0,0,-30000
159,0,0,-30180
160,0,0,-30240
161,0,0,-30360
162,2251134124180691812,2251134124180691812,-3060
163,8389993068584290,-8389993068584290,-30600
164,0,0,-30660
165,0,0,-30900
166,0,0,-30960
167,0,0,31020
168,536404584499960185947,-536404584499960185947,-31140
169,176724618564255059,-176724618564255059,3120
170,6307847214089035111,-6307847214089035111,-31440
171,23930674687002629000,-23930674687002629000,-31500
172,3599984046707576841,-3599984046707576841,-31680
173,0,0,31740
174,9561997323053421776,-9561997323053421776,-31740
175,32159663337486749076,-32159663337486749076,-31800
176,99126034708474445314,-99126034708474445314,-31860
177,0,0,-32160
178,0,0,32220
179,543293411257279385654,-543293411257279385654,-32220
180,51178018972897921,-51178018972897921,-32280
181,0,0,-32700
182,9862807026331864985,-9862807026331864985,-32760
183,5676591574129156503,-5676591574129156503,-32880
184,0,0,32940
185,0,0,-33000
186,0,0,33060
187,122565573148050367052,-122565573148050367052,-33240
