,liquidityGross,liquidityNet,tickIdx
0,0,0,0
1,0,0,-10680
2,0,0,-10980
3,1035826597154357341,-1035826597154357341,-12960
4,0,0,-13860
5,3846133542361510718,-3846133542361510718,-14100
6,26711981138541307785,-26711981138541307785,-14160
7,3341518418616852416,-3341518418616852416,-14340
8,26050121352497275071,-26050121352497275071,-14400
9,0,0,-14520
10,12371297815316057438,-12371297815316057438,-15240
11,10111786561369859713,-10111786561369859713,-15480
12,49830503015325320970,-49830503015325320970,-15660
13,0,0,-16080
14,65586572114994992951,65586572114994992951,-161160
15,0,0,-16320
16,0,0,-16500
17,12385575300608089918,-12385575300608089918,-16740
18,0,0,-16980
19,0,0,-17040
20,0,0,-17460
21,0,0,-17580
22,0,0,-17880
23,6759552591380524799,-6759552591380524799,-18420
24,18892769204505530066,-18892769204505530066,-18540
25,0,0,-18600
26,0,0,-18780
27,196105552374279152721,-196105552374279152721,-18840
28,0,0,-18900
29,18181043147455980160,-18181043147455980160,-19140
30,0,0,-1920
31,0,0,-19260
32,513965263701797624446,-513965263701797624446,-19320
33,0,0,-19440
34,0,0,-19500
35,21607627746577098848,-21607627746577098848,-19860
36,0,0,-19980
37,0,0,-20100
38,48723217048974577779,-48723217048974577779,-20340
39,42858602943512091311,-42858602943512091311,-20400
40,67187119257130041009,-67187119257130041009,-20640
41,0,0,-20760
42,0,0,-20820
43,0,0,-20880
44,0,0,-20940
45,25776292472092363850,-25776292472092363850,-21120
46,0,0,-21180
47,0,0,-21240
48,0,0,-21300
49,0,0,-21360
50,42381394233072852716,-42381394233072852716,-21480
51,73353924801956054830,-73353924801956054830,-2160
52,0,0,-21660
53,82068084267860352243,-82068084267860352243,-21720
54,0,0,-21960
55,0,0,-22080
56,8754321831119137257,-8754321831119137257,-22140
57,494320875157919974,-494320875157919974,-22200
58,0,0,-22260
59,0,0,-22320
60,42380863236564113260,-42380863236564113260,-22380
61,0,0,-22500
62,0,0,-22560
63,0,0,-22680
64,947768466592522235,-947768466592522235,-22800
65,59495282732787278821,-59495282732787278821,-22920
66,0,0,-22980
67,103488292758393145870,-103488292758393145870,-23040
68,7572410736682308399,-7572410736682308399,-23160
69,18181043147455980160,18181043147455980160,-23220
70,0,0,-23400
71,0,0,-23460
72,0,0,-23640
73,42381394233072852716,42381394233072852716,-23760
74,0,0,-23880
75,0,0,-23940
76,0,0,240
77,0,0,-24000
78,48532285968479956740,-48532285968479956740,-24060
79,0,0,-24120
80,0,0,-24300
81,37136436319830076705,-37136436319830076705,-24360
82,0,0,-24420
83,0,0,-24480
84,0,0,-24540
85,258638027425378379136,133573077323179926306,-24660
86,0,0,-24720
87,71030385500884809117,-71030385500884809117,-24840
88,0,0,-24900
89,0,0,-25020
90,0,0,-25140
91,34606352878365841740,-34606352878365841740,-25200
92,42858602943512091311,42858602943512091311,-25320
93,0,0,-25380
94,0,0,-25440
95,0,0,-25500
96,0,0,-25560
97,0,0,-25620
98,618833776223178166239,-618833776223178166239,-25680
99,0,0,-25740
100,0,0,-25920
101,0,0,-26040
102,0,0,-26160
103,59495282732787278821,59495282732787278821,-26280
104,0,0,-26340
105,0,0,-26400
106,0,0,-26460
107,0,0,-26520
108,0,0,-26580
109,67808821171815319279,-67808821171815319279,-26640
110,60324076253149169798,-60324076253149169798,-26880
111,0,0,-26940
112,0,0,-27000
113,74878717703150362680,-74878717703150362680,-27060
114,0,0,-27120
115,0,0,-27180
116,0,0,-27300
117,0,0,-27360
118,1035826597154357341,1035826597154357341,-27420
119,0,0,-27480
120,36391968545268789858,-36391968545268789858,-27540
121,373120340151673009993,-373120340151673009993,-27600
122,48723217048974577779,48723217048974577779,-27660
123,0,0,-27720
124,62532475051099226415,62532475051099226415,-27780
125,0,0,-27900
126,0,0,-27960
127,0,0,-28020
128,0,0,-28080
129,1068221599614345851998,-1068221599614345851998,-28140
130,48532285968479956740,48532285968479956740,-28200
131,26050121352497275071,26050121352497275071,-28260
132,0,0,-28320
133,0,0,-28380
134,0,0,-28500
135,0,0,-28560
136,0,0,-28620
137,0,0,-28680
138,0,0,-28740
139,0,0,-28800
140,0,0,-28980
141,0,0,-29040
142,12371297815316057438,12371297815316057438,-29100
143,0,0,-29160
144,1068221599614345851998,1068221599614345851998,-29220
145,0,0,-29280
146,11059555027962381948,11059555027962381948,-29340
147,0,0,-29400
148,0,0,-29460
149,49830503015325320970,49830503015325320970,-29520
150,0,0,-29580
151,0,0,-29700
152,0,0,-29760
153,0,0,-29880
154,0,0,-29940
155,0,0,-30000
156,0,0,-30060
157,0,0,-30120
158,421897883997549889769,421897883997549889769,-30180
159,0,0,-30240
160,0,0,-30300
161,103488292758393145870,103488292758393145870,-30420
162,74878717703150362680,74878717703150362680,-30480
163,0,0,-30540
164,3846133542361510718,3846133542361510718,-30600
165,37136436319830076705,37136436319830076705,-30660
166,573138378813955954567,573138378813955954567,-30720
167,0,0,-30780
168,27170563732726796703,26253398544355818867,-30840
169,26328584289175890625,26328584289175890625,-30900
170,0,0,-30960
171,0,0,-31020
172,0,0,-31080
173,21607627746577098848,21607627746577098848,-31140
174,0,0,-31260
175,60324076253149169798,60324076253149169798,-31320
176,0,0,-31380
177,67808821171815319279,67808821171815319279,-31500
178,356409097655866127,-356409097655866127,-31560
179,0,0,-31620
180,0,0,-31680
181,0,0,-31740
182,0,0,3180
183,0,0,-31800
184,0,0,-31860
185,0,0,-31920
186,0,0,-31980
187,0,0,-32040
188,42380863236564113260,42380863236564113260,-32160
189,0,0,-32220
190,6759552591380524799,6759552591380524799,-32280
191,0,0,-32340
192,18892769204505530066,18892769204505530066,-32400
193,0,0,-32460
194,0,0,-32520
195,0,0,-32580
196,0,0,-32640
197,0,0,-32700
198,0,0,-32760
199,0,0,-32820
200,0,0,-32880
201,0,0,-32940
202,0,0,-33000
203,0,0,-33060
204,45695397409222211672,45695397409222211672,-33120
205,0,0,-33180
206,0,0,-33240
207,12277961393142409597,-12277961393142409597,-33300
208,0,0,-33360
209,0,0,-33420
210,0,0,-33480
211,0,0,-33540
212,0,0,-33600
213,0,0,-33660
214,0,0,-33720
215,0,0,-33780
216,0,0,-33900
217,0,0,-33960
218,0,0,-34020
219,513965263701797624446,513965263701797624446,-34080
220,0,0,-34140
221,0,0,-34200
222,8754321831119137257,8754321831119137257,-34260
223,0,0,-34320
224,34606352878365841740,34606352878365841740,-34380
225,0,0,-34440
226,75425400655053378271,-75425400655053378271,-34500
227,67543528354785907136,67543528354785907136,-34560
228,75425400655053378271,75425400655053378271,-34620
229,0,0,-34740
230,0,0,-34800
231,25776292472092363850,25776292472092363850,-34980
232,0,0,-35040
233,0,0,-35100
234,0,0,-35160
235,1924135504620834877566,1924135504620834877566,-35220
236,0,0,-35280
237,0,0,-35340
238,0,0,-35460
239,82068084267860352243,82068084267860352243,-35580
240,3341518418616852416,3341518418616852416,-35640
241,458582594185488918,458582594185488918,-35760
242,0,0,-35820
243,0,0,-35880
244,0,0,-35940
245,0,0,-36000
246,494320875157919974,494320875157919974,-36060
247,0,0,-36120
248,0,0,-36240
249,0,0,-36300
250,0,0,-36360
251,0,0,-36480
252,24016374358073553928,-24016374358073553928,-36840
253,12277961393142409597,12277961393142409597,-36900
254,0,0,-36960
255,7572410736682308399,7572410736682308399,-37020
256,0,0,-37080
257,0,0,-37140
258,0,0,-37200
259,0,0,-37320
260,0,0,-37500
261,0,0,-37560
262,0,0,-37620
263,0,0,-37680
264,0,0,-37800
265,0,0,-37860
266,0,0,-37920
267,0,0,-38040
268,0,0,-38100
269,0,0,-38160
270,0,0,-38220
271,0,0,-38340
272,0,0,-38400
273,0,0,-38520
274,0,0,-38580
275,0,0,-38760
276,0,0,-38880
277,0,0,-39000
278,0,0,-39060
279,0,0,-39120
280,0,0,-39180
281,0,0,-39300
282,0,0,-39360
283,0,0,-39540
284,0,0,-39600
285,0,0,-39660
286,0,0,-39780
287,0,0,-39960
288,0,0,-40140
289,0,0,-40260
290,0,0,-40440
291,0,0,-40620
292,0,0,-40740
293,0,0,-40860
294,0,0,-40920
295,0,0,-40980
296,0,0,-41040
297,0,0,-41100
298,0,0,-41340
299,0,0,-41400
300,0,0,-41580
301,0,0,-41640
302,0,0,-42000
303,0,0,-42360
304,0,0,-42480
305,0,0,-42540
306,0,0,-42660
307,0,0,-43020
308,0,0,-43140
309,0,0,-43200
310,0,0,-43440
311,0,0,-43800
312,0,0,-44220
313,0,0,-44280
314,0,0,-44400
315,0,0,-44880
316,0,0,-45000
317,0,0,-45780
318,0,0,-45900
319,24016374358073553928,24016374358073553928,-46020
320,0,0,-46080
321,0,0,-46140
322,0,0,-46320
323,0,0,-46380
324,0,0,-47100
325,0,0,-47160
326,0,0,-47700
327,73353924801956054830,73353924801956054830,-48780
328,0,0,-48960
329,0,0,-49500
330,0,0,-49620
331,0,0,-50100
332,0,0,-51960
333,0,0,-52980
334,44701801211708918492,44701801211708918492,-53460
335,0,0,-55560
336,0,0,-57060
337,0,0,-58140
338,1924135504620834877566,-1924135504620834877566,-6360
339,0,0,6900
340,0,0,6960
341,0,0,-6960
342,65586572114994992951,-65586572114994992951,92100
343,0,0,-92100
