,liquidityGross,liquidityNet,tickIdx
0,257791458203719958317,-257791458203719958317,0
1,0,0,-100500
2,2700599967130373896,2700599967130373896,-104220
3,1586608186113469995,1586608186113469995,-106620
4,0,0,-108180
5,1555709167220405,-1555709167220405,10980
6,0,0,-110280
7,37981101932953222932,37981101932953222932,-111060
8,0,0,-112260
9,0,0,-114480
10,0,0,-114600
11,19311277756992322489,19311277756992322489,-115140
12,0,0,-120600
13,0,0,-123480
14,9960393190684267986,9960393190684267986,-138120
15,114113169239536320618,-114113169239536320618,138180
16,1063988915328284017592,1063988915328284017592,-138180
17,0,0,-160380
18,0,0,16080
19,0,0,-16080
20,10476239913479218767,10476239913479218767,-161160
21,0,0,-172020
22,13431278019576932272,-13431278019576932272,207240
23,0,0,-207240
24,0,0,230280
25,10476239913479218767,-10476239913479218767,23040
26,39567710119066692927,-39567710119066692927,-23040
27,13431278019576932272,13431278019576932272,-253320
28,0,0,-25380
29,0,0,-26520
30,0,0,-2700
31,0,0,-27060
32,0,0,-27360
33,0,0,-27540
34,0,0,-28440
35,0,0,-29520
36,0,0,-3060
37,339085482207965643,-339085482207965643,-31380
38,0,0,-3360
39,0,0,-35760
40,0,0,-38040
41,3736421115032753097,-3736421115032753097,-39120
42,0,0,-42000
43,0,0,-43200
44,0,0,-44460
45,0,0,-45300
46,0,0,-4560
47,0,0,-46020
48,48452818736424832562,-48452818736424832562,-46080
49,0,0,-46140
50,0,0,-47040
51,0,0,-4740
52,0,0,-47880
53,0,0,-48240
54,0,0,-48300
55,0,0,-4920
56,0,0,-4980
57,0,0,-50520
58,1054824817012605996821,-1054824817012605996821,-50580
59,0,0,-50880
60,0,0,-5100
61,0,0,-51480
62,1743529790788371577,-1743529790788371577,-51660
63,20579057182046638885,-20579057182046638885,-52980
64,183338292850670724516,-183338292850670724516,-53280
65,0,0,-53880
66,0,0,-5460
67,0,0,-54660
68,0,0,-5520
69,0,0,-55200
70,0,0,-55920
71,80523590795199541,-80523590795199541,-57000
72,233130511791948103817,-233130511791948103817,-57060
73,0,0,-58020
74,0,0,-58140
75,68894134491892151814,-68894134491892151814,-58380
76,0,0,-58440
77,0,0,-58560
78,57382221321513274377,-57382221321513274377,-58920
79,0,0,-59160
80,0,0,-59640
81,0,0,-59700
82,0,0,-59880
83,0,0,-59940
84,0,0,-60300
85,0,0,-60540
86,0,0,-60780
87,583727893527834584527,-583727893527834584527,-61080
88,0,0,-61440
89,0,0,-62100
90,312532997853523210665,-312532997853523210665,-62160
91,0,0,-62220
92,0,0,-62280
93,0,0,-63120
94,8604122860355065457,-8604122860355065457,-63180
95,0,0,-63360
96,0,0,-63420
97,13566115891601657976,-13566115891601657976,-63960
98,1355660974257082973,-1355660974257082973,-64020
99,0,0,-64080
100,1142028883614609911509,-1142028883614609911509,-64380
101,0,0,-64860
102,0,0,-64920
103,0,0,-64980
104,172302937708190133091,-172302937708190133091,-65040
105,0,0,-65100
106,0,0,-65220
107,21490102991742272421,-21490102991742272421,-65460
108,1116684377758737349618,-1116684377758737349618,-65520
109,0,0,-65580
110,0,0,-66000
111,71334226183283599678,-71334226183283599678,-66120
112,1041084721154341579375,-1041084721154341579375,-66180
113,0,0,-66480
114,6572243765086234837292,-6572243765086234837292,-66600
115,0,0,-66660
116,0,0,-66720
117,0,0,-66780
118,7429603131413576234,-7429603131413576234,-66840
119,0,0,-66900
120,0,0,-66960
121,0,0,-67140
122,0,0,-67200
123,25511906219095104077,-25511906219095104077,-67260
124,0,0,-67320
125,0,0,-67380
126,0,0,-67440
127,67723597200860438668,-67723597200860438668,-67500
128,0,0,-67680
