,liquidityGross,liquidityNet,tickIdx
0,1153370077098170920138,-1153370077098170920138,0
1,0,0,-100800
2,0,0,101280
3,0,0,-101280
4,16711145499550513051,-16711145499550513051,-102180
5,23481126800265362340507,-23481126800265362340507,-102420
6,0,0,-102480
7,0,0,-103920
8,1504039069705984703386,-1504039069705984703386,-105240
9,0,0,-125940
10,3682567047699430633028,-3682567047699430633028,-133080
11,3682567047699430633028,3682567047699430633028,-133140
12,0,0,138180
13,0,0,-138180
14,6933629499675205694767,-6933629499675205694767,-148080
15,0,0,-148140
16,0,0,-148200
17,386746777148032563410,-386746777148032563410,-148860
18,0,0,-149160
19,0,0,-154200
20,104607729584002242186973159,-104607729584002242186973159,154380
21,151268990886749193969334,-151268990886749193969334,-155460
22,238860880007195584,-238860880007195584,-158040
23,291207556420063675699919,-291207556420063675699919,-159000
24,0,0,159060
25,0,0,161160
26,3321947517327137190219,-3321947517327137190219,-161160
27,0,0,-162240
28,614138345054205075247379,-614138345054205075247379,-162360
29,0,0,-163020
30,0,0,-163200
31,0,0,-163440
32,0,0,-165660
33,45506570962971086101049,-45506570962971086101049,-166320
34,0,0,-167880
35,0,0,-168120
36,0,0,-168900
37,17956302052757926366466,-17956302052757926366466,-169560
38,0,0,-169620
39,0,0,-170040
40,0,0,-170100
41,0,0,-170280
42,0,0,-170340
43,0,0,-170520
44,0,0,-170760
45,0,0,-171300
46,0,0,-171420
47,1401266449639518738701,-1401266449639518738701,-171600
48,0,0,-172020
49,0,0,-172140
50,204073791156064795033490,-204073791156064795033490,-172200
51,402642658118493188111436,-402642658118493188111436,-172320
52,0,0,-172380
53,7860866566857097857096,-7860866566857097857096,-172560
54,30450980194667524210859,-30450980194667524210859,-172680
55,0,0,-172920
56,0,0,-173040
57,346615246426790895844768,-346615246426790895844768,-173220
58,0,0,-174120
59,0,0,-174180
60,2762538402420348706567,-2762538402420348706567,-174300
61,0,0,-174900
62,0,0,-175080
63,0,0,-175200
64,0,0,-175680
65,0,0,-175740
66,0,0,-175800
67,0,0,-175920
68,0,0,-176100
69,0,0,-176160
70,0,0,-176220
71,0,0,-176340
72,0,0,-176400
73,0,0,-176460
74,35096658368084811483052,-35096658368084811483052,-176700
75,238860880007195584,238860880007195584,-176760
76,0,0,-176820
77,0,0,-176880
78,0,0,-176940
79,0,0,-177000
80,0,0,-177120
81,0,0,-177180
82,1520135471694785317982,-1520135471694785317982,-177240
83,6156880551734809187904,-6156880551734809187904,-177300
84,0,0,-177360
85,0,0,-177420
86,0,0,-177600
87,0,0,-177660
88,0,0,-177780
89,0,0,-177840
90,0,0,-177900
91,0,0,-178020
92,0,0,-178080
93,0,0,-178200
94,0,0,-178260
95,17103110517700353997616,-17103110517700353997616,-178320
96,62152045110482824748235,-62152045110482824748235,-178380
97,0,0,-178500
98,353917824675405293947,-353917824675405293947,-178560
99,0,0,-178620
100,0,0,-178680
101,0,0,-178740
102,0,0,-178800
103,0,0,-178920
104,0,0,-178980
105,0,0,-179040
106,0,0,-179100
107,74264871619593934209291,-74264871619593934209291,-179160
108,176455470468931530632722,-176455470468931530632722,-179220
109,0,0,-179280
110,83789034679982746030351,-83789034679982746030351,-179340
111,0,0,-179400
112,0,0,-179460
113,24998980019902620608299,-24998980019902620608299,-179520
114,0,0,-179580
115,0,0,-179640
116,0,0,-179700
117,0,0,-179760
118,0,0,-179820
119,0,0,-179880
120,0,0,-179940
121,0,0,-180000
122,0,0,-180060
123,0,0,-180120
124,142073545828176348573432,-142073545828176348573432,-180180
125,0,0,-180240
126,0,0,-180300
127,0,0,-180360
128,0,0,-180420
129,0,0,-180480
130,0,0,-180540
131,0,0,-180600
132,1691437380127642527701437,-1691437380127642527701437,-180660
133,0,0,-180780
134,0,0,-180840
135,0,0,-180900
136,0,0,-180960
137,0,0,-181020
138,205920751401087756220312,-205920751401087756220312,-181080
139,910432164232207198794202,-910432164232207198794202,-181140
140,0,0,-181200
141,0,0,-181260
142,0,0,-181320
143,0,0,-181380
144,0,0,-181440
145,0,0,-181500
146,0,0,-181560
147,3637578929712753536705551,-3637578929712753536705551,-181680
148,0,0,-181740
149,0,0,-181800
150,0,0,-181860
151,0,0,-181920
152,0,0,-181980
153,0,0,-182040
154,0,0,182100
155,11081538443273577894051710,-11081538443273577894051710,-182100
156,0,0,-182160
157,234790172928891095889162,-234790172928891095889162,-182220
158,0,0,-182280
159,0,0,-182400
160,30450980194667524210859,30450980194667524210859,-182460
161,0,0,-182520
162,1083914065396575195671136,-1083914065396575195671136,-182580
163,8380851195506040055310780,-7575565879269053679087908,-182640
164,0,0,182700
165,18002898761388066338804679,-2837718637483653968907,-182700
166,0,0,-182760
167,17956302052757926366466,17956302052757926366466,-182820
168,0,0,-182880
169,0,0,-182940
170,0,0,-183000
171,0,0,-183060
172,0,0,-183120
173,0,0,-183180
174,0,0,-183240
175,18002812421027133270042118,2924058998416722731468,-183300
176,0,0,-183360
177,0,0,-183420
178,0,0,-183480
179,0,0,-183540
180,910432164232207198794202,910432164232207198794202,-183600
181,0,0,-183660
182,0,0,-183720
183,1083914065396575195671136,1083914065396575195671136,-183780
184,0,0,-183840
185,17992851922957024880648792,7036439071691666661858,-183900
186,0,0,-183960
187,0,0,-184020
188,0,0,-184080
189,1520135471694785317982,1520135471694785317982,-184140
190,371181541825575812084956,356255172063406687599812,-184200
191,0,0,-184260
192,0,0,-184320
193,0,0,-184380
194,0,0,-184440
195,18388734663167706740581263,388825938594643740901707,-184500
196,2081507921898286551633824,2081507921898286551633824,-184620
197,0,0,-184680
198,0,0,-184740
199,0,0,-184800
200,0,0,-184860
201,0,0,-184920
202,176455470468931530632722,176455470468931530632722,-184980
203,0,0,-185040
204,8999954362286531499839778,8999954362286531499839778,-185100
205,0,0,-185160
206,0,0,-185220
207,0,0,-185280
208,3241706370774244902957533,3241706370774244902957533,-185340
209,0,0,-185400
210,0,0,-185460
211,0,0,-185520
212,0,0,-185580
213,0,0,-185700
214,2596820892185821397011,-2596820892185821397011,-185760
215,0,0,-185820
216,0,0,-185880
217,0,0,-185940
218,0,0,-186000
219,24998980019902620608299,24998980019902620608299,-186060
220,0,0,-186120
221,205920751401087756220312,205920751401087756220312,-186180
222,0,0,-186240
223,734518121382026284456,-734518121382026284456,-186300
224,7860866566857097857096,7860866566857097857096,-186360
225,0,0,-186420
226,62152045110482824748235,62152045110482824748235,-186480
227,7978208537387546867199344,7978208537387546867199344,-186540
228,5560840429069060309283,5560840429069060309283,-186720
229,0,0,-186780
230,0,0,-186840
231,244883570273825499931,-244883570273825499931,-186900
232,0,0,-187020
233,0,0,-187080
234,0,0,-187140
235,0,0,-187200
236,200187190192053807,-200187190192053807,-187260
237,5825076821917109471631,-5825076821917109471631,-187320
238,0,0,-187380
239,0,0,-187500
240,62099310150868244035907,-62099310150868244035907,-187560
241,0,0,-187620
242,83789034679982746030351,83789034679982746030351,-187680
243,0,0,-187740
244,0,0,-187800
245,0,0,-187860
246,0,0,-187920
247,178051443255791749240972,-178051443255791749240972,-187980
248,0,0,-188100
249,178051443255791749240972,178051443255791749240972,-188160
250,0,0,-188220
251,5825076821917109471631,5825076821917109471631,-188280
252,0,0,-188340
253,0,0,-188400
254,0,0,-188460
255,0,0,-188520
256,2596820892185821397011,2596820892185821397011,-188580
257,0,0,-188760
258,142073545828176348573432,142073545828176348573432,-188820
259,74264871619593934209291,74264871619593934209291,-188880
260,62099310150868244035907,62099310150868244035907,-188940
261,0,0,-189000
262,0,0,-189180
263,0,0,-189240
264,0,0,-189420
265,0,0,-189480
266,1691437380127642527701437,1691437380127642527701437,-189540
267,0,0,-189600
268,0,0,-189660
269,0,0,-189720
270,0,0,-189780
271,0,0,-189840
272,0,0,-189900
273,802947278700739911581,-802947278700739911581,-190020
274,0,0,-190080
275,0,0,-190140
276,0,0,-190200
277,0,0,-190260
278,0,0,-190320
279,0,0,-190380
280,0,0,-190440
281,0,0,-190500
282,35096658368084811483052,35096658368084811483052,-190560
283,0,0,-190620
284,4548788844837481068115,-4548788844837481068115,-190680
285,0,0,-190740
286,0,0,-190800
287,0,0,-190860
288,0,0,-190920
289,14914076171135439424968,-14914076171135439424968,-190980
290,244883570273825499931,244883570273825499931,-191040
291,4605143364189742189823,-4605143364189742189823,-191100
292,0,0,191160
293,187426699883807409689780,170118073097185864488360,-191160
294,0,0,-191220
295,0,0,-191280
296,45506570962971086101049,45506570962971086101049,-191340
297,0,0,-191400
298,0,0,-191460
299,0,0,-191520
300,0,0,-191580
301,190197245941764616842,-190197245941764616842,-191640
302,0,0,-191700
303,0,0,-191760
304,23786241671743427658192,-23786241671743427658192,-191820
305,0,0,-191880
306,0,0,-191940
307,0,0,-192000
308,0,0,-192060
309,0,0,-192120
310,0,0,-192180
311,872714359778303794700,-872714359778303794700,-192240
312,0,0,-192300
313,0,0,-192360
314,0,0,-192420
315,0,0,-192480
316,0,0,-192540
317,0,0,-192600
318,0,0,-192660
319,0,0,-192720
320,0,0,-192780
321,0,0,-192840
322,0,0,-192900
323,0,0,-192960
324,0,0,-193020
325,239028770775587387514,-239028770775587387514,-193080
326,253926443244881973151418,-253926443244881973151418,-193140
327,0,0,-193200
328,253926443244881973151418,253926443244881973151418,-193260
329,0,0,-193320
330,119048241601075223370730,-119048241601075223370730,-193380
331,5003975640424252778103,5003975640424252778103,-193440
332,1307371506204218624606200,-1307371506204218624606200,-193500
333,0,0,-193560
334,1368051219648684137955455,1246925730648560544574741,-193620
335,0,0,-193680
336,0,0,-193740
337,619813905161767972532546,608462784946642177962212,-193800
338,872714359778303794700,872714359778303794700,-193860
339,0,0,-193920
340,23311592104919396100184,-23311592104919396100184,-193980
341,0,0,194040
342,101452302725242744291716,-101452302725242744291716,-194040
343,0,0,194100
344,0,0,-194100
345,101631588605583041923880,101273016844902446659552,-194160
346,23311592104919396100184,23311592104919396100184,-194220
347,0,0,-194280
348,0,0,194340
349,0,0,-194340
350,200187190192053807,200187190192053807,-194400
351,193913952463256506826,-193913952463256506826,-194460
352,0,0,-194520
353,0,0,-194580
354,0,0,-194640
355,0,0,-194700
356,0,0,-194760
357,0,0,-194820
358,0,0,-194880
359,0,0,-194940
360,0,0,-195000
361,0,0,-195060
362,78072752810953625555378,-78072752810953625555378,-195120
363,7463184881084562242572,7463184881084562242572,-195180
364,3915170554335022666988,-1803642016155362744382,-195240
365,0,0,-195300
366,60562744500061796690357,60562744500061796690357,-195360
367,0,0,-195420
368,0,0,-195480
369,0,0,-195540
370,470103113830185708393086,-470103113830185708393086,-195600
371,0,0,-195660
372,0,0,-195720
373,0,0,-195780
374,179285880340297632164,179285880340297632164,-195840
375,0,0,-195900
376,77207185787805560210917,77207185787805560210917,-195960
377,0,0,196020
378,0,0,-196020
379,802947278700739911581,802947278700739911581,-196080
380,0,0,-196140
381,0,0,-196200
382,193913952463256506826,193913952463256506826,-196260
383,23786241671743427658192,23786241671743427658192,-196320
384,1204284763802984375,-1204284763802984375,-196380
385,0,0,-196440
386,0,0,-196500
387,1204284763802984375,1204284763802984375,-196560
388,0,0,-196620
389,0,0,-196680
390,0,0,-196740
391,4605143364189742189823,4605143364189742189823,-196800
392,0,0,-196860
393,0,0,-196920
394,0,0,-196980
395,0,0,-197040
396,366586337007534876452,-366586337007534876452,-197100
397,0,0,-197160
398,2237045957314558178794,-1503873283299488425890,-197220
399,1870459620307023302342,1870459620307023302342,-197280
400,0,0,-197340
401,5675560107562897285167,5675560107562897285167,-197400
402,0,0,-197460
403,0,0,-197520
404,0,0,-197580
405,0,0,-197640
406,96858331097553511240990,96858331097553511240990,-197700
407,0,0,-197760
408,0,0,-197820
409,0,0,-197880
410,0,0,-197940
411,14914076171135439424968,14914076171135439424968,-198000
412,1017653644835096326993,1017653644835096326993,-198060
413,151268990886749193969334,151268990886749193969334,-198120
414,0,0,-198180
415,0,0,-198240
416,0,0,-198300
417,0,0,-198360
