,liquidityGross,liquidityNet,tickIdx
0,0,0,0
1,1699281559640721643,-1699281559640721643,115140
2,0,0,138180
3,0,0,-138180
4,0,0,-16080
5,0,0,-16140
6,11547329254515657145,-11547329254515657145,-17700
7,0,0,-17940
8,7230916237935580062,-7230916237935580062,-18960
9,9096435311746408744,-9096435311746408744,-20640
10,17528720498405808390,-17528720498405808390,-21780
11,0,0,-22320
12,0,0,-22980
13,5412904425679398484,-5412904425679398484,-23040
14,0,0,-23640
15,19830713047660773426,-19830713047660773426,-23760
16,0,0,-24000
17,20494479786561598035,-20494479786561598035,-24060
18,0,0,-24780
19,0,0,-25080
20,0,0,-25200
21,0,0,-25380
22,835134811235483691236,-835134811235483691236,-25560
23,10092747514938710742,-10092747514938710742,-25800
24,0,0,-26160
25,2723965838281476917,-2723965838281476917,-26340
26,0,0,-26580
27,0,0,-26940
28,0,0,-27000
29,209676845475139351723,-209676845475139351723,-27060
30,3073453120502298775,-3073453120502298775,-27300
31,32042779586103306575,-32042779586103306575,-27360
32,0,0,-27420
33,177065603399429354218,-177065603399429354218,-27480
34,0,0,-27540
35,0,0,-27660
36,13803635231300386726,-13803635231300386726,-27720
37,0,0,-27840
38,0,0,-28260
39,0,0,-28380
40,0,0,-28440
41,0,0,-28500
42,99585645259625471,-99585645259625471,-28740
43,0,0,-29040
44,14590293640492557975,-14590293640492557975,-29160
45,172948833997852980276,-172948833997852980276,-29220
46,395103030825469082,-395103030825469082,-29280
47,683504633179698682,-683504633179698682,-29400
48,0,0,-29460
49,0,0,-29520
50,0,0,-29580
51,0,0,-29640
52,0,0,-29700
53,25360972384512965553,-25360972384512965553,-29760
54,0,0,-29820
55,509269744559352632169,-509269744559352632169,-29940
56,25169161536850819685,-25169161536850819685,-30000
57,0,0,-30060
58,24705804366901179642,-24705804366901179642,-30120
59,0,0,-30240
60,0,0,-30420
61,572785649989502397197,-572785649989502397197,-30480
62,56593888277240496945,-56593888277240496945,-30540
63,16535644126983764237,-16535644126983764237,-30600
64,0,0,-30660
65,8063820150448255765,-8063820150448255765,-30720
66,234053713203045196789,-234053713203045196789,-30840
67,17544182478674852275,-17544182478674852275,-30900
68,3998788282904212778,-3998788282904212778,-30960
69,0,0,-31020
70,0,0,-31080
71,67856593183767930956,-67856593183767930956,-31140
72,0,0,-31200
73,20786114007493101014,-20786114007493101014,-31320
74,2260843207984723893778,-2260843207984723893778,-31380
75,0,0,-31440
76,0,0,-31500
77,0,0,-31560
78,0,0,-31620
79,1499134498634571694,-1499134498634571694,-31680
80,17037585297058236320,-17037585297058236320,-31740
81,44313654479624361515,-44313654479624361515,-31800
82,0,0,-31860
83,8642370664003238703,-8642370664003238703,-31920
84,0,0,-31980
85,27593162425426258861,-27593162425426258861,-32040
86,52717970686558915703,-52717970686558915703,-32100
87,0,0,-32160
88,465899649095929793816,-465899649095929793816,-32220
89,0,0,-32280
90,44031187942311028608,-44031187942311028608,-32340
91,167138254858259511496,-167138254858259511496,-32400
92,1208576412046546886,-1208576412046546886,-32460
93,0,0,-32520
94,9553033696353046746,-9553033696353046746,-32580
95,0,0,-32640
96,0,0,-32700
97,0,0,-32760
98,2115712190671653024130,-2115712190671653024130,-32820
99,1204560482193434659,-1204560482193434659,-32880
100,226754587765054656159,-226754587765054656159,-32940
101,1169238654792760459510,-1169238654792760459510,-33000
102,0,0,-33060
103,1849327845196729278160,-1849327845196729278160,-33120
104,1512791880264826841376,-1512791880264826841376,-33180
105,0,0,-33240
106,369042429801299603091,-369042429801299603091,-33300
107,75852901540934197172,-75852901540934197172,-33360
108,0,0,-33420
109,960744573160250395854,-960744573160250395854,-33480
110,5425875989945021410,-5425875989945021410,-33540
111,1900112739419030639281,-1900112739419030639281,-33600
112,618299750647023820201,-618299750647023820201,-33660
113,0,0,-33720
114,0,0,-33780
115,0,0,-33840
116,0,0,-33900
117,0,0,-33960
118,3639887820823099255,-3639887820823099255,-34020
119,0,0,-34080
120,4231043839552517989270,-532388149159059432950,-34140
121,45959119087692026025,-45959119087692026025,-34200
122,0,0,-34260
123,0,0,-34320
124,0,0,-34380
125,68235928409273219294,68235928409273219294,-34440
126,8263276998308573845084,-8263276998308573845084,-34500
127,0,0,-34560
128,9762670799000368640,-9762670799000368640,-34620
129,0,0,-34680
130,14590293640492557975,14590293640492557975,-34740
131,0,0,-34800
132,0,0,-34860
133,12990550888763862234,-12990550888763862234,-34920
134,0,0,-34980
135,0,0,-35040
136,8263276998308573845084,8263276998308573845084,-35100
137,399020380037031488977,399020380037031488977,-35160
138,1512791880264826841376,1512791880264826841376,-35220
139,85223541389078015879,85223541389078015879,-35280
140,0,0,-35340
141,2381715994355788711110,2381715994355788711110,-35400
142,225039574730904802923,225039574730904802923,-35460
143,2366012388514960433097,2366012388514960433097,-35520
144,1318770312202763523678,1318770312202763523678,-35580
145,1204560482193434659,1204560482193434659,-35640
146,0,0,-35700
147,0,0,-35760
