,liquidityGross,liquidityNet,tickIdx
0,0,0,0
1,3333166668056180,-3333166668056180,1
2,296753562275455,-296753562275455,-1
3,25533698232824,-25533698232824,10
4,322287260508279,322287260508279,-10
5,1698254127755726,1698254127755726,-11
6,1454523884268992,1454523884268992,-12
7,26179294278,26179294278,-13
8,23538865056212,23538865056212,-15
9,1933112737621,-1933112737621,16
10,0,0,18
11,16822621061,-16822621061,2
12,0,0,-22
13,1933112737621,1933112737621,-24
14,1221052488067,-1221052488067,3
15,1221052488067,1221052488067,-3
16,208906700987825407,-208906700987825407,4
17,208907753439513765,208907753439513765,-4
18,60243031200887610,-60243031200887610,5
19,3333166668056180,3333166668056180,-5
20,1054089740516,-1054089740516,6
21,9356673217,-9356673217,7
22,3152778012024718,-3152778012024718,8
23,0,0,-8
24,0,0,887272
25,0,0,-887272
26,0,0,9
27,60219493973883556,60219493973883556,-9
