,liquidityGross,liquidityNet,tickIdx
0,0,0,0
1,0,0,-12540
2,0,0,12900
3,0,0,138180
4,0,0,-138180
5,0,0,20520
6,2750661877323343447649,2750661877323343447649,23040
7,0,0,23700
8,4911802876992653923,4911802876992653923,25140
9,0,0,28560
10,0,0,28740
11,0,0,28800
12,0,0,29880
13,0,0,29940
14,4251952788938793536033,4251952788938793536033,30840
15,2595675652035111313253,2595675652035111313253,30960
16,0,0,31680
17,0,0,32460
18,0,0,33780
19,0,0,35340
20,0,0,36120
21,13673328518091909601633,13673328518091909601633,36360
22,0,0,36720
23,0,0,37140
24,0,0,37680
25,0,0,37980
26,0,0,38100
27,0,0,38160
28,0,0,38340
29,0,0,38400
30,0,0,38880
31,0,0,39000
32,0,0,39120
33,0,0,39540
34,85466535969936292284,85466535969936292284,39720
35,0,0,40080
36,1770537169326368719,1770537169326368719,40140
37,0,0,40260
38,0,0,40740
39,0,0,40980
40,0,0,41100
41,0,0,41160
42,0,0,41220
43,0,0,41280
44,0,0,41340
45,53993149973103894606,53993149973103894606,41520
46,0,0,41580
47,0,0,41640
48,1541463551640216967051,1541463551640216967051,41760
49,0,0,41820
50,0,0,42000
51,0,0,42120
52,0,0,42180
53,0,0,42240
54,0,0,42480
55,0,0,42600
56,69573323596753337358,69573323596753337358,42840
57,0,0,42960
58,0,0,43020
59,0,0,43200
60,13673328518091909601633,-13673328518091909601633,43260
61,0,0,43320
62,0,0,43380
63,0,0,43440
64,0,0,43500
65,0,0,43560
66,0,0,43680
67,0,0,43740
68,0,0,43800
69,0,0,43860
70,0,0,43920
71,0,0,44040
72,0,0,44160
73,4291056106977256126042,4291056106977256126042,44220
74,37996006710840547972,37996006710840547972,44400
75,0,0,44760
76,0,0,44880
77,0,0,44940
78,0,0,45000
79,0,0,45060
80,0,0,45120
81,0,0,45180
82,0,0,45240
83,0,0,45480
84,0,0,45540
85,0,0,45720
86,0,0,45840
87,0,0,46080
88,0,0,46140
89,861294625809582060250,861294625809582060250,46200
90,0,0,46320
91,2750661877323343447649,-2750661877323343447649,46380
92,0,0,46440
93,0,0,46500
94,0,0,46560
95,0,0,46800
96,0,0,46920
97,0,0,47040
98,0,0,47100
99,0,0,47220
100,0,0,47280
101,0,0,47340
102,0,0,47460
103,0,0,47520
104,0,0,47580
105,0,0,47640
106,0,0,47700
107,0,0,47820
108,0,0,47880
109,0,0,48000
110,0,0,48060
111,0,0,48180
112,0,0,48240
113,0,0,48300
114,0,0,48540
115,2938963541371705210,2938963541371705210,48720
116,3477871631569805477809,3477871631569805477809,48780
117,2595675652035111313253,-2595675652035111313253,48840
118,0,0,48900
119,0,0,49080
120,0,0,49140
121,0,0,49260
122,0,0,49440
123,861294625809582060250,-861294625809582060250,49500
124,0,0,49560
125,4251952788938793536033,-4251952788938793536033,49680
126,0,0,49740
127,0,0,50040
128,0,0,50100
129,0,0,50280
130,0,0,50400
131,0,0,50460
132,0,0,50520
133,0,0,50580
134,0,0,50640
135,0,0,50760
136,1509294498491572231171,-1509294498491572231171,50820
137,0,0,50880
138,85466535969936292284,-85466535969936292284,51000
139,0,0,51120
140,0,0,51240
141,0,0,51420
142,2938963541371705210,-2938963541371705210,51480
143,0,0,51660
144,4291056106977256126042,-4291056106977256126042,51960
145,0,0,52020
146,0,0,52140
147,37996006710840547972,-37996006710840547972,52380
148,0,0,52440
149,0,0,52500
150,0,0,52560
151,0,0,52680
152,0,0,52740
153,0,0,52980
154,0,0,53100
155,0,0,53400
156,313049107424915065733932,313049107424915065733932,53640
157,313049107424915065733932,-313049107424915065733932,53820
158,0,0,53880
159,0,0,53940
160,0,0,54000
161,0,0,54120
162,0,0,54180
163,0,0,54240
164,0,0,54360
165,0,0,54480
166,0,0,54600
167,0,0,54780
168,0,0,54900
169,0,0,54960
170,0,0,55140
171,0,0,55320
172,53993149973103894606,-53993149973103894606,55380
173,3477871631569805477809,-3477871631569805477809,55440
174,0,0,55500
175,32169053148644735880,-32169053148644735880,55620
176,1770537169326368719,-1770537169326368719,55680
177,0,0,56040
178,0,0,56160
179,0,0,56280
180,0,0,56400
181,4911802876992653923,-4911802876992653923,56460
182,69573323596753337358,-69573323596753337358,56700
183,0,0,57060
184,0,0,57180
185,0,0,57300
186,0,0,57360
187,0,0,57480
188,0,0,57840
189,0,0,58320
190,0,0,58740
191,0,0,59040
192,0,0,59940
193,0,0,60660
194,0,0,60840
195,0,0,61440
196,0,0,61800
197,0,0,62160
198,0,0,62400
199,0,0,63000
200,0,0,63180
201,0,0,63960
202,56697840627814726754,56697840627814726754,64380
203,0,0,64440
204,0,0,64560
205,0,0,64800
206,0,0,65700
207,0,0,66840
208,590133635778517084,590133635778517084,67140
209,0,0,67200
210,56697840627814726754,-56697840627814726754,67260
211,0,0,67380
212,0,0,67440
213,0,0,67500
214,0,0,67620
215,0,0,68040
216,0,0,68580
217,0,0,68820
218,0,0,69000
219,0,0,69120
220,9402666622300413397,9402666622300413397,69240
221,0,0,70140
222,590133635778517084,-590133635778517084,70500
223,0,0,71040
224,0,0,72420
225,0,0,73560
226,0,0,75120
227,0,0,75660
228,0,0,76080
229,0,0,76260
230,0,0,78720
231,0,0,82800
232,9402666622300413397,-9402666622300413397,83100
233,0,0,-8520
234,0,0,887220
235,0,0,-887220
