,liquidityGross,liquidityNet,tickIdx
0,0,0,-104600
1,0,0,138200
2,0,0,-138200
3,0,0,3400
4,0,0,-58600
5,5007529669247366783069,-5007529669247366783069,-60000
6,0,0,-64200
7,1784519811081209312016,-1784519811081209312016,-64400
8,294491296331372738372,-294491296331372738372,-64600
9,43048203076373051260,-43048203076373051260,-64800
10,0,0,-65000
11,0,0,-65400
12,791788434835798964488,-791788434835798964488,-65600
13,103706739398734991501,-103706739398734991501,-66200
14,0,0,-66600
15,322169501462731690356,-322169501462731690356,-67000
16,0,0,-67400
17,469732578729943844085,-469732578729943844085,-67600
18,196160210705036321600,-196160210705036321600,-67800
19,0,0,-68000
20,1336897595079599581283,-1336897595079599581283,-68200
21,670632640117057861290,-670632640117057861290,-68400
22,74444676634850599283,-74444676634850599283,-68600
23,3796909123552840201801,-3796909123552840201801,-68800
24,10269534416571693719529,-10269534416571693719529,-69000
25,247377841185908567054080,-247377841185908567054080,-69200
26,132518437917239151154,-132518437917239151154,-69400
27,571388619898649318056,-571388619898649318056,-69600
28,2889344763973123501120,-2889344763973123501120,-70000
29,4825457931906607188426,-4825457931906607188426,-70200
30,2153593492490034580620,-2153593492490034580620,-70400
31,1456622683026711839836,-1456622683026711839836,-70600
32,0,0,-70800
33,87721675823966808100,-87721675823966808100,-71000
34,551829462000463460454,-551829462000463460454,-71200
35,7637075451760044467126,-7637075451760044467126,-71400
36,215778262305483318771,-215778262305483318771,-71600
37,0,0,-71800
38,902853748026641266487,-902853748026641266487,-72000
39,79179927357995448762020,-79179927357995448762020,-72200
40,0,0,-72400
41,19580453113275997284887,-19580453113275997284887,-72600
42,7457045385083527468640,-7457045385083527468640,-72800
43,166048418521295302912,-166048418521295302912,-73000
44,4896714224898580277436,-2166375581338966778698,-73200
45,10346851816116407496132,-10346851816116407496132,-73400
46,0,0,-73600
47,0,0,-73800
48,5407468686150157278528,-5407468686150157278528,-74000
49,21694189771367455046,-21694189771367455046,-74200
50,0,0,-74400
51,0,0,-74600
52,0,0,-74800
53,4811192387270409797959,-2055990589945562038313,-75000
54,1114698194542046460906,-1114698194542046460906,-75200
55,15368919588135757375491,-15368919588135757375491,-75400
56,14894740563259499840746,14894740563259499840746,-75600
57,0,0,-75800
58,12889040776541834758179,12784995901764325412041,-76000
59,0,0,-76200
60,4823893514738160294869,4823893514738160294869,-76400
61,4231907767777556082232,4231907767777556082232,-76600
62,624866581372001244209,624866581372001244209,-76800
63,78514599819926906584199,78514599819926906584199,-77000
64,156086315624587722916,156086315624587722916,-77200
65,469732578729943844085,469732578729943844085,-77400
66,1934026784194902458837,1791105162708463036029,-77600
67,7548498746330432559107,7548498746330432559107,-77800
68,1160766126108846717498,1160766126108846717498,-78000
69,2944813450959164238618,2944813450959164238618,-78200
70,21806921886364558194943,21806921886364558194943,-78400
71,665327538068542177821,665327538068542177821,-78600
72,0,0,-78800
73,276199499478368605488,276199499478368605488,-79000
74,52022437388754673069,52022437388754673069,-79200
75,326403822115477806877,326403822115477806877,-79400
76,9598984037206771209605,9598984037206771209605,-79600
77,0,0,-79800
78,94490666783061600330,94490666783061600330,-80000
79,0,0,-80200
80,0,0,-80400
81,357841450007019525520,357841450007019525520,-80600
82,2027383959471748686014,2027383959471748686014,-80800
83,311673940969597871376,311673940969597871376,-81000
84,3740712807706602275758,3740712807706602275758,-81200
85,0,0,-81400
86,0,0,-81600
87,3103682621235532579409,3103682621235532579409,-81800
88,0,0,-82000
89,0,0,-82200
90,0,0,-82400
91,74444676634850599283,74444676634850599283,-82600
92,0,0,-82800
93,0,0,-83000
94,247512418778357688182529,247512418778357688182529,-83200
95,884179810008687653826,884179810008687653826,-83400
96,0,0,-83600
97,142729136011253060091,142729136011253060091,-83800
98,0,0,-84000
99,0,0,-84400
100,0,0,-84600
101,0,0,-84800
102,0,0,-85000
103,15368919588135757375491,15368919588135757375491,-85200
104,0,0,-85400
105,0,0,-85800
106,21694189771367455046,21694189771367455046,-86000
107,0,0,-86200
108,0,0,-86600
109,166048418521295302912,166048418521295302912,-86800
110,0,0,-87400
111,0,0,-87600
112,0,0,-87800
113,0,0,-88000
114,0,0,-88200
115,0,0,887200
116,0,0,-88800
117,0,0,-89400
118,0,0,-89600
119,0,0,-89800
120,0,0,-90000
121,0,0,-90200
122,0,0,-90600
123,0,0,-90800
124,0,0,-91000
125,0,0,-91200
126,0,0,-91400
127,0,0,-91800
128,0,0,-92000
129,0,0,-92200
130,0,0,-92400
131,0,0,-92600
132,0,0,-93000
133,0,0,-93200
134,350977739201852903799,350977739201852903799,-93600
135,0,0,-94000
136,0,0,-94600
137,0,0,-94800
138,0,0,-95600
139,0,0,-95800
140,0,0,-98800
141,0,0,-99400
