,liquidityGross,liquidityNet,tickIdx
0,827536245377,827536245377,0
1,0,0,161190
2,8011857382663,8011857382663,185740
3,8011857382663,-8011857382663,185970
4,0,0,200700
5,3373954775055585,3373954775055585,201480
6,3373954775055585,-3373954775055585,201490
7,0,0,206080
8,0,0,207240
9,0,0,207250
10,2665070333023,2665070333023,230270
11,1999602242748,-1999602242748,230280
12,3309563262411,3309563262411,231420
13,0,0,234340
14,0,0,234890
15,0,0,235210
16,693366095665,693366095665,235380
17,5413773398062,5413773398062,241250
18,0,0,242190
19,0,0,242300
20,0,0,242310
21,0,0,244300
22,26399851590935,26399851590935,246370
23,0,0,246830
24,0,0,247130
25,0,0,248170
26,0,0,248190
27,102466262103792,102466262103792,248560
28,34463715015557,34463715015557,248590
29,0,0,248830
30,136945656296114,136945656296114,249240
31,0,0,249640
32,0,0,249730
33,1587324046312,1587324046312,249800
34,0,0,250130
35,13759780801997,13759780801997,250670
36,74663589608472,74663589608472,250680
37,0,0,251070
38,0,0,251150
39,0,0,251240
40,385875065082089,385875065082089,251370
41,0,0,251400
42,161693697082386,161693697082386,251470
43,0,0,251780
44,0,0,251870
45,0,0,252130
46,6072212814206887,6072212814206887,252180
47,114664878957482,114664878957482,252240
48,0,0,252310
49,117703570777286,117703570777286,252350
50,1130694397234758,1130694397234758,252430
51,0,0,252470
52,0,0,252480
53,517694857071872,517694857071872,252710
54,0,0,252800
55,525908291150334,525908291150334,252900
56,0,0,253030
57,0,0,253080
58,0,0,253110
59,0,0,253150
60,0,0,253160
61,4544971919432131,4544971919432131,253180
62,18042870931961,18042870931961,253190
63,5008494264724177,5008494264724177,253200
64,8023912491040559,8023912491040559,253230
65,439771916655660,439771916655660,253290
66,1068904981604559,1068904981604559,253300
67,0,0,253340
68,15962742895185518,15962742895185518,253390
69,0,0,253420
70,0,0,253540
71,18354788158339,18354788158339,253560
72,361449071690753,361449071690753,253640
73,0,0,253660
74,0,0,253720
75,0,0,253760
76,131322720580527,131322720580527,253800
77,9622013654967,9622013654967,253810
78,0,0,253880
79,383390185411368,383390185411368,253900
80,756032856468522,756032856468522,253920
81,0,0,253930
82,2610400916971,2610400916971,254040
83,145112237394943,145112237394943,254070
84,52487261949354,52487261949354,254180
85,0,0,254190
86,486979590219888,486979590219888,254220
87,0,0,254230
88,0,0,254240
89,0,0,254250
90,69766255120214,69766255120214,254260
91,0,0,254280
92,951614176374834,951614176374834,254340
93,1514455625064941,1514455625064941,254350
94,0,0,254370
95,54338048110553,54338048110553,254380
96,233142861240881,233142861240881,254440
97,0,0,254450
98,0,0,254550
99,0,0,254570
100,2469400117622,2469400117622,254630
101,0,0,254640
102,38904596091347,38904596091347,254680
103,34569238251487,34569238251487,254690
104,95905862479672,95905862479672,254740
105,0,0,254750
106,0,0,254760
107,1687468616368495,1687468616368495,254770
108,1982265335071966,1982265335071966,254780
109,2717142451934347,2717142451934347,254790
110,0,0,254800
111,0,0,254810
112,0,0,254840
113,706787666941033,706787666941033,254920
114,0,0,254930
115,1170131816831390,1170131816831390,254980
116,0,0,255010
117,0,0,255040
118,1171138716343053,1171138716343053,255060
119,2039812722196957,2039812722196957,255070
120,0,0,255100
121,547067338250514,547067338250514,255110
122,2317513683101056,2317513683101056,255120
123,0,0,255130
124,0,0,255140
125,348984787221656,348984787221656,255150
126,57277122954487,57277122954487,255170
127,1851054775736452,1851054775736452,255200
128,0,0,255220
129,0,0,255250
130,0,0,255270
131,1045590799162272,1045590799162272,255290
132,127229279908448,127229279908448,255300
133,4444091139816795,4444091139816795,255310
134,0,0,255320
135,0,0,255330
136,0,0,255360
137,6458790245589922,6458790245589922,255370
138,0,0,255390
139,0,0,255400
140,92221680151033869,92221680151033869,255430
141,642146252412773,642146252412773,255440
142,921859413294904,921859413294904,255450
143,43137664235480,43137664235480,255460
144,0,0,255470
145,981082745921263,981082745921263,255480
146,2734292372732786,2734292372732786,255490
147,1263641660694713,1263641660694713,255520
148,5228790191425836,5228790191425836,255530
149,0,0,255540
150,0,0,255550
151,0,0,255560
152,0,0,255580
153,0,0,255590
154,339528690130421,339528690130421,255600
155,0,0,255620
156,0,0,255640
157,4481984555292262,4481984555292262,255650
158,0,0,255660
159,218169667764175,218169667764175,255680
160,0,0,255690
161,51662126169651508,51662126169651508,255700
162,44327129313897645,44327129313897645,255720
163,949388066830463,949388066830463,255730
164,0,0,255740
165,0,0,255750
166,3158041319533019,3158041319533019,255770
167,900337936158718,900337936158718,255780
168,1,1,255820
169,1,1,255830
170,25309802964753,25309802964753,255840
171,0,0,255850
172,0,0,255860
173,0,0,255870
174,150977337044703,150977337044703,255880
175,151429614047034022,151429614047034022,255890
176,0,0,255900
177,4870036684615941,4870036684615941,255910
178,0,0,255920
179,0,0,255930
180,0,0,255940
181,384749064793471,384749064793469,255950
182,0,0,255960
183,7178320245022,7178320245022,255970
184,1,1,255980
185,0,0,255990
186,0,0,256000
187,0,0,256020
188,293440638979,293440638979,256030
189,0,0,256040
190,0,0,256050
191,0,0,256060
192,0,0,256070
193,9790799871209423,9790799871209423,256080
194,0,0,256090
195,0,0,256100
196,0,0,256110
197,1,-1,256120
198,1,-1,256130
199,0,0,256140
200,3390605699092214,3390605699092214,256150
201,14489307914868,14489307914868,256160
202,6357229164085422,6357229164085422,256170
203,0,0,256180
204,1,1,256190
205,0,0,256200
206,0,0,256210
207,0,0,256220
208,0,0,256230
209,0,0,256240
210,0,0,256250
211,0,0,256260
212,0,0,256270
213,1,-1,256280
214,0,0,256290
215,0,0,256300
216,21306242500091,21306242500091,256310
217,0,0,256320
218,0,0,256330
219,6155039371805049,6155039371805049,256340
220,1,1,256350
221,5786105966104,5786105966104,256360
222,0,0,256370
223,0,0,256380
224,0,0,256390
225,0,0,256400
226,0,0,256410
227,0,0,256420
228,0,0,256430
229,7900257587757917,7900257587757917,256440
230,127025554683157,127025554683157,256450
231,0,0,256470
232,13784783626237860,13784783626237860,256480
233,1,-1,256490
234,7096087773609,7096087773609,256500
235,1,1,256510
236,0,0,256520
237,0,0,256530
238,0,0,256540
239,0,0,256550
240,191283513581,191283513581,256560
241,0,0,256570
242,0,0,256580
243,334841787109873,334841787109873,256590
244,0,0,256600
245,0,0,256610
246,0,0,256620
247,0,0,256630
248,0,0,256640
249,1,-1,256650
250,732017304019788,732017304019788,256660
251,0,0,256670
252,1,1,256680
253,0,0,256690
254,27540624789033,27540624789033,256700
255,1,1,256710
256,0,0,256720
257,20523626086027,20523626086027,256730
258,0,0,256740
259,0,0,256750
260,4163595739794,4163595739794,256760
261,0,0,256770
262,3726745839244664,3726745839244664,256780
263,0,0,256790
264,18626387259100073,18618060067620487,256800
265,1,-1,256810
266,0,0,256820
267,0,0,256830
268,3,3,256840
269,0,0,256850
270,4770885673315372,-4770885673315370,256860
271,1,1,256870
272,0,0,256880
273,0,0,256890
274,0,0,256900
275,1,1,256910
276,163416200010402,163416200010402,256920
277,1,-1,256930
278,11629980351871,11629980351871,256940
279,2,2,256950
280,4,2,256960
281,0,0,256970
282,401744295330125,401744295330123,256980
