,liquidityGross,liquidityNet,tickIdx
0,17389547040,-17389547040,-115080
1,425739666478,-425739666478,-115140
2,0,0,-116160
3,2256434672095,-2256434672095,-131220
4,124933717527,-124933717527,-138180
5,345853234398124,-345853234398124,-139500
6,0,0,-146820
7,0,0,-148800
8,2786887277176,-2786887277176,-153360
9,0,0,-154140
10,0,0,-154260
11,0,0,-157140
12,13988857085698,-13988857085698,-161160
13,0,0,-163440
14,1596920424176,-1596920424176,-163680
15,0,0,-168120
16,0,0,-168360
17,17631193657664,-17631193657664,-169620
18,0,0,-170340
19,0,0,-170640
20,0,0,-170880
21,93730433936149,-93730433936149,-171060
22,1498062937964616,-1498062937964616,-173220
23,0,0,-173940
24,7083531680537,-7083531680537,-174000
25,16909650322157,-16909650322157,-174060
26,0,0,-174360
27,49235907045627,-49235907045627,-174660
28,35264576526227,-35264576526227,-174900
29,102585541689,-102585541689,-175080
30,0,0,-175380
31,87559989875890,-87559989875890,-175440
32,0,0,-175980
33,0,0,-176340
34,0,0,-176820
35,0,0,-177120
36,0,0,-177240
37,4792930390672553,-4792930390672553,-177300
38,0,0,-177540
39,0,0,-177780
40,0,0,-178620
41,26977318603939,-26977318603939,-178920
42,54054471071221,-54054471071221,-179100
43,0,0,-179700
44,0,0,-179760
45,216558840797888217,-216558840797888217,18000
46,1006622141407037933,-1006622141407037933,180000
47,0,0,-180000
48,303984595577,-303984595577,-180120
49,115668002452767,-115668002452767,-180180
50,8619869318618499,-8619869318618499,-180780
51,0,0,-180900
52,0,0,-181200
53,0,0,-181560
54,1353999612378,-1353999612378,-181680
55,22106517000079,-22106517000079,-181920
56,335814617560660,-335814617560660,-181980
57,0,0,-182160
58,0,0,-182280
59,147319963359161,-147319963359161,-182400
60,445284316109024,-445284316109024,-182580
61,9841372119784,-9841372119784,-182760
62,0,0,-182940
63,7236691024809,-7236691024809,-183180
64,3365169614397452,-3365169614397452,-183240
65,0,0,-183300
66,0,0,-183660
67,0,0,-183720
68,0,0,-183780
69,0,0,-183840
70,43007766552636101,-43007766552636101,-183900
71,80929223546,-80929223546,-184020
72,0,0,-184080
73,5554715835757,-5554715835757,-184140
74,6789084244191238,-6789084244191238,-184200
75,5554715835757,5554715835757,-184260
76,0,0,-184320
77,0,0,-184440
78,0,0,-184620
79,2083015061489,-2083015061489,-184680
80,0,0,-184740
81,6408053805760990,-6408053805760990,-184800
82,2526472552463403,-2526472552463403,-184920
83,79482529131733,-79482529131733,-184980
84,2326743171,-2326743171,-185040
85,0,0,-185160
86,4794392339294468,-4794392339294468,-185220
87,1616531194922684,-1616531194922684,-185280
88,3825565656150592,-3825565656150592,-185340
89,226030871888130,-226030871888130,-185400
90,454866187393558,-454866187393558,-185460
91,0,0,-185520
92,0,0,-185580
93,256059777135178,-256059777135178,-185640
94,3502289211815362,-3502289211815362,-185700
95,29177320149938,-29177320149938,-185760
96,481740233638193,-481740233638193,-185820
97,162631286202918,-162631286202918,-185880
98,216048482380743,-216048482380743,-185940
99,953425244930932,-953425244930932,-186000
100,581690568922583,-581690568922583,-186060
101,729684369541465,-729684369541465,-186120
102,219234477820849,-219234477820849,-186180
103,0,0,-186240
104,244358898283963,-244358898283963,-186300
105,3328131282429827,-3328131282429827,-186360
106,20294583935368047,-20294583935368047,-186420
107,753765972238392,-753765972238392,-186480
108,1572083956619117,-1572083956619117,-186540
109,0,0,-186600
110,3593572857968800,-3593572857968800,-186660
111,4065859666878,-4065859666878,-186720
112,4002226868564,-4002226868564,-186780
113,0,0,-186840
114,32575481000238382,-32575481000238382,-186900
115,8596073840095827,-8596073840095827,-186960
116,0,0,-187020
117,365830584146274,-365830584146274,-187080
118,0,0,-187140
119,0,0,-187200
120,64463554226504457,-64463554226504457,-187320
121,18841005734957,-18841005734957,-187380
122,21861055311817928,-21861055311817928,-187500
123,151755351829121,-151755351829121,-187560
124,1020332824417824,-1020332824417824,-187620
125,56047177952893,-56047177952893,-187680
126,565224715011148,-565224715011148,-187740
127,9684990129817834,-9684990129817834,-187800
128,0,0,-187860
129,117208978818270,-117208978818270,-187920
130,18606335767541274,-18606335767541274,-187980
131,66798616657565,-66798616657565,-188040
132,1100574386568063,-1100574386568063,-188100
133,161346350104241,-161346350104241,-188160
134,591871307126552,-591871307126552,-188220
135,7663532138354117,-7663532138354117,-188280
136,7561391376262491,-7561391376262491,-188340
137,96483715913451,-96483715913451,-188400
138,1745772887640134,-1745772887640134,-188460
139,15612092388494514,-15612092388494514,-188520
140,2314229061422706,-2314229061422706,-188580
141,5248941454471650,-5248941454471650,-188640
142,2282418339255360,-2282418339255360,-188700
143,1192934710200606,-1192934710200606,-188760
144,676983127250126,-676983127250126,-188820
145,52970847499644,-52970847499644,-188880
146,480353304120342,-480353304120342,-188940
147,306907266987363,-306907266987363,-189000
148,66558031304516895,-66558031304516895,-189060
149,39360663855609008,-39360663855609008,-189120
150,96994294722121,-96994294722121,-189180
151,11849593872164688,-11849593872164688,-189240
152,13331279160432032,-13309811627042958,-189300
153,274613429140198,-274613429140198,-189360
154,12581980884433855,-12581980884433855,-189420
155,51758966554447427,-51758966554447427,-189480
156,1472498064955176,-1472498064955176,-189540
157,1912152371470734,-1912152371470734,-189600
158,24305977691263782,-24305977691263782,-189660
159,0,0,-189720
160,20861696728750,-4663403168222,-189780
161,380003771196943,-380003771196943,-189840
162,24621194703706,-24621194703706,-189900
163,56461864677828563,-56461864677828563,-189960
164,4875659553391850,-4875659553391850,-190020
