,liquidityGross,liquidityNet,tickIdx
0,0,0,-275340
1,0,0,-275400
2,0,0,-275460
3,0,0,-275520
4,0,0,-275580
5,0,0,-275700
6,70186092631609607,-70186092631609607,-275760
7,0,0,-275820
8,0,0,-275880
9,0,0,-275940
10,0,0,-276000
11,0,0,-276060
12,0,0,-276120
13,8022925129160834,-8022925129160834,-276180
14,4557527624773802,-4557527624773802,-276240
15,555200820832244847,-555200820832244847,-276300
16,586268704979207465,433154657145315447,-276360
17,76557023916946009,76557023916946009,-276420
18,0,0,-276480
19,0,0,-276540
20,0,0,-276600
21,0,0,-276660
22,0,0,-276720
23,0,0,-276780
24,0,0,-276840
25,128255685155527634,128255685155527634,-276900
26,0,0,-276960
27,0,0,-277020
28,0,0,-277080
29,0,0,-277140
30,0,0,-277260
31,0,0,-277320
32,0,0,-277380
33,0,0,-277920
