,liquidityGross,liquidityNet,tickIdx
0,839185851716649993561,-839185851716649993561,0
1,16638746202541507688,-16638746202541507688,-102000
2,6783476290044327869546,-6783476290044327869546,-102200
3,0,0,-103400
4,0,0,-104600
5,0,0,-104800
6,0,0,-11000
7,0,0,-114000
8,23773622933961619574601,-23773622933961619574601,-115200
9,0,0,-119200
10,10223638956552487323706,-10223638956552487323706,-120000
11,0,0,-120200
12,0,0,-122000
13,0,0,-122200
14,0,0,-123400
15,0,0,-123800
16,0,0,-124200
17,0,0,-126000
18,68401363393542367412634,-68401363393542367412634,-127200
19,0,0,-131200
20,72664628645239570547,-72664628645239570547,-131600
21,0,0,-132800
22,6204800777930116707847,-6204800777930116707847,-133600
23,0,0,-135800
24,9898274408543531126647,-9898274408543531126647,-137200
25,0,0,-137400
26,0,0,-137600
27,26987183227822586677838,-26987183227822586677838,138200
28,1026968659965579406873,-1026968659965579406873,-138200
29,171493982592368304621,-171493982592368304621,-138600
30,0,0,-139000
31,0,0,-139200
32,0,0,-140800
33,0,0,-141400
34,0,0,-142200
35,0,0,-142400
36,0,0,-143000
37,0,0,-143200
38,3866370791522094353987,-3866370791522094353987,-143400
39,0,0,-144200
40,24910493490750751774426,-24910493490750751774426,-144600
41,0,0,-144800
42,0,0,-147400
43,0,0,-148200
44,0,0,-148400
45,13132191979351716261721,-13132191979351716261721,-149600
46,0,0,-150200
47,0,0,-151000
48,10837913437363979219007,-10837913437363979219007,-151400
49,0,0,-154200
50,0,0,-156400
51,0,0,-156600
52,0,0,-156800
53,0,0,16000
54,0,0,-160200
55,0,0,-160400
56,0,0,-160800
57,0,0,-161000
58,57465461254475958570914,-57465461254475958570914,-161200
59,972784863478897494841,-972784863478897494841,-161400
60,0,0,-161600
61,0,0,-162200
62,0,0,-163400
63,0,0,-164200
64,0,0,-164600
65,13739030053879491845934,-13739030053879491845934,-164800
66,0,0,-165200
67,6486615453879963619126,-6486615453879963619126,-165400
68,9655307431064609986385,-9655307431064609986385,-165600
69,0,0,-165800
70,871468577869794159923,-871468577869794159923,-166200
71,0,0,-166400
72,0,0,-167000
73,0,0,-167200
74,0,0,-167400
75,0,0,-167600
76,1109638180615097080013,-1109638180615097080013,-168200
77,0,0,-168400
78,4325319679460787853409,-4325319679460787853409,-168800
79,26271808857280681441719,-26271808857280681441719,-169000
80,73308559626986547681525,-73308559626986547681525,-169400
81,81805290337072195805261,-81805290337072195805261,-169800
82,229566064212090498087,-229566064212090498087,-170000
83,158139498260196636600842,-158139498260196636600842,-170200
84,41605496692713293473384,-41605496692713293473384,-170400
85,0,0,-170600
86,0,0,-170800
87,0,0,-171000
88,590570010616396651325,-590570010616396651325,-171200
89,2931089276991625803706,-2931089276991625803706,-171400
90,83889415654353406642820,-83889415654353406642820,-171600
91,2829890151147411150734920,-2829890151147411150734920,-171800
92,19077499771138210312799,-19077499771138210312799,-172000
93,119499200611701372665309,-119499200611701372665309,-172200
94,407971556340003681382789,-407971556340003681382789,-172400
95,0,0,-172600
96,0,0,-172800
97,293465248578060429449918,-293465248578060429449918,-173000
98,345389340658431651850153,-345389340658431651850153,-173200
99,94547567198536130872772,-94547567198536130872772,-173400
100,49230941449395034125149,-49230941449395034125149,-173600
101,53119235850809048131329,-53119235850809048131329,-173800
102,149585520101077737211238,-149585520101077737211238,-174000
103,0,0,-174200
104,0,0,-174400
105,68214644850101367963121,-68214644850101367963121,-174600
106,59967618180021742438725,-59967618180021742438725,-174800
107,216586167961548405818501,-216586167961548405818501,-175000
108,0,0,-175200
109,30065219775329566124480,-30065219775329566124480,-175400
110,257308953444633294523378,-257308953444633294523378,-175600
111,20274413734164208851164,-20274413734164208851164,-175800
112,0,0,-176000
113,50318972846245995308317,-50318972846245995308317,-176200
114,88111628970378233237352,-88111628970378233237352,-176400
115,3991970913741859587736,-3991970913741859587736,-176600
116,1467116325631088445921789,-1467116325631088445921789,-176800
117,369658068389035807726962,-369658068389035807726962,-177000
118,21551934703657379967459,-21551934703657379967459,-177200
119,195504862287882667181049,-75688185890208636502931,-177400
120,4143700161303098948681653,-4143700161303098948681653,-177600
121,5912673123242415562972,-5912673123242415562972,-177800
122,689927732749951117074,-689927732749951117074,-178000
123,2526695869619094374894111,-2526695869619094374894111,-178200
124,6270261788379989780320,-6270261788379989780320,-178400
125,33995189881846128818817,-33995189881846128818817,-178600
126,0,0,-178800
127,0,0,179000
128,66038684228238149764443,-66038684228238149764443,-179000
129,773131758014325815033274,-716403922013242028017658,-179200
130,1279513639034839545925,-1279513639034839545925,-179400
131,99497754669917566993490,-72019694562158583301622,-179600
132,21556207483549715455769,17251272090956814571407,-179800
133,1264690470788542915812,-1264690470788542915812,-180000
134,1473015335780274787656,-1473015335780274787656,-180200
135,0,0,-180400
136,5825183247391082232219626,-5825183247391082232219626,-180600
137,0,0,-180800
138,2298076216662945969591,-2298076216662945969591,-181000
139,2732721779905954995892,-2732721779905954995892,-181200
140,10822584324663896254580,10822584160328211138884,-181400
141,0,0,-181600
142,55093088468447681591765,-55093088468447681591765,-181800
143,54283511406283188976731,-18232523866953971931665,-182000
144,31045197239636993253215,-29864057218404199950565,-182200
145,260924727090295063342738,86698782904678492076844,-182400
