,liquidityGross,liquidityNet,tickIdx
0,0,0,0
1,0,0,-100600
2,0,0,-102000
3,0,0,-102400
4,0,0,-102600
5,0,0,-104000
6,18164357086322386,18164357086322386,-104600
7,0,0,-104800
8,0,0,-105000
9,0,0,-105200
10,0,0,-105600
11,0,0,-106000
12,0,0,-106800
13,0,0,-107200
14,90851917232132484152,-90851917232132484152,-108200
15,0,0,-109200
16,0,0,-111000
17,0,0,-112600
18,20620726642118102981,20620726642118102981,-113000
19,0,0,-114200
20,0,0,-114400
21,90851917232132484152,90851917232132484152,-115200
22,0,0,-116400
23,0,0,-127200
24,0,0,136800
25,0,0,137000
26,82951162915168054838,-82951162915168054838,138200
27,0,0,-14600
28,20620726642118102981,-20620726642118102981,-20800
29,12670203589066912806,-12670203589066912806,-23000
30,0,0,-29200
31,0,0,-31400
32,0,0,-32400
33,0,0,-36200
34,1245744567933685385723,-1245744567933685385723,-37400
35,0,0,-40200
36,0,0,-41400
37,0,0,-43400
38,0,0,-43600
39,0,0,-43800
40,0,0,-44000
41,0,0,-45000
42,0,0,-45600
43,0,0,-4600
44,0,0,-46200
45,0,0,-46600
46,0,0,-47000
47,0,0,-47200
48,0,0,-47600
49,0,0,-47800
50,0,0,-48200
51,0,0,-49000
52,0,0,-5000
53,0,0,-50200
54,0,0,-50400
55,0,0,-50600
56,0,0,-51600
57,0,0,-52200
58,0,0,-52400
59,0,0,-52600
60,0,0,-52800
61,239924873133138448791,-239924873133138448791,-53000
62,0,0,-53200
63,0,0,-53400
64,0,0,-54400
65,0,0,-54600
66,0,0,-55000
67,0,0,-55200
68,0,0,-55400
69,0,0,-55600
70,142510028230576867923,-142510028230576867923,-55800
71,0,0,-56000
72,0,0,-56200
73,515457489796443800107,-515457489796443800107,-56400
74,0,0,-56600
75,0,0,-56800
76,0,0,-57000
77,0,0,-57200
78,0,0,-57400
79,0,0,-57600
80,0,0,-57800
81,43412441276946063219,-43412441276946063219,-58000
82,0,0,-58400
83,0,0,-58600
84,0,0,-58800
85,0,0,-59000
86,0,0,-59200
87,0,0,-59400
88,10055460492694632642,-10055460492694632642,-59600
89,162128634467422054987,-162128634467422054987,-59800
90,0,0,-60000
91,0,0,-60200
92,0,0,-60400
93,0,0,-60600
94,506003239506357664151,-506003239506357664151,-60800
95,0,0,-61000
96,0,0,-61200
97,186520564687100993228,-186520564687100993228,-61400
98,0,0,-61600
99,86468112149052445973,-86468112149052445973,-61800
100,0,0,-62000
101,182142289792913979049,-182142289792913979049,-62200
102,526963663215328647595,-526963663215328647595,-62400
103,0,0,-62600
104,0,0,-62800
105,69175985431999923577,-69175985431999923577,-63000
106,740219989972905412638,-740219989972905412638,-63200
107,0,0,-63400
108,0,0,-63600
109,0,0,-63800
110,0,0,-64000
111,1378199617678065719503,-1378199617678065719503,-64200
112,0,0,-64400
113,0,0,-64600
114,0,0,-64800
115,0,0,-65000
116,0,0,-65200
117,0,0,-65400
118,0,0,-65600
119,135526522369288915546,-135526522369288915546,-65800
120,0,0,-66000
121,0,0,-66200
122,0,0,-66400
123,777330108040366369148,-777330108040366369148,-66600
124,0,0,-66800
125,69551901267745321969,-69551901267745321969,-67000
126,0,0,-67200
127,0,0,-67400
128,0,0,-67600
129,0,0,-67800
130,2812383638805785582958,-2812383638805785582958,-68000
131,0,0,-68200
132,37754645340425194121149,-37754645340425194121149,-68400
133,249384062551815933711,-111032091687816086557,-68600
134,0,0,-68800
135,2812383638805785582958,2812383638805785582958,-69000
136,0,0,-69200
137,594665350430374139405,459261976000283155785,-69400
138,1883291187066125714539,-1522875032826493694271,-69600
139,0,0,-69800
140,0,0,-70000
141,37754645340425194121149,37754645340425194121149,-70200
142,515457489796443800107,515457489796443800107,-70400
143,0,0,-70600
144,0,0,-70800
145,0,0,-71000
146,0,0,-71200
147,0,0,-71400
148,0,0,-71600
149,0,0,-71800
150,0,0,-7200
151,0,0,-72000
152,0,0,-72200
153,0,0,-72400
154,0,0,-72600
155,160806981441856291783,160806981441856291783,-72800
156,0,0,-73000
157,1789030779810821180708,1789030779810821180708,-73200
158,1378199617678065719503,1378199617678065719503,-73400
159,31530081021720675790,31530081021720675790,-73600
160,120822938908609659179,120822938908609659179,-73800
161,0,0,-74000
162,9775614537091720018,9775614537091720018,-74200
163,919840136270943237071,919840136270943237071,-74400
164,506003239506357664151,506003239506357664151,-74600
165,0,0,-74800
166,0,0,-75000
167,1511383024312068535959,1511383024312068535959,-75200
168,10055460492694632642,10055460492694632642,-75400
169,0,0,-75600
170,0,0,-75800
171,182142289792913979049,182142289792913979049,-76000
172,86468112149052445973,86468112149052445973,-76200
173,0,0,-76400
174,0,0,-76600
175,697684761385339999554,697684761385339999554,-76800
176,0,0,-77000
177,0,0,-77200
178,0,0,-77400
179,0,0,-77600
180,0,0,-77800
181,0,0,-78000
182,67701687215045491810,67701687215045491810,-78200
183,82951162915168054838,82951162915168054838,-78400
184,0,0,-78600
185,0,0,-78800
186,0,0,-79000
187,0,0,-79200
188,0,0,-79400
189,135526522369288915546,135526522369288915546,-79600
190,0,0,-79800
191,0,0,-80000
192,0,0,-80200
193,0,0,-80400
194,0,0,-80600
195,0,0,-80800
196,69551901267745321969,69551901267745321969,-81000
197,0,0,-81200
198,0,0,-81400
199,0,0,-81600
200,0,0,-81800
201,0,0,-82000
202,0,0,-82200
203,0,0,-82400
204,0,0,-82600
205,0,0,-82800
206,0,0,-83000
207,0,0,-83200
208,0,0,-83400
209,12670203589066912806,12670203589066912806,-83600
210,0,0,-83800
211,0,0,-84000
212,0,0,-84200
213,0,0,-84400
214,0,0,-84600
215,0,0,-84800
216,0,0,-85200
217,0,0,-85400
218,0,0,-85600
219,0,0,-85800
220,0,0,-86200
221,0,0,-86400
222,0,0,-86800
223,0,0,-87000
224,0,0,-87200
225,0,0,-88600
226,44102942144964095472740,-44102942144964095472740,887200
227,44102942144964095472740,44102942144964095472740,-887200
228,0,0,-89000
229,0,0,-89200
230,0,0,-89600
231,0,0,-89800
232,18164357086322386,-18164357086322386,-90800
233,0,0,-91000
234,0,0,-91200
235,0,0,-91600
236,0,0,-93000
237,0,0,-93200
238,0,0,-93400
239,0,0,-93600
240,0,0,-93800
241,0,0,-94200
242,0,0,-94800
243,0,0,-95000
244,0,0,-95200
245,0,0,-95400
246,0,0,-96200
247,0,0,-96400
248,0,0,-97200
249,0,0,-98400
250,0,0,-98600
251,0,0,-98800
252,0,0,-99000
253,0,0,-99400
254,0,0,-99600
