,liquidityGross,liquidityNet,tickIdx
0,15427312422210888,-15427312422210888,0
1,19639133380239729751,19639133380239729751,-108210
2,38522975611217713593,38522975611217713593,-125370
3,15427312422210888,15427312422210888,-138160
4,0,0,-230270
5,345404955522929921,-345404955522929921,23030
6,1735090298278099150725,-1735090298278099150725,-23040
7,1735090298278099150725,1735090298278099150725,-23990
8,38522975611217713593,-38522975611217713593,-32960
9,13141920947028379174,-13141920947028379174,-52990
10,901815989351508048601,-901815989351508048601,-55220
11,26344788194240398,-26344788194240398,-57040
12,19639133380239729751,-19639133380239729751,-57050
13,95221219172218982024,-95221219172218982024,-59920
14,52454461514548841698,-52454461514548841698,-59930
15,3060982994281482915,-3060982994281482915,-61660
16,3076423928857562119,-3076423928857562119,-62150
17,0,0,-65310
18,0,0,-65510
19,0,0,-66200
20,0,0,-66210
21,0,0,-66690
22,1906693238748873601492,-1906693238748873601492,-66850
23,0,0,-66860
24,5812623076452005012674,5812623076452005012674,67260
25,0,0,-67460
26,0,0,-67470
27,31069591674002309369,-31069591674002309369,-69030
28,5812623076452005012674,-5812623076452005012674,69080
29,67114207941975236904,-59691717060413938776,-69080
30,0,0,-69090
31,0,0,-69350
32,0,0,-70030
33,0,0,-70180
34,0,0,-70220
35,0,0,-70280
36,0,0,-70720
37,0,0,-70900
38,0,0,-70930
39,0,0,-71100
40,0,0,-71130
41,0,0,-71260
42,670610715682193327,-670610715682193327,-71310
43,0,0,-71700
44,0,0,-71710
45,0,0,-71770
46,90908420880439063769,-90908420880439063769,-71900
47,0,0,-72010
48,0,0,-72080
49,13250157521107237367,-13250157521107237367,-72230
50,0,0,-72320
51,0,0,-72350
52,0,0,-72400
53,70698126039081797895,-70698126039081797895,-72420
54,0,0,-72440
55,0,0,-72450
56,0,0,-72480
57,0,0,-72570
58,0,0,-72590
59,0,0,-72630
60,462471743147216374264,-462471743147216374264,-72980
61,11329005191753462022,-11329005191753462022,-73070
62,48421535329086459987,-48421535329086459987,-73080
63,0,0,-73100
64,0,0,-73130
65,3167478395922007792165,-3167478395922007792165,-73140
66,0,0,-73160
67,1221692890193222463227,-1221692890193222463227,-73200
68,0,0,-73220
69,0,0,-73320
70,0,0,-73380
71,0,0,-73400
72,0,0,-73420
73,0,0,-73510
74,0,0,-73530
75,0,0,-73600
76,0,0,-73610
77,0,0,-73660
78,10340004776136493730,-10340004776136493730,-73690
79,0,0,-73730
80,0,0,-73740
81,0,0,-73760
82,0,0,-73770
83,0,0,-73780
84,0,0,-73820
85,0,0,-73840
86,18604917648380992736,-18604917648380992736,-73890
87,109409336063256334715,-109409336063256334715,-73900
88,0,0,-73910
89,0,0,-73970
90,0,0,-73980
91,0,0,-74020
92,0,0,-74050
93,1821818911634435235931,-1821818911634435235931,-74060
94,0,0,-74070
95,0,0,-74090
96,0,0,-74100
97,0,0,-74130
98,0,0,-74160
99,0,0,-74170
100,0,0,-74180
101,0,0,-74210
102,0,0,-74230
103,0,0,-74280
104,0,0,-74300
105,0,0,-74320
106,0,0,-74330
107,0,0,-74350
108,0,0,-74360
109,0,0,-74380
110,8011872341164061508,-8011872341164061508,-74390
111,0,0,-74400
112,0,0,-74410
113,0,0,-74420
114,0,0,-74430
115,0,0,-74450
116,0,0,-74540
117,0,0,-74550
118,0,0,-74560
119,0,0,-74590
120,0,0,-74630
121,0,0,-74640
122,0,0,-74650
123,0,0,-74660
124,0,0,-74670
125,0,0,-74680
126,0,0,-74710
127,0,0,-74720
128,0,0,-74760
129,0,0,-74770
130,0,0,-74780
131,0,0,-74790
132,0,0,-74800
133,0,0,-74820
134,0,0,-74840
135,0,0,-74850
136,0,0,-74870
137,0,0,-74880
138,0,0,-74890
139,0,0,-74900
140,0,0,-74910
141,0,0,-74920
142,0,0,-74930
143,0,0,-74950
144,369547921490113511488,-369547921490113511488,-74960
145,0,0,-74990
146,0,0,-75000
147,0,0,-75020
148,0,0,-75030
149,0,0,-75040
150,0,0,-75050
151,0,0,-75060
152,0,0,-75090
153,0,0,-75100
154,0,0,-75110
155,0,0,-75130
156,0,0,-75140
157,0,0,-75170
158,0,0,-75180
159,0,0,-75190
160,278077868297435644424,-278077868297435644424,-75200
161,0,0,-75210
162,0,0,-75220
163,0,0,-75230
164,0,0,-75240
165,0,0,-75250
166,0,0,-75260
167,0,0,-75270
168,0,0,-75280
169,0,0,-75290
170,0,0,-75300
171,0,0,-75320
172,0,0,-75330
173,0,0,-75340
174,0,0,-75350
175,0,0,-75360
176,0,0,-75370
177,0,0,-75380
178,0,0,-75390
179,0,0,-75400
180,0,0,-75410
181,0,0,-75420
182,0,0,-75430
183,0,0,-75440
184,0,0,-75460
185,0,0,-75470
186,0,0,-75480
187,0,0,-75490
188,0,0,-75500
189,0,0,-75510
190,0,0,-75520
191,0,0,-75530
192,0,0,-75540
193,0,0,-75550
194,885770031628084384634,-885770031628084384634,-75560
195,0,0,-75570
196,885770031628084384634,885770031628084384634,-75580
197,0,0,-75590
198,0,0,-75600
199,0,0,-75620
200,0,0,-75630
201,0,0,-75640
202,0,0,-75650
203,0,0,-75660
204,0,0,-75670
205,0,0,-75680
206,278077868297435644424,278077868297435644424,-75690
207,0,0,-75700
208,0,0,-75710
209,0,0,-75720
210,0,0,-75730
211,0,0,-75740
212,0,0,-75750
213,0,0,-75760
214,0,0,-75770
215,0,0,-75780
216,0,0,-75790
217,0,0,-75820
218,278522671005521939724,-278522671005521939724,-75830
219,0,0,-75840
220,297127588653902932460,297127588653902932460,-75850
221,0,0,-75860
222,0,0,-75870
223,0,0,-75880
224,0,0,-75890
225,835509264540405373696,-835509264540405373696,-75900
226,0,0,-75910
227,0,0,-75930
228,0,0,-75940
229,1104950746281636712833,-1104950746281636712833,-75950
230,0,0,-75960
231,0,0,-75970
232,0,0,-75980
233,0,0,-75990
234,0,0,-76000
235,22254829481219223357853,-22254829481219223357853,-76010
236,20338512783136698266273,-20338512783136698266273,-76020
237,0,0,-76030
238,0,0,-76040
239,0,0,-76050
240,0,0,-76060
241,1703189586188641230,-1703189586188641230,-76080
242,0,0,-76090
243,0,0,-76100
244,0,0,-76130
245,0,0,-76140
246,0,0,-76150
247,0,0,-76160
248,0,0,-76170
249,0,0,-76180
250,0,0,-76190
251,0,0,-76200
252,0,0,-76220
253,277077091506995493,-277077091506995493,-76230
254,0,0,-76240
255,0,0,-76250
256,0,0,-76260
257,0,0,-76270
258,0,0,-76280
259,0,0,-76290
260,0,0,-76300
261,0,0,-76310
262,0,0,-76320
263,0,0,-76330
264,0,0,-76350
265,561,-561,-76370
266,0,0,-76380
267,0,0,-76390
268,0,0,-76400
269,1230018798319632967,-1230018798319632967,-76410
270,0,0,-76420
271,41316972811136898276,-41316972811136898276,-76430
272,0,0,-76450
273,0,0,-76460
274,0,0,-76470
275,0,0,-76480
276,0,0,-76490
277,67763685140728459139,-67763685140728459139,-76500
278,0,0,-76510
279,41316972811136898276,41316972811136898276,-76520
280,0,0,-76530
281,2213316019375177699496,-2213316019375177699496,-76540
282,12122240953563115534,-12122240953563115534,-76550
283,0,0,-76560
284,0,0,-76570
285,0,0,-76580
286,0,0,-76590
287,0,0,-76600
288,0,0,-76610
289,0,0,-76620
290,0,0,-76630
291,0,0,-76640
292,0,0,-76650
293,0,0,-76660
294,14876371688055765019,-14876371688055765019,-76670
295,0,0,-76680
296,0,0,-76690
297,0,0,-76700
298,0,0,-76710
299,0,0,-76720
300,461746732840416756798969,461746732840416756798969,76730
301,129109945155719425242,-129109945155719425242,-76730
302,461746732840416756798969,-461746732840416756798969,76740
303,0,0,-76740
304,215357494343409466421,-215357494343409466421,-76750
305,215357494343409466421,215357494343409466421,-76760
306,0,0,-76770
307,0,0,-76780
308,9196947875942561,-9196947875942561,-76790
309,0,0,-76800
310,129119142103595367803,129119142103595367803,-76810
311,214733673338876578187,-214733673338876578187,-76820
312,0,0,-76830
313,214733673338876578187,214733673338876578187,-76840
314,0,0,-76850
315,0,0,-76860
316,0,0,-76870
317,14876371688055765019,14876371688055765019,-76880
318,0,0,-76890
319,0,0,-76900
320,0,0,-76910
321,0,0,-76920
322,0,0,-76930
323,487761619931373464941,-487761619931373464941,-76940
324,187523088021767328761,-187523088021767328761,-76950
325,187523088021767328761,187523088021767328761,-76960
326,176133834498065972,176133834498065972,-76970
327,0,0,-76980
328,0,0,-76990
329,0,0,-77000
330,694262698193846995676,-694262698193846995676,-77010
331,50560239825426514151,-50560239825426514151,-77020
332,1182024318125220460617,1182024318125220460617,-77030
333,138165598983945353358,-138165598983945353358,-77040
334,0,0,-77050
335,3899252017083123617532,3899252017083123617532,77060
336,50560239825426514151,50560239825426514151,-77060
337,148893317220681512568,127437880747209194148,-77070
338,12354297715526711815744,-12354297715526711815744,-77080
339,0,0,-77090
340,0,0,-77100
341,0,0,-77110
342,0,0,-77130
343,0,0,-77140
344,12122240953563115534,12122240953563115534,-77150
345,0,0,-77160
346,0,0,-77170
347,0,0,-77180
348,7835738506665995536,7835738506665995536,-77190
349,0,0,-77200
350,0,0,-77210
351,0,0,-77220
352,1840293892767843449,-1840293892767843449,-77230
353,0,0,-77240
354,0,0,-77250
355,0,0,-77260
356,0,0,-77270
357,0,0,-77280
358,0,0,-77290
359,0,0,-77300
360,0,0,-77310
361,0,0,-77320
362,0,0,-77330
363,0,0,-77340
364,0,0,-77350
365,0,0,-77360
366,0,0,-77370
367,0,0,-77380
368,0,0,-77390
369,0,0,-77400
370,1901954798683587472,-1901954798683587472,-77410
371,0,0,-77420
372,0,0,-77430
373,0,0,-77440
374,0,0,-77450
375,0,0,-77460
376,0,0,-77470
377,12354297715526711815744,12354297715526711815744,-77480
378,134396524370955010221,-134396524370955010221,-77490
379,0,0,-77500
380,0,0,-77510
381,1577070574131854476079,-1308277525389944455637,-77520
382,0,0,-77530
383,0,0,-77540
384,0,0,-77550
385,0,0,-77560
386,4475277380207299967400,-1589929280685501035684,-77570
387,0,0,-77580
388,0,0,-77590
389,0,0,-77600
390,0,0,-77610
391,0,0,-77620
392,0,0,-77630
393,0,0,-77640
394,0,0,-77650
395,1840293892767843449,1840293892767843449,-77660
396,0,0,-77670
397,0,0,-77680
398,0,0,-77690
399,3032603330446400501542,3032603330446400501542,-77700
400,0,0,-77710
401,0,0,-77720
402,0,0,-77730
403,0,0,-77740
404,0,0,-77750
405,0,0,-77760
406,0,0,-77780
407,0,0,-77790
408,0,0,-77800
409,0,0,-77810
410,70698126039081797895,70698126039081797895,-77820
411,0,0,-77830
412,107293375429181883744,-80793060386967409010,-77840
413,0,0,-77850
414,0,0,-77860
415,0,0,-77870
416,0,0,-77880
417,0,0,-77890
418,0,0,-77900
419,0,0,-77910
420,0,0,-77920
421,0,0,-77930
422,0,0,-77940
423,0,0,-77950
424,0,0,-77960
425,1703189586188641230,1703189586188641230,-77980
426,0,0,-77990
427,3899252017083123617532,-3899252017083123617532,78000
428,0,0,-78000
429,0,0,-78010
430,0,0,-78020
431,0,0,-78030
432,0,0,-78040
433,0,0,-78050
434,0,0,-78060
435,0,0,-78070
436,0,0,-78080
437,0,0,-78090
438,22796447692120678721,-22796447692120678721,-78110
439,11429471762521992277,-11429471762521992277,-78120
440,0,0,-78150
441,0,0,-78170
442,71820283735098286068,-71820283735098286068,-78190
443,750026307735292319934,-750026307735292319934,-78200
444,0,0,-78210
445,0,0,-78220
446,0,0,-78230
447,16272288085761266365,-16272288085761266365,-78240
448,0,0,-78250
449,0,0,-78260
450,0,0,-78270
451,0,0,-78280
452,0,0,-78290
453,0,0,-78300
454,0,0,-78310
455,0,0,-78320
456,0,0,-78330
457,0,0,-78340
458,0,0,-78360
459,0,0,-78370
460,7416703901677560960482,-7416703901677560960482,-78390
461,7416703901677560960482,7416703901677560960482,-78410
462,0,0,-78420
463,0,0,-78430
464,0,0,-78440
465,0,0,-78450
466,0,0,-78460
467,0,0,-78480
468,0,0,-78490
469,0,0,-78500
470,0,0,-78520
471,0,0,-78530
472,0,0,-78540
473,0,0,-78570
474,0,0,-78580
475,0,0,-78590
476,0,0,-78600
477,0,0,-78630
478,0,0,-78640
479,0,0,-78650
480,0,0,-78660
481,0,0,-78670
482,0,0,-78680
483,0,0,-78690
484,0,0,-78700
485,0,0,-78710
486,0,0,-78720
487,0,0,-78730
488,0,0,-78740
489,48288829683256329,48288829683256329,-78750
490,1086695609192676485395,-1086695609192676485395,-78770
491,750026307735292319934,750026307735292319934,-78800
492,0,0,-78830
493,0,0,-78840
494,0,0,-78850
495,0,0,-78860
496,0,0,-78890
497,0,0,-78900
498,0,0,-78910
499,0,0,-78920
500,0,0,-78930
501,17270334160594950616,-17270334160594950616,-78940
502,17270334160594950616,17270334160594950616,-78970
503,10340004776136493730,10340004776136493730,-78980
504,0,0,-78990
505,1901954798683587472,1901954798683587472,-79010
506,0,0,-79020
507,86909179936221147057,-86909179936221147057,-79040
508,0,0,-79050
509,0,0,-79060
510,0,0,-79080
511,678783042796603464010083,-678783042796603464010083,-79100
512,678783042796603464010083,678783042796603464010083,-79120
513,30249618230567867975,-30249618230567867975,-79130
514,0,0,-79170
515,32736292634522343917,32736292634522343917,-79180
516,0,0,-79200
517,0,0,-79230
518,0,0,-79260
519,0,0,-79300
520,1784595563778713310293,1784595563778713310293,-79340
521,9127271007831805141,9127271007831805141,-79350
522,94043217908074646377,94043217908074646377,-79380
523,0,0,-79390
524,0,0,-79410
525,0,0,-79420
526,0,0,-79430
527,277077091506995493,277077091506995493,-79450
528,561,561,-79460
529,28388738093031169582,-28388738093031169582,-79480
530,28388738093031169582,28388738093031169582,-79510
531,0,0,-79530
532,0,0,-79550
533,0,0,-79560
534,0,0,-79570
535,0,0,-79580
536,0,0,-79590
537,0,0,-79600
538,0,0,-79610
539,0,0,-79620
540,0,0,-79640
541,0,0,-79650
542,0,0,-79660
543,0,0,-79690
544,0,0,-79700
545,4824747692635285844602,-4824747692635285844602,-79710
546,19866530231310293714,-19866530231310293714,-79720
547,2891116559609712284,-2891116559609712284,-79730
548,19866530231310293714,19866530231310293714,-79740
549,67763685140728459139,67763685140728459139,-79750
550,0,0,-79760
551,40153105127696469062,-40153105127696469062,-79790
552,0,0,-79800
