,liquidityGross,liquidityNet,tickIdx
0,0,0,-107940
1,9593505844,-9593505844,-11400
2,0,0,-115140
3,7202688347825,-7202688347825,120
4,0,0,-138180
5,0,0,-16080
6,0,0,-18300
7,12472390150,12472390150,-184200
8,0,0,-19440
9,0,0,-20040
10,0,0,-21420
11,8392489885607,-8392489885607,-22020
12,0,0,-24480
13,171981588799319,-171981588799319,-25200
14,0,0,-25260
15,0,0,-25500
16,0,0,-26580
17,92479580806193,-92479580806193,-28080
18,171981588799319,171981588799319,-28140
19,0,0,-28740
20,234443492251,-234443492251,-29940
21,31064613804230,-31064613804230,-30420
22,92479580806193,92479580806193,-30480
23,12066323407135,-12066323407135,-33480
24,31064613804230,31064613804230,-33540
25,748886151856,-748886151856,-34020
26,12472390150,-12472390150,-34080
27,0,0,-34440
28,0,0,-36540
29,0,0,-36780
30,5199286758274,-5199286758274,-36840
31,12066323407135,12066323407135,-36900
32,0,0,-38040
33,22387366901103,-22387366901103,-38160
34,381976869724,-381976869724,-39120
35,0,0,-39360
36,4137370443934,-4137370443934,-40140
37,5199286758274,5199286758274,-40200
38,0,0,-40740
39,32948386965388,-32948386965388,-41760
40,4137370443934,4137370443934,-42000
41,0,0,-42300
42,455425216589,-455425216589,-42600
43,0,0,-43140
44,0,0,-43260
45,143281730586486,-143281730586486,-43440
46,0,0,-44100
47,262349532516165,24213928656807,-44220
48,225621096156799,12514507702559,-45120
49,19771119023534,-19771119023534,-45420
50,15118649967,-15118649967,-45840
51,8996976717707,-8996976717707,-45900
52,0,0,-45960
53,40979123450,-40979123450,-46020
54,241232856019693,-28126267565453,-46080
55,17333085682571,-17333085682571,-46140
56,7961502666413,-7961502666413,-46560
57,115112514198852,-115112514198852,-46680
58,12605349944801,-12605349944801,-46740
59,0,0,-47040
60,195011569431183,72223898523415,-47100
61,0,0,-47160
62,0,0,-47220
63,155360472040782,-155360472040782,-47400
64,155360472040782,155360472040782,-47520
65,0,0,-47640
66,0,0,-47760
67,85599268032516,-85599268032516,-48120
68,115112514198852,115112514198852,-48180
69,113814084318654,8973586589114,-48300
70,658437334393,-658437334393,-48720
71,0,0,-48840
72,0,0,-48960
73,1701671319067,-1701671319067,-49200
74,254140627075,-254140627075,-49260
75,0,0,-49320
76,0,0,-49500
77,0,0,-49560
78,76102579876088,28704160472492,-49620
79,0,0,-49680
80,84937002573868,-84937002573868,-49740
81,0,0,-49800
82,0,0,-49860
83,85599268032516,85599268032516,-49980
84,0,0,-50100
85,0,0,-50280
86,762331300806,-762331300806,-50340
87,0,0,-50400
88,0,0,-50460
89,0,0,-50760
90,0,0,-50820
91,12605349944801,12605349944801,-50880
92,169265569298617,608435849119,-50940
93,3722788156272,-2811937723094,-51000
94,100518699599,-100518699599,-51060
95,0,0,-51120
96,28847452932408,12410687375948,-51180
97,0,0,-51240
98,0,0,-51300
99,0,0,-51360
100,0,0,-51420
101,0,0,-51480
102,0,0,-51540
103,16784638662890,-16784638662890,-51600
104,634139497239,-634139497239,-51720
105,0,0,-51780
106,0,0,-51840
107,0,0,-51900
108,76502127965010,-76502127965010,-51960
109,0,0,-52020
110,84328566724749,84328566724749,-52080
111,0,0,-52140
112,0,0,-52200
113,0,0,-52260
114,912609837765,-912609837765,-52320
115,0,0,-52380
116,0,0,-52440
117,0,0,-52500
118,0,0,-52560
119,0,0,-52620
120,6663627034173,828422890093,-52680
121,0,0,-52740
122,0,0,-52800
123,0,0,-52860
124,49547061872894,-49547061872894,-52920
125,69644834253796,18828984328680,-52980
126,23078405751,-23078405751,-53040
127,3692141168001,-3692141168001,-53160
128,1427067962359,-1427067962359,-53220
129,0,0,-53280
130,0,0,-53340
131,6241824321578,-6241824321578,-53400
132,152214593201341,789662728679,-53460
133,0,0,-53520
134,0,0,-53580
135,0,0,-53640
136,0,0,-53700
137,0,0,-53760
138,0,0,-53820
139,0,0,-53880
140,0,0,-53940
141,16297785275241,12946139434415,-54000
142,9924000644403,6860979126811,-54060
143,0,0,-54120
144,14487403985075,-14487403985075,-54180
145,0,0,-54240
146,54595986214,-54595986214,-54300
147,4950915472873,4950915472873,-54360
148,21907493104531,-21907493104531,-54420
149,28149317426109,28149317426109,-54480
150,0,0,-54540
151,0,0,-54600
152,1103306162763841,-1103306162763841,-54660
153,1103306162763841,1103306162763841,-54720
154,0,0,-54780
155,2531886359647,-2531886359647,-54840
156,0,0,-54900
157,0,0,-54960
