,liquidityGross,liquidityNet,tickIdx
0,820257905498693132625,-91372846132699078323,10
1,0,0,110
2,210302746405159257,-210302746405159257,-197250
3,864769579966161,-864769579966161,-197280
4,210302746405159257,210302746405159257,-197300
5,864769579966161,864769579966161,-197400
6,0,0,-242310
7,1059987331357746,-1059987331357746,-244130
8,1059987331357746,1059987331357746,-246360
9,0,0,-246370
10,0,0,-253300
11,0,0,-265680
12,77428904874239,-77428904874239,-269390
13,0,0,-271940
14,0,0,-272250
15,0,0,-272270
16,0,0,-272720
17,0,0,-272730
18,0,0,-273050
19,0,0,-273780
20,0,0,-273930
21,1142223004754967,-1142223004754967,-274090
22,0,0,-274440
23,0,0,-274500
24,0,0,-274920
25,2493370967581957,-2493370967581957,-274930
26,0,0,-275160
27,0,0,-275260
28,693542921054872,-693542921054872,-275270
29,0,0,-275280
30,0,0,-275340
31,0,0,-275360
32,1220461423983350212,-1220461423983350212,-275370
33,0,0,-275420
34,0,0,-275460
35,0,0,-275500
36,221505407847434,-221505407847434,-275660
37,0,0,-275740
38,589666095829075,-589666095829075,-275810
39,442003876884273363,-442003876884273363,-275830
40,1487364390802174,-1487364390802174,-275840
41,1987693149483922690,-1987693149483922690,-275900
42,290272076458686132,-290272076458686132,-275930
43,0,0,-275940
44,0,0,-275990
45,0,0,-276000
46,39586817307743201,-39586817307743201,-276020
47,27314220186754053,-27314220186754053,-276030
48,0,0,-276040
49,6124834742829561,-6124834742829561,-276080
50,0,0,-276090
51,0,0,-276100
52,0,0,-276110
53,10492826430304607183,-10492826430304607183,-276120
54,62405525117499682,-62405525117499682,-276130
55,1626130288345334,-1626130288345334,-276140
56,0,0,-276150
57,0,0,-276170
58,0,0,-276180
59,0,0,-276190
60,599768970047018522,-599768970047018522,-276200
61,69718902512323639,-69718902512323639,-276210
62,0,0,276220
63,28898629612745146798,-28898629612745146798,-276220
64,4468739463673824334,-4468739463673824334,-276230
65,29962624028836551453,-29962624028836551453,-276240
66,9178991710007960640,-9178991710007960640,-276250
67,21912377675702866196,-21912377675702866196,-276260
68,20734739946748117332,-20734739946748117332,-276270
69,61752885504217782221,-61752885504217782221,-276280
70,401229847406155719149,-401229847406155719149,-276290
71,1660273499402350937657,-1660273499402350937657,-276300
72,211840080265674503995949,-211840080265674503995949,-276310
73,102050772931088652197375,-91736184992369132295957,-276320
74,304663424382867238811855,304663424382867238811855,-276330
75,914464083745380774255,914464083745380774255,-276340
76,83806410279088947185,83806410279088947185,-276350
77,38613290552444044356,38613290552444044356,-276360
78,5849135504727644663,5849135504727644663,-276370
79,74914090063557432222,74914090063557432222,-276380
80,146751228064306293,146751228064306293,-276390
81,4766057597498106687,4766057597498106687,-276400
82,739539542583876538,739539542583876538,-276410
83,27795835014644604573,27795835014644604573,-276420
84,804999690144326218,804999690144326218,-276430
85,0,0,-276440
86,0,0,-276450
87,0,0,-276460
88,0,0,-276470
89,27018711057390021,27018711057390021,-276480
90,0,0,-276490
91,1626130288345334,1626130288345334,-276500
92,0,0,-276510
93,10492826430304607183,10492826430304607183,-276520
94,62578785893871291,62578785893871291,-276530
95,0,0,-276540
96,6124834742829561,6124834742829561,-276560
97,3664917804772426,3664917804772426,-276570
98,0,0,-276580
99,0,0,-276590
100,0,0,-276600
101,0,0,-276610
102,35921899502970775,35921899502970775,-276620
103,22809166079612199,22809166079612199,-276630
104,0,0,-276640
105,0,0,-276650
106,0,0,-276670
107,0,0,-276680
108,0,0,-276690
109,223301612947084406,223301612947084406,-276710
110,2053940482394097995,2053940482394097995,-276730
111,723130601426421,723130601426421,-276750
112,0,0,-276780
113,0,0,-276790
114,589666095829075,589666095829075,-276810
115,0,0,-276830
116,443491241275075537,443491241275075537,-276840
117,0,0,-276890
118,0,0,-276940
119,0,0,-277150
120,2493370967581957,2493370967581957,-277160
121,0,0,-277260
122,20339284549571790,20339284549571790,-277270
123,693542921054872,693542921054872,-277280
124,0,0,-277350
125,0,0,-277360
126,0,0,-277370
127,1199948878657406813,1199948878657406813,-277380
128,0,0,-277430
129,0,0,-277460
130,0,0,-277950
131,1142223004754967,1142223004754967,-278150
132,0,0,-278190
133,0,0,-278430
134,0,0,-278560
135,0,0,-278640
136,0,0,-278950
137,0,0,-279200
138,221505407847434,221505407847434,-279220
139,0,0,-279930
140,0,0,-280380
141,0,0,-281440
142,0,0,-283260
143,68353216291074,68353216291074,-299350
144,579590672967233,-579590672967233,-303410
145,579590672967233,579590672967233,-306280
146,0,0,-345410
147,0,0,-391460
148,455815375815696105474,455815375815696105474,-510
149,364442529682997027151,-364442529682997027151,680
150,135356883272702,-135356883272702,887270
151,135356883272702,135356883272702,-887270
152,0,0,-90
