,liquidityGross,liquidityNet,tickIdx
0,864769579966161,-864769579966161,-197280
1,864769579966161,864769579966161,-197400
2,0,0,-260230
3,0,0,-271220
4,0,0,-272270
5,0,0,-274090
6,0,0,-274500
7,0,0,-274930
8,0,0,-275260
9,0,0,-275270
10,0,0,-275360
11,21507265222206,-21507265222206,-275370
12,0,0,-275650
13,0,0,-275810
14,0,0,-275820
15,0,0,-275830
16,61582877295038123,-61582877295038123,-275920
17,334439669606280711,-334439669606280711,-276020
18,3310263883106211,-3310263883106211,-276030
19,16099157446831013,-16099157446831013,-276070
20,9839986939117021,-9839986939117021,-276110
21,742564837231840071,-742564837231840071,-276120
22,0,0,-276130
23,0,0,-276140
24,0,0,-276170
25,0,0,-276180
26,28783873644153277,-28783873644153277,-276200
27,18026618474040313,-18026618474040313,-276210
28,244444369863356337456,-244444369863356337456,-276220
29,24782139094452659,-24782139094452659,-276230
30,8553587512880128,-8553587512880128,-276240
31,15704574231529582,-15704574231529582,-276250
32,105154914114465738696,-105154914114465738696,-276260
33,902632738609080349,-902632738609080349,-276270
34,98550654625662204,-98550654625662204,-276280
35,24589409798490839170,-24589409798490839170,-276290
36,76962991947095432930,-76962991947095432930,-276300
37,12752085620496011867049,-12723690401184699504491,-276310
38,4651980490629478694766,-3605448530450379337488,-276320
39,15685849345567704423857,15685809321615012071313,-276330
40,734191280018545108202,734191280018545108202,-276340
41,24907635933900399242,24907635933900399242,-276350
42,0,0,-276360
43,963877419852976646,963877419852976646,-276370
44,105178487453488366014,105178487453488366014,-276380
45,0,0,-276390
46,24782139094452659,24782139094452659,-276400
47,15704574231529582,15704574231529582,-276410
48,230264832343736495251,230264832343736495251,-276420
49,19095821134381373,19095821134381373,-276430
50,28617499184808835,28617499184808835,-276440
51,0,0,-276450
52,0,0,-276460
53,0,0,-276480
54,0,0,-276510
55,4866175597646026,4866175597646026,-276520
56,12781844910431933,12781844910431933,-276530
57,0,0,-276610
58,337749933489386922,337749933489386922,-276620
59,0,0,-276630
60,61582877295038123,61582877295038123,-276720
61,0,0,-276810
62,0,0,-276830
63,115883945230639,115883945230639,-276840
64,0,0,-276860
65,0,0,-277150
66,734756803662879133,734756803662879133,-277190
67,0,0,-277270
68,0,0,-277280
69,21507265222206,21507265222206,-277330
70,0,0,-277380
71,0,0,-278560
72,0,0,-279200
73,0,0,-280380
