,liquidityGross,liquidityNet,tickIdx
0,0,0,-101520
1,0,0,-103020
2,158909494912356535304,-158909494912356535304,138180
3,0,0,-138180
4,0,0,-154260
5,0,0,-17220
6,203008678403867290459,-203008678403867290459,-23040
7,129937087393868353750,-129937087393868353750,-30540
8,0,0,-31500
9,0,0,-38220
10,0,0,-46020
11,0,0,-49500
12,0,0,-52320
13,0,0,-52980
14,0,0,-53400
15,0,0,-54960
16,162559014988894900123,-162559014988894900123,-55200
17,0,0,-57000
18,0,0,-57060
19,0,0,-58080
20,678613679593088921015,-678613679593088921015,-60420
21,0,0,-60780
22,0,0,-60840
23,120002977673748970527,-120002977673748970527,-61020
24,0,0,-61080
25,0,0,-61260
26,0,0,-61380
27,69428649924503255732,-69428649924503255732,-62040
28,0,0,-62160
29,727785146635201271992,-727785146635201271992,-63060
30,0,0,-63240
31,4968568576633073413,-4968568576633073413,-63300
32,0,0,-63420
33,0,0,-63600
34,0,0,-63660
35,124985190497183308166,-124985190497183308166,-63960
36,0,0,-64320
37,0,0,-64440
38,0,0,-64620
39,0,0,-64740
40,0,0,-64980
41,0,0,-65040
42,0,0,-65160
43,0,0,-65340
44,3327007031957342686746,-3327007031957342686746,-65520
45,0,0,-65580
46,0,0,-65820
47,0,0,-66000
48,0,0,-66060
49,0,0,-66180
50,278251938637264284085,-278251938637264284085,-66420
51,0,0,-66540
52,0,0,-66600
53,0,0,-66660
54,0,0,-66720
55,0,0,-66780
56,0,0,-66840
57,0,0,-66960
58,0,0,-67140
59,0,0,-67200
60,0,0,-67380
61,0,0,-67500
62,8052801029174033536,-8052801029174033536,-67920
63,0,0,68040
64,3296035029014233700530,-3296035029014233700530,-68040
65,12641948101741418223,-12641948101741418223,-68220
66,535143290304369768908,-535143290304369768908,-68280
67,0,0,-68340
68,0,0,-68400
69,0,0,-68580
70,1512088253049517698519,-1512088253049517698519,-68640
71,0,0,-68700
72,198337383238260462633,-198337383238260462633,-68760
73,0,0,-68820
74,0,0,-68880
75,106137747202600871391,-106137747202600871391,-68940
76,177557988934210317911,-177557988934210317911,-69000
77,1226737183522216381323,-1226737183522216381323,-69060
78,4994553173845654352290,-4994553173845654352290,-69120
79,0,0,-69180
80,0,0,-69240
81,363801716666590140452,-363801716666590140452,-69300
82,0,0,-69360
83,0,0,-69420
84,0,0,-69540
85,0,0,-69600
86,0,0,-69660
87,0,0,-69720
88,0,0,-69780
89,0,0,-69840
90,204393175379258234790,-204393175379258234790,-69900
91,5480962998031172715038,-5480962998031172715038,-69960
92,1324195483441378241830,-1324195483441378241830,-70020
93,0,0,-70080
94,0,0,-70140
95,204880270885569531404,-204880270885569531404,-70200
96,0,0,-70260
97,0,0,-70320
98,0,0,-70380
99,0,0,-70440
100,0,0,-70500
101,0,0,-70560
102,0,0,-70620
103,0,0,-70680
104,0,0,-70740
105,0,0,-70800
106,0,0,-70860
107,0,0,-70920
108,1618609252149727000391,-1618609252149727000391,-70980
109,0,0,-71040
110,526965372388982819220,526965372388982819220,-71100
111,0,0,-71160
112,169656599601687781843,-169656599601687781843,-71220
113,0,0,-71280
114,0,0,-71340
115,0,0,-71400
116,204393175379258234790,204393175379258234790,-71460
117,514698893792480570334,-375841593943474058870,-71520
118,0,0,-71640
119,295791867491174925546,-295791867491174925546,-71700
120,20278212374215370910,-20278212374215370910,-71760
121,0,0,-71820
122,2516945770421473526396,720272733877980474386,-71880
123,488755861886870358776,-488755861886870358776,-71940
124,0,0,-72000
125,0,0,-72060
126,0,0,-72120
127,0,0,-72180
128,0,0,-72240
129,0,0,-72300
130,0,0,-72360
131,0,0,-72420
132,0,0,-72480
133,0,0,-72540
134,115163917728907049472,-14735975389474038234,-72600
135,0,0,-72660
136,0,0,-72780
137,359359898271717241645,-359359898271717241645,-72840
138,0,0,-72900
139,0,0,-72960
140,3204174206340954086,-3204174206340954086,-73020
141,0,0,-73080
142,940947392315436270,-940947392315436270,-73140
143,0,0,-73200
144,0,0,-73260
145,0,0,-73320
146,3379507381421615843673,3274506682493069529819,-73380
147,0,0,-73440
148,0,0,-73500
149,0,0,-73560
150,0,0,-73620
151,0,0,-73680
152,0,0,-73740
153,376908981760668499091,-376908981760668499091,-73800
154,0,0,-73860
155,0,0,-73920
156,2197292566680720657683,-2197292566680720657683,-73980
157,0,0,-74040
158,59260061342572385155,-59260061342572385155,-74100
159,0,0,-74160
160,0,0,-74220
161,28865387474548517577,-28865387474548517577,-74280
162,0,0,-74340
163,0,0,-74400
164,0,0,-74460
165,0,0,-74520
166,0,0,-74580
167,0,0,-74640
168,0,0,-74700
169,0,0,-74760
170,0,0,-74820
171,0,0,-74880
172,0,0,-74940
173,0,0,-75000
174,0,0,-75060
175,0,0,-75120
176,0,0,-75180
177,0,0,-75240
178,0,0,-75300
179,1182068028769362669479,-980125888778638372741,-75360
180,0,0,-75420
181,3771780062148955383425,2820289995879512017635,-75480
182,0,0,-75540
183,2197292566680720657683,2197292566680720657683,-75600
184,0,0,-75660
185,0,0,-75720
186,0,0,-75780
187,0,0,-75840
188,0,0,-75900
189,0,0,-75960
190,961928550186307739141,-961928550186307739141,-76020
191,0,0,-76080
192,3502807939754929299754,-3502807939754929299754,-76140
193,0,0,-76200
194,0,0,-76260
195,0,0,-76320
196,0,0,-76380
197,0,0,-76440
198,0,0,-76500
199,12815313323249959649482,-12815313323249959649482,-76560
200,0,0,-76620
201,0,0,-76680
202,0,0,-76740
203,0,0,-76800
204,0,0,-76860
205,727785146635201271992,727785146635201271992,-76920
206,0,0,-76980
207,0,0,-77040
208,0,0,-77100
209,0,0,-77160
210,0,0,-77220
211,0,0,-77280
212,0,0,-77340
213,475745033134721682895,475745033134721682895,-77400
214,0,0,-77460
215,0,0,-77520
216,0,0,-77580
217,0,0,-77640
218,0,0,-77700
219,0,0,-77760
220,0,0,-77820
221,0,0,77880
222,0,0,-77880
223,0,0,-77940
224,0,0,-78000
225,0,0,-78060
226,0,0,-78120
227,0,0,-78180
228,0,0,-78240
229,363801716666590140452,363801716666590140452,-78300
230,0,0,-78360
231,0,0,-78420
232,0,0,-78480
233,0,0,-78540
234,0,0,-78600
235,12526831726104217003,-12526831726104217003,-78660
236,0,0,-78720
237,0,0,-78780
238,148123412068543957014,148123412068543957014,-78840
239,0,0,-78900
240,0,0,78960
241,0,0,-78960
242,0,0,-79020
243,0,0,-79080
244,0,0,-79140
245,52500349464273156927,52500349464273156927,-79200
246,0,0,-79260
247,0,0,-79320
248,0,0,-79380
249,0,0,-79440
250,0,0,-79500
251,0,0,-79560
252,0,0,-79620
253,0,0,-79680
254,0,0,-79740
255,445270243867977314602,445270243867977314602,-79800
256,0,0,-79860
257,0,0,-79920
258,278251938637264284085,278251938637264284085,-79980
259,0,0,-80040
260,678613679593088921015,678613679593088921015,-80100
261,0,0,-80160
262,0,0,-80220
263,0,0,-80280
264,392087549195995734969,-392087549195995734969,-80340
265,0,0,-80400
266,0,0,-80460
267,0,0,-80520
268,0,0,-80580
269,0,0,-80640
270,0,0,-80700
271,0,0,-80760
272,0,0,-80820
273,59260061342572385155,59260061342572385155,-80940
274,0,0,-81000
275,0,0,-81060
276,1226737183522216381323,1226737183522216381323,-81120
277,0,0,-81180
278,204880270885569531404,204880270885569531404,-81240
279,0,0,-81300
280,0,0,-81360
281,0,0,-81420
282,0,0,-81480
283,0,0,-81540
284,1324195483441378241830,1324195483441378241830,-81600
285,0,0,-81660
286,0,0,-81780
287,8052801029174033536,8052801029174033536,-81840
288,1081096958774000521110,1081096958774000521110,-81900
289,0,0,-81960
290,203008678403867290459,203008678403867290459,-82020
291,0,0,-82080
292,8456805565397119195572,8456805565397119195572,-82140
293,0,0,-82200
294,0,0,-82260
295,0,0,-82320
296,0,0,-82560
297,0,0,-82620
298,1512088253049517698519,1512088253049517698519,-82680
299,106137747202600871391,106137747202600871391,-82800
300,18708203015367360527777,18708203015367360527777,-82920
301,0,0,-82980
302,0,0,-83040
303,0,0,-83160
304,0,0,-83220
305,0,0,-83280
306,0,0,-83400
307,295791867491174925546,295791867491174925546,-83460
308,0,0,-83520
309,0,0,-83580
310,0,0,-83640
311,0,0,-83700
312,961928550186307739141,961928550186307739141,-83760
313,0,0,-83820
314,309649096620297157021,309649096620297157021,-83880
315,0,0,-84000
316,0,0,-84060
317,0,0,-84120
318,0,0,-84180
319,0,0,-84240
320,0,0,-84300
321,0,0,-84360
322,0,0,-84420
323,0,0,-84480
324,0,0,-84540
325,0,0,-84720
326,0,0,-84780
327,0,0,-84840
328,0,0,-84900
329,129937087393868353750,129937087393868353750,-85020
330,169656599601687781843,169656599601687781843,-85080
331,0,0,-85140
332,0,0,85200
333,162559014988894900123,162559014988894900123,-85200
334,359359898271717241645,359359898271717241645,-85260
335,0,0,-85320
336,129953759073816381579,129953759073816381579,-85380
337,0,0,-85440
338,0,0,-85500
339,0,0,-85560
340,16045067960871122168,16045067960871122168,-85620
341,0,0,-85680
342,0,0,-85740
343,0,0,-85800
344,488755861886870358776,488755861886870358776,-85860
345,0,0,-85920
346,0,0,-86040
347,0,0,-86100
348,0,0,-86220
349,0,0,-86280
350,430769100449877916594,430769100449877916594,-86340
351,0,0,-86400
352,64949946559190543853,64949946559190543853,-86460
353,0,0,-86520
354,0,0,-86640
355,0,0,-86760
356,0,0,-86820
357,3204174206340954086,3204174206340954086,-86880
358,0,0,-86940
359,412365761570211105879,412365761570211105879,-87000
360,67259885140371342070,67259885140371342070,-87060
361,0,0,-87180
362,0,0,-87240
363,0,0,-87360
364,0,0,-87420
365,0,0,-87540
366,0,0,-87660
367,0,0,-87720
368,0,0,-87780
369,120002977673748970527,120002977673748970527,-87900
370,0,0,-88260
371,0,0,-88320
372,0,0,-88380
373,0,0,-88440
374,940947392315436270,940947392315436270,-88560
375,5842295916196204446100,-5842295916196204446100,887220
376,0,0,-887220
377,0,0,-88800
378,0,0,-88920
379,25464618226763574870,25464618226763574870,-88980
380,0,0,-89280
381,158909494912356535304,158909494912356535304,-89580
382,0,0,-89820
383,0,0,-89880
384,3400769247784942707,3400769247784942707,-90360
385,0,0,-90540
386,0,0,-91140
387,0,0,-91260
388,0,0,-91740
389,177557988934210317911,177557988934210317911,-91860
390,0,0,-91980
391,0,0,-92160
392,0,0,-92220
393,12526831726104217003,12526831726104217003,-92520
394,0,0,-92940
395,0,0,-93000
396,0,0,-93900
397,0,0,-93960
398,0,0,-95340
399,0,0,-95460
400,5842295916196204446100,5842295916196204446100,-95700
401,0,0,-95940
402,0,0,-96240
403,0,0,-96600
404,0,0,-97020
405,0,0,-97440
406,0,0,-97560
407,0,0,-97980
408,0,0,-99060
409,0,0,-99360
410,0,0,-99660
