,liquidityGross,liquidityNet,tickIdx
0,13275369036801651,-9002322788823437,0
1,31772452237490122,-31771258434018284,10
2,39455622999354871,39361659133151591,-10
3,13124185315190,-13124185315190,100
4,2355860693532,2355860693532,-100
5,0,0,-1000
6,0,0,1030
7,0,0,-1040
8,8221080460,-8221080460,1050
9,218996781376,218996781376,-1050
10,0,0,-1060
11,0,0,1070
12,14593752678038,-14593752678038,110
13,6368360812351,6368360812351,-110
14,0,0,-1100
15,0,0,1130
16,0,0,-1130
17,0,0,1150
18,0,0,115140
19,0,0,-1180
20,569356512660,-569356512660,120
21,13992276527535,13992276527535,-120
22,0,0,-1210
23,0,0,1250
24,0,0,-1270
25,0,0,1280
26,0,0,130
27,0,0,-130
28,0,0,13840
29,0,0,13850
30,4003593903,-4003593903,-13880
31,4003593903,4003593903,-13890
32,57889551691,-57889551691,140
33,72729801776,72729801776,-140
34,0,0,1400
35,0,0,-1400
36,120036560,-120036560,1490
37,376060039412,-376060039412,150
38,350550438814,350550438814,-150
39,0,0,160
40,12834083073,12834083073,-160
41,0,0,1630
42,0,0,-1630
43,0,0,1690
44,17448898841,-17448898841,170
45,12675517525,12675517525,-170
46,120036560,120036560,-1740
47,0,0,180
48,0,0,-180
49,13299808487,-13299808487,1820
50,0,0,190
51,0,0,-190
52,309685768532104,-309685768532104,20
53,1525920848293541,1525920848293541,-20
54,533256205713,-533256205713,200
55,534154697002,534154697002,-200
56,0,0,2000
57,0,0,210
58,0,0,-210
59,92529843061,-92529843061,220
60,97170883102,97170883102,-220
61,3396102807,3396102807,-2230
62,8491582645,-8491582645,230
63,0,0,-230
64,0,0,23030
65,0,0,2390
66,0,0,-240
67,0,0,-24080
68,0,0,250
69,8491582645,8491582645,-250
70,0,0,260
71,0,0,-260
72,0,0,-270
73,198612890,198612890,27080
74,0,0,280
75,0,0,-280
76,0,0,290
77,0,0,-290
78,7836991412865,-7836991412865,30
79,108147725063853,108147725063853,-30
80,9286632677,-9286632677,300
81,6802395870,6802395870,-300
82,0,0,310
83,0,0,-310
84,0,0,-330
85,198612890,-198612890,34000
86,0,0,3590
87,9213527499,-9213527499,360
88,3711115669,3711115669,-360
89,0,0,3600
90,0,0,-3610
91,5502411830,5502411830,-370
92,0,0,380
93,0,0,-380
94,17186289638636,-17186289638636,390
95,0,0,-390
96,8920646253555,-8920646253555,40
97,111467999550211,111467999550211,-40
98,60820947182,-60820947182,400
99,60820947182,60820947182,-400
100,0,0,4050
101,0,0,4060
102,0,0,-4060
103,17186289638636,17186289638636,-410
104,0,0,420
105,0,0,430
106,0,0,-450
107,0,0,-46150
108,0,0,470
109,0,0,480
110,0,0,-480
111,22521677240,-22521677240,490
112,69249383915,69249383915,-490
113,74864076090695,-74864076090695,50
114,76642080978837,76642080978837,-50
115,0,0,-500
116,0,0,510
117,42556706038,42556706038,-510
118,0,0,-5110
119,69152283026,-69152283026,520
120,0,0,5200
121,0,0,580
122,24513459741068,-24513459741068,60
123,366915077636,366915077636,-60
124,0,0,610
125,0,0,-610
126,0,0,620
127,0,0,-620
128,0,0,650
129,0,0,680
130,0,0,-6930
131,4467753196666,-4467753196666,70
132,763068107654,763068107654,-70
133,0,0,770
134,0,0,-770
135,0,0,780
136,864595509,864595509,78920
137,0,0,-790
138,864595509,-864595509,79040
139,0,0,80
140,24507692870407,24507692870407,-80
141,0,0,800
142,0,0,-810
143,0,0,-830
144,0,0,880
145,7927282473,7927282473,-880
146,1705866235,-1705866235,887270
147,1705866235,1705866235,-887270
148,31846105843,-31846105843,90
149,0,0,-90
150,0,0,-92110
151,0,0,930
152,0,0,-940
153,252516606404,-232709195044,950
154,428695138,428695138,-950
155,0,0,960
156,0,0,-960
157,0,0,970
