,liquidityGross,liquidityNet,tickIdx
0,44581905943765,-44581905943765,-136800
1,1073711067767939,-1073711067767939,-137800
2,0,0,-138000
3,0,0,-138200
4,0,0,-161000
5,0,0,-170400
6,0,0,-172400
7,0,0,-173800
8,0,0,-174800
9,0,0,-177200
10,0,0,-180200
11,9667324478185002,-9667324478185002,-182200
12,91874760045267,-91874760045267,-182600
13,0,0,-183200
14,0,0,-183400
15,0,0,-183600
16,0,0,-184000
17,870517181352272,-870517181352272,-184200
18,0,0,-185200
19,0,0,-188400
20,0,0,-189400
21,0,0,-190200
22,31357684524157,-31357684524157,-190800
23,0,0,-191000
24,1454386797171354,-1454386797171354,-191200
25,1095967315987722,-1095967315987722,-193200
26,0,0,-194200
27,0,0,-196000
28,0,0,-196200
29,0,0,-197800
30,0,0,-198000
31,0,0,-198200
32,0,0,-198400
33,0,0,-199800
34,0,0,-200000
35,131345898057491,-131345898057491,-200200
36,59263971078024,-59263971078024,-200400
37,0,0,-201400
38,0,0,-202600
39,0,0,-203200
40,0,0,-203800
41,0,0,-204000
42,210459562350089,-210459562350089,-204600
43,0,0,-205000
44,12423139629802,-12423139629802,-205200
45,0,0,-205400
46,0,0,-206400
47,0,0,-206600
48,3598404586631871,-3598404586631871,-206800
49,0,0,-207000
50,1119932176626381,-1119932176626381,-207200
51,0,0,-207600
52,0,0,-207800
53,0,0,-208200
54,0,0,-208400
55,0,0,-208600
56,0,0,-208800
57,0,0,-209200
58,0,0,-209400
59,0,0,-209600
60,0,0,-209800
61,0,0,-210000
62,0,0,-210200
63,0,0,-210800
64,0,0,-211200
65,0,0,-211800
66,0,0,-212000
67,0,0,-212200
68,0,0,-212400
69,0,0,-212600
70,0,0,-212800
71,0,0,-213000
72,113082986359052,-113082986359052,-213200
73,221984332281916,-221984332281916,-213400
74,0,0,-213600
75,0,0,-213800
76,0,0,-214000
77,139352747955978,-139352747955978,-214200
78,0,0,-214400
79,0,0,-214600
80,0,0,-214800
81,808498009593173,-808498009593173,-215000
82,0,0,-215200
83,0,0,-215400
84,27365460927739,-27365460927739,-215600
85,18995848656964,-18995848656964,-215800
86,1440753397094808,-1440753397094808,-216000
87,0,0,-216200
88,3780929175632,-3780929175632,-216400
89,0,0,-216600
90,91394040778976,-91394040778976,-216800
91,0,0,-217000
92,499013764424458,-499013764424458,-217200
93,0,0,-217400
94,69541465421225,-69541465421225,-217600
95,379801281382122,-379801281382122,-217800
96,126301224188267,-126301224188267,-218000
97,310996530588551,-310996530588551,-218200
98,3757688044711550,-3757688044711550,-218400
99,1603788207820038,-1603788207820038,-218600
100,380274117669656,-380274117669656,-218800
101,1846762059603766,-1846762059603766,-219000
102,870612185139182,-870612185139182,-219200
103,1585942749308438,-1585942749308438,-219400
104,126412327356221,-126412327356221,-219600
105,0,0,-219800
106,3933851550582965,-507256050157079,-220000
107,0,0,-220200
108,41210304774460,-41210304774460,-220400
109,519509114938851,-519509114938851,-220600
110,1185848878701885,-1185848878701885,-220800
111,2653212167878884,-2653212167878884,-221000
112,3645109323873066,-1658052000368602,-221200
113,34867938642655661,-34867938642655661,-221400
114,1595028723212132,-1595028723212132,-221600
115,1633880393586184,-341907889831906,-221800
116,375527231349431,-375527231349431,-222000
117,3535602195655150,-2522489395307392,-222200
118,2360190480070966,407089980219534,-222400
119,320503351921660,-320503351921660,-222600
120,211698291795401,-211698291795401,-222800
121,3051169679816314,-1834432147450700,-223000
122,2316618008447423,-2316618008447423,-223200
123,16378386684528636,-14822784105703918,-223400
124,3969598910653368,1289543818996088,-223600
125,799242194623661,519062899456381,-223800
126,1451204958578590,-1451204958578590,-224000
127,2165503922379964,-703752017627970,-224200
128,208897284255659,-208897284255659,-224400
129,225237017217561,-108830970942777,-224600
130,1544828041111423,123201027180471,-224800
131,3133197455513318,-3133197455513318,-225000
132,1032284867852432,-926581463508746,-225200
133,702911300816148,317312630326298,-225400
