,liquidityGross,liquidityNet,tickIdx
0,100,100,100
1,451082180332,451082180332,108340
2,2273693713,2273693713,108360
3,44739669244,44739669244,108390
4,446606638860,446606638860,108460
5,100,-100,110
6,50623993764010,50623993764010,115140
7,39265540233720,39265540233720,150780
8,0,0,150890
9,0,0,153470
10,0,0,153780
11,0,0,153840
12,0,0,157130
13,0,0,159170
14,0,0,159180
15,1259459361501467,1259459361501467,161090
16,29522482240085,29522482240085,161190
17,0,0,164760
18,0,0,166300
19,279330701153877,279330701153877,168120
20,0,0,169160
21,0,0,170120
22,0,0,170410
23,147401704913086,147401704913086,171410
24,0,0,172180
25,0,0,173220
26,0,0,175050
27,4921975053928,4921975053928,175460
28,0,0,176120
29,0,0,176330
30,0,0,176400
31,2643442485396990,2643442485396990,177280
32,0,0,177290
33,0,0,177330
34,0,0,178070
35,310527552650769165,310527552650769165,178340
36,0,0,178560
37,51675133844794,51675133844794,178740
38,0,0,179830
39,2553804180492700,2553804180492700,180160
40,0,0,180740
41,0,0,181980
42,0,0,182110
43,1131670065466301,1131670065466301,182200
44,3968686904815260,3968686904815260,182320
45,180804229703556487,180804229703556487,182390
46,0,0,182400
47,0,0,182450
48,7886769913169,7886769913169,182510
49,0,0,182980
50,0,0,183100
51,0,0,183260
52,0,0,183290
53,0,0,183710
54,1940112512356395,1940112512356395,184110
55,109678179589544,109678179589544,184170
56,40617221865583,40617221865583,184190
57,17409290878,17409290878,184200
58,1681690850892085,1681690850892085,184210
59,1895006204600609,1895006204600609,184220
60,1627211398797261,1627211398797261,184230
61,8999899324840331,8999899324840331,184310
62,0,0,184320
63,0,0,184350
64,3522052025368368,3522052025368368,184440
65,0,0,184790
66,0,0,185000
67,0,0,185180
68,968369034506101,968369034506101,185260
69,4757762105039019,4757762105039019,185270
70,328005897522005,328005897522005,185380
71,0,0,185390
72,0,0,185580
73,152936447609863413,152936447609863413,185720
74,79333854514189,79333854514189,185810
75,0,0,185840
76,18195637022287213,18195637022287213,185890
77,0,0,185960
78,12346158989023634,12346158989023634,185990
79,0,0,186040
80,0,0,186080
81,73689734983678781,73689734983678781,186140
82,0,0,186200
83,10880972116861870,10880972116861870,186310
84,4056664485988,4056664485988,186350
85,0,0,186410
86,739959713938713,739959713938713,186440
87,2763879899915417,2763879899915417,186450
88,0,0,186520
89,19042975966677684,19042975966677684,186730
90,0,0,186770
91,0,0,186780
92,552961036905771,552961036905771,186920
93,0,0,187000
94,0,0,187030
95,0,0,187080
96,15093513175660503,15093513175660503,187090
97,0,0,187310
98,369522097185869,369522097185869,187410
99,367328826880682,367328826880682,187730
100,37638126479778693,37638126479778693,187740
101,0,0,187750
102,4441738352063547,4441738352063547,187780
103,0,0,187800
104,0,0,187810
105,108682402629134,108682402629134,187850
106,10058337846229244,10058337846229244,187920
107,504074925853051,504074925853051,187940
108,3742496066197332,3742496066197332,187990
109,1554253627006595,1554253627006595,188220
110,29065328965103476,29065328965103476,188340
111,0,0,188360
112,1909942518760462,1909942518760462,188380
113,46534344513942442,46534344513942442,188440
114,0,0,188500
115,11418801568011364,11418801568011364,188510
116,15759899996357771,15759899996357771,188520
117,19316855156189,19316855156189,188690
118,0,0,188800
119,0,0,188840
120,0,0,188880
121,0,0,188950
122,0,0,189010
123,0,0,189050
124,25538007386744150,25538007386744150,189060
125,71696616567510,71696616567510,189230
126,0,0,189240
127,259682591765884,259682591765884,189290
128,0,0,189300
129,2899621738542264,2899621738542264,189310
130,397622347713802137,397622347713802137,189320
131,2124429728487994,2124429728487994,189330
132,32623167346755718,32623167346755718,189340
133,0,0,189370
134,0,0,189380
135,4980452822072308,4980452822072308,189410
136,657687920129168,657687920129168,189480
137,0,0,189490
138,0,0,189550
139,0,0,189560
140,0,0,189570
141,1890725485560546,1890725485560546,189660
142,0,0,189680
143,0,0,189730
144,5468407368690469,5468407368690469,189770
145,0,0,189790
146,404156061115427,404156061115427,189890
147,0,0,189950
148,3616778520252411,3616778520252411,189980
149,4766078399884657,4766078399884657,190010
150,0,0,190020
151,63026044863696,63026044863696,190040
152,10817931061103485,10817931061103485,190050
153,0,0,190080
154,5844284422926607,5844284422926607,190090
155,53781419280831359,53781419280831359,190170
156,13882165709461568,13882165709461568,190190
157,497637943250189,497637943250189,190230
158,0,0,190320
159,0,0,190330
160,0,0,190370
161,43975418752669544,43975418752669544,190380
162,0,0,190430
163,1736076374179123,1736076374179123,190440
164,0,0,190460
165,1961716174834432,1961716174834432,190470
166,370913814107552,370913814107552,190490
167,0,0,190500
168,0,0,190510
169,13863096029228922,13863096029228922,190520
170,14509743803183964,14509743803183964,190550
171,0,0,190560
172,4631577881032875,4631577881032875,190570
173,9613902432587607,9613902432587607,190600
174,0,0,190630
175,19971941077549813,19971941077549813,190650
176,6728630807047521,6728630807047521,190660
177,0,0,190700
178,63263149279228,63263149279228,190710
179,38615440647686869,38615440647686869,190720
180,0,0,190740
181,16187117228480560,16187117228480560,190750
182,724436981629635804,724436981629635804,190760
183,449978796471408313,449978796471408313,190790
184,0,0,190800
185,0,0,190850
186,39379328560705327,39379328560705327,190890
187,23536411146905694,23536411146905694,190900
188,669330233750403,669330233750403,190920
189,1157934392595570,1157934392595570,190940
190,30039213904977060,30039213904977060,190950
191,0,0,190960
192,0,0,190970
193,0,0,190980
194,0,0,190990
195,0,0,191000
196,0,0,191010
197,0,0,191030
198,4390855951592421,4390855951592421,191040
199,214043481368334696,214043481368334696,191050
200,75489314928923817,75489314928923817,191060
201,26970966237299547,26970966237299547,191070
202,2253940329384315,2253940329384315,191080
203,0,0,191090
204,13892191971338080,13892191971338080,191100
205,2537796806805945,2537796806805945,191110
206,0,0,191120
207,12194121586112022,12194121586112022,191130
208,182078538533612437,182078487948471433,191140
209,331588660194888931,303660686976403613,191150
210,10156321713416460,10156321713416460,191160
211,41795558949825949,-5414122722647783,191170
212,5098354258975182,5098354258975182,191190
213,567015344253415,567015344253415,191200
214,0,0,191240
215,3770729976661688,3770729976661688,191250
216,25990497381781314,25990497381781314,191270
217,4202039821112880,4202039821112880,191290
218,0,0,191300
219,45885697453170059,45885697453170059,191310
220,24478311426515440,24478311426515440,191320
221,207279399993022649,207279399993022649,191330
222,0,0,191340
223,49628446694121682,49628446694121682,191350
224,35253898881519992,35253898881519992,191360
225,0,0,191370
226,25712277890943358,25712277890943358,191380
227,0,0,191390
228,0,0,191400
229,40285356169296024,40285356169296024,191410
230,1137975599127139,1137975599127139,191420
231,0,0,191430
232,401029107807298568,401029107807298568,191450
233,0,0,191460
234,0,0,191470
235,0,0,191480
236,0,0,191490
237,0,0,191500
238,0,0,191510
239,4547458636233262,4547458636233262,191520
240,3958222004072004,3958222004072004,191530
241,48360274990695273,48360274990695273,191540
242,3519390056772666361,3519390056772666361,191550
243,354241252959134803,354241252959134803,191560
244,0,0,191570
245,3572702106951346,3572702106951346,191580
246,47213322089575363,47213322089575363,191590
247,31633360099498598,31633360099498598,191600
248,762232596094513871,762232596094513871,191610
249,0,0,191620
250,175775291783107974,175775291783107974,191630
251,164882704688050358,164882704688050358,191640
252,34851455220915570,6195794291097520,191650
253,8107537175651678,8107537175651678,191660
254,0,0,191670
255,0,0,191680
256,0,0,191690
257,25990497381781314,-25990497381781314,191700
258,272395607320040,272395607320040,191710
259,22485330660844015,-22485330660844015,191720
260,2643442485396990,-2643442485396990,191730
261,0,0,191740
262,267639108827509,-267639108827509,191750
263,412094111238617743,412094111238617743,191760
264,341789292714413343,-267009516577016237,191770
265,0,0,191780
266,647230069137340,647230069137340,191790
267,0,0,191800
268,97229705051281065,-52352518399911137,191810
269,0,0,191820
270,244492142328237736,244492142328237736,191830
271,126153877850598308,126153877850598308,191840
272,52750005265321356,52750005265321356,191850
273,8107537175651678,-8107537175651678,191860
274,239289507294751208,239289507294751208,191870
275,0,0,191880
276,0,0,191890
277,0,0,191900
278,0,0,191910
279,266108700424240,266108700424240,191920
280,0,0,191930
281,0,0,191940
282,0,0,191950
283,147036927562019,147036927562019,191960
284,158977843467317205,158977843467317205,191970
285,14978050006235774879,14978050006235774879,191980
286,0,0,191990
287,75695463749716956,-75503883208374880,192000
288,1292497826421529,-1290847853489151,192010
289,0,0,192020
290,123862930255831468,102100986022107728,192030
291,147036927562019,-147036927562019,192040
292,46920883586584176,46920883586584176,192050
293,110172609084353,-110172609084353,192060
294,6029417062918366,6029417062918366,192070
295,7860581633449584,7860581633449584,192080
296,49667015998506443,38103748593650143,192090
297,57318654093254963,57318654093254963,192100
298,161528700233084931,161528700233084931,192110
299,1897691184271232313,1897691184271232313,192120
300,266108700424240,-266108700424240,192130
301,46197106621088399,46197106621088399,192140
302,29742176051812984,361125372850690,192150
303,0,0,192160
304,0,0,192170
305,0,0,192180
306,0,0,192190
307,237229089261763124,188236793699379286,192200
308,36477846867822831,-34029950895217153,192210
309,0,0,192220
310,24749122972903327,24749122972903327,192230
311,0,0,192240
312,0,0,192250
313,52999198840409850,-52999198840409850,192260
314,0,0,192270
315,1932779997024697174,-1757182386013441128,192280
316,0,0,192290
317,0,0,192300
318,0,0,192310
319,56671321114185178,-56671321114185178,192320
320,0,0,192330
321,13506826513573,13506826513573,192340
322,5422482897995969,5422482897995969,192360
323,0,0,192370
324,164338414440308907,158953527047068529,192380
325,0,0,192390
326,0,0,192400
327,2209240662936843,2209240662936843,192410
328,268798599195769693,268798599195769693,192420
329,201233337537669225,-121824062928500637,192430
330,317018195372879,317018195372879,192440
331,0,0,192450
332,241140105635168,241140105635168,192460
333,0,0,192470
334,0,0,192480
335,0,0,192490
336,0,0,192500
337,0,0,192510
338,0,0,192520
339,31205044568591,31205044568591,192530
340,0,0,192540
341,6227668122745772,6227668122745772,192550
342,166571845532602439,-156720095954774997,192560
343,175775291783107974,-175775291783107974,192570
344,50220710962699476,-42638898921723066,192580
345,244512397999354323,-243539463520464939,192590
346,65363100240022948,57781288199046538,192600
347,244122655773606,244122655773606,192610
348,466617751259751223,-466617751259751223,192620
349,1583678235281163,-1583678235281163,192630
350,0,0,192640
351,3423171897391838390,-3366748983467366034,192650
352,442619756074355677,422045244576515807,192660
353,0,0,192670
354,0,0,192680
355,145154575685300939,145154575685300939,192690
356,0,0,192700
357,0,0,192710
358,377251776023851763,377251776023851763,192720
359,61018356411177384,-61018356411177384,192730
360,8064588481851581,8064588481851581,192740
361,0,0,192750
362,0,0,192760
363,16760923752771853,-16760923752771853,192770
364,312015559742152250,21706408371550372,192780
365,112403119534793947,-112403119534793947,192790
366,46197106621088399,-46197106621088399,192800
367,0,0,192810
368,268276958103883712,-268276958103883712,192820
369,0,0,192830
370,0,0,192840
371,45885697453170059,-45885697453170059,192850
372,122360785787666624,-122096234342548424,192860
373,268198034215747707,-268198034215747707,192870
374,0,0,192880
375,294800845999508136,69100615307595764,192890
376,166823658490845233,-166823658490845233,192900
377,55082513729903354,-55082513729903354,192910
378,491078644372905,-491078644372905,192920
379,324708876678768727,303073014556561757,192930
380,43415974706693453,-43415974706693453,192940
381,0,0,192950
382,0,0,192960
383,0,0,192970
384,0,0,192980
385,0,0,192990
386,0,0,193000
387,371773096511878250,-104445395447646852,193010
388,2049170197059126,2049170197059126,193020
389,55785037179471614,-55785037179471614,193030
390,0,0,193040
391,0,0,193050
392,18360416153875604,-18360416153875604,193060
393,4349481859677140,-4349481859677140,193070
394,0,0,193080
395,16239171988656150,-16239171988656150,193090
396,663582128214502273,663582128214502273,193100
397,0,0,193110
398,0,0,193120
399,610190491637133265,-558527263967238825,193130
400,136931869913795063,-129372753495145237,193140
401,31177689938955174,276729709278538,193150
402,0,0,193160
403,0,0,193170
404,5424360439564036,-5424360439564036,193180
405,0,0,193190
406,0,0,193200
407,2729220987707554,-2729220987707554,193210
408,15221452987098226,-15221452987098226,193220
409,649057665575901379,-649057665575901379,193230
410,0,0,193240
411,0,0,193250
412,18829354144729566,-18035791167665400,193260
413,0,0,193270
414,0,0,193280
415,0,0,193290
416,0,0,193300
417,0,0,193310
418,52809625525677068,-52610359978649256,193320
419,0,0,193330
420,2209240662936843,-2209240662936843,193340
421,1711187279952798,1711187279952798,193350
422,0,0,193360
423,178965556695283086,-178934027573897056,193370
424,253141889725006615,-245813231021120659,193380
425,11540261077837697,-11540261077837697,193390
426,14843955913937310237,-14843955913937310237,193400
427,0,0,193410
428,9830445749469106,-9830445749469106,193420
429,0,0,193430
430,0,0,193440
431,0,0,193450
432,0,0,193460
433,36486568263046959,-36486568263046959,193470
434,0,0,193480
435,0,0,193490
436,150160804927408,-150160804927408,193500
437,872596257902285486,-872596257902285486,193510
438,0,0,193520
439,0,0,193530
440,68393282419586743,-62729960116763933,193540
441,0,0,193550
442,449978796471408313,-449978796471408313,193560
443,2528263383097004,-2459021538109732,193570
444,107901068028355403,-107901068028355403,193580
445,0,0,193590
446,669330233750403,-669330233750403,193600
447,15411080653624461,-15411080653624461,193610
448,0,0,193620
449,27085848423342518,-27085848423342518,193630
450,0,0,193640
451,171788102871941895,-168016285204981151,193650
452,0,0,193660
