,liquidityGross,liquidityNet,tickIdx
0,0,0,0
1,0,0,105960
2,955255939572502,955255939572502,-1080
3,50602192969252,50602192969252,115140
4,0,0,120660
5,51853265344561,51853265344561,121860
6,23599758490300,23599758490300,127020
7,0,0,132000
8,10759022241094870,10759022241094870,138180
9,0,0,141780
10,0,0,143460
11,0,0,144360
12,1177620950428,1177620950428,145080
13,10300265337294,-10300265337294,145680
14,0,0,147300
15,5682652725524,-5682652725524,148440
16,67752758615881,67752758615881,149160
17,82670472645576,-82670472645576,149400
18,3415655735966,3415655735966,150180
19,0,0,151200
20,0,0,152040
21,0,0,152280
22,55368831069002,55368831069002,152340
23,42785777092278,42785777092278,153600
24,0,0,154200
25,0,0,154260
26,315386766245284,315386766245284,154380
27,0,0,154800
28,0,0,155040
29,0,0,155580
30,2074343196363,2074343196363,156060
31,0,0,156360
32,10737255387430,10737255387430,157080
33,16485423471981,16485423471981,157140
34,0,0,159300
35,0,0,159960
36,257775493332198,257775493332198,160560
37,2550799525561100,2550799525561100,161160
38,961652346063,961652346063,162120
39,0,0,162360
40,0,0,163380
41,141583341506618,141583341506618,164760
42,0,0,165660
43,0,0,166320
44,0,0,166440
45,961652346063,-961652346063,167580
46,0,0,167940
47,0,0,168000
48,33305886155967,2870416630649,168120
49,0,0,168360
50,1957485398494,1957485398494,169200
51,10606743277866,10606743277866,169260
52,0,0,169860
53,1102401024432242,1102401024432242,170340
54,0,0,170640
55,0,0,171180
56,21827785948180,21827785948180,171420
57,1424519423065835,1424519423065835,171720
58,96553173606062,96553173606062,171780
59,21409817006605,21409817006605,172200
60,24342028274317,24342028274317,172440
61,0,0,172560
62,1177570850366022,1177570850366022,172740
63,0,0,172920
64,0,0,173160
65,11763410639689440,11763410639689440,173220
66,0,0,173280
67,0,0,173400
68,16976441980382,16976441980382,173700
69,0,0,173820
70,0,0,174180
71,0,0,174300
72,0,0,174420
73,0,0,174480
74,19356613386885,19356613386885,174660
75,523874139806376,523874139806376,174720
76,63726090010986,63726090010986,174960
77,549577617584542,549577617584542,175080
78,0,0,175500
79,63488602962126,63488602962126,175560
80,0,0,175860
81,2560685329292220,2560685329292220,176160
82,45238698750846,45238698750846,176340
83,23083853964003,23083853964003,176700
84,553292737118090,553292737118090,176820
85,0,0,176940
86,0,0,177060
87,0,0,177120
88,0,0,177180
89,12523098025707471,12523098025707471,177240
90,9217834422070353,9217834422070353,177300
91,0,0,177360
92,0,0,177540
93,1629378580357892,522793106121712,177840
94,0,0,178140
95,0,0,178260
96,21973657172069,21973657172069,178320
97,0,0,178380
98,0,0,178620
99,7953468825711,7953468825711,178740
100,628161008881156,628161008881156,178860
101,0,0,178920
102,107944254118854,107944254118854,179280
103,0,0,179460
104,0,0,179520
105,111256504368680,111256504368680,179820
106,0,0,179880
107,0,0,180000
108,1034771765768719,1034771765768719,180060
109,0,0,180120
110,573369703192795,573369703192795,180180
111,0,0,180240
112,0,0,180300
113,0,0,180420
114,0,0,180480
115,0,0,180600
116,70867329155963,70867329155963,180660
117,288652297187172,288652297187172,180840
118,0,0,180900
119,82572241773119,82572241773119,180960
120,6844438646565,6844438646565,181020
121,3983869358972,3983869358972,181140
122,9021441644082,9021441644082,181260
123,0,0,181320
124,2204035747945143,2204035747945143,181380
125,0,0,181440
126,15320779235085,15320779235085,181500
127,15320779235085,-15320779235085,181560
128,784998199070818,784998199070818,181620
129,6681401016741,6681401016741,181800
130,0,0,181920
131,4151384277622531,4151384277622531,181980
132,0,0,182040
133,38430671443357,38430671443357,182100
134,0,0,182160
135,3978945209697402,3978945209697402,182340
136,44535748818622008,44523880287192844,182400
137,0,0,182460
138,52734500916471,52734500916471,182580
139,1068360264347749,1068360264347749,182700
140,0,0,182760
141,0,0,182820
142,0,0,183000
143,0,0,183060
144,17296075409,17296075409,183180
145,941465788719759144,941465788719759144,183240
146,349495655052777,-349495655052777,183300
147,0,0,183360
148,0,0,183420
149,0,0,183480
150,0,0,183540
151,12672457025250,12672457025250,183660
152,0,0,183720
153,0,0,183840
154,0,0,183900
155,75037607362344,75037607362344,183960
156,260199976226393,260199976226393,184020
157,85864390840365,85864390840365,184140
