,liquidityGross,liquidityNet,tickIdx
0,149495479775784,-149495479775784,-254210
1,0,0,-272960
2,0,0,-275370
3,36572026929799918,-36572026929799918,-275840
4,0,0,-276020
5,0,0,-276030
6,0,0,-276120
7,32718423991913548,-32718423991913548,-276130
8,0,0,-276140
9,0,0,-276150
10,0,0,-276170
11,0,0,-276180
12,0,0,-276190
13,328685396812205917,-328685396812205917,-276200
14,0,0,-276210
15,11100410504474187177,-11100410504474187177,-276220
16,0,0,-276230
17,0,0,-276240
18,5727375100476426034,-5727375100476426034,-276250
19,9972525455116492577,-9972525455116492577,-276260
20,721892001001969292,-721892001001969292,-276270
21,9972525455116492577,9972525455116492577,-276280
22,4375697973548925279,-4375697973548925279,-276290
23,694427058542119797300,-694427058542119797300,-276300
24,2646493264769129913033,-2645394204579633899907,-276310
25,15748703503217948806333,-12278757532883234882813,-276320
26,32595415596227881801582,-3620301443955380350014,-276330
27,19070326321194709126111,19070326321194709126111,-276340
28,34052329385285253658,34052329385285253658,-276350
29,328685396812205917,328685396812205917,-276360
30,12016429757213020647,-11983458042482032199,-276370
31,134848109771069309725,134848109771069309725,-276380
32,4767376908315405620,4767376908315405620,-276390
33,0,0,-276400
34,0,0,-276410
35,0,0,-276420
36,10674686153153032947,10674686153153032947,-276430
37,0,0,-276440
38,5727375100476426034,5727375100476426034,-276450
39,0,0,-276460
40,0,0,-276470
41,0,0,-276480
42,11999943899847526423,11999943899847526423,-276500
43,0,0,-276510
44,0,0,-276520
45,0,0,-276530
46,0,0,-276540
47,0,0,-276550
48,0,0,-276600
49,0,0,-276620
50,0,0,-276630
51,425724351321154230,425724351321154230,-276700
52,0,0,-276830
53,36572026929799918,36572026929799918,-276840
54,0,0,-276880
55,0,0,-277380
56,0,0,-279890
57,74737646924599,74737646924599,-298440
58,0,0,-315450
