,liquidityGross,liquidityNet,tickIdx
0,26662857132727492212,26662857132727492212,0
1,6750811032482897889,-6750811032482897889,101280
2,1662091695852450506,-1662091695852450506,103440
3,0,0,12060
4,4454617545979076219,4454617545979076219,12660
5,353646748984466033348,353646748984466033348,-138180
6,6750811032482897889,6750811032482897889,14100
7,784245435384730790830,784245435384730790830,15060
8,3134650045949919385,3134650045949919385,16080
9,0,0,16140
10,5316312391891557525,5316312391891557525,19680
11,81835258279676450279,81835258279676450279,20820
12,0,0,21420
13,102615395272217725843,102615395272217725843,22980
14,6958750957931632166,6958750957931632166,23040
15,0,0,25800
16,99234056306877182846,99234056306877182846,26700
17,177210874612405377178,177210874612405377178,27240
18,9216712691053367167,9216712691053367167,27720
19,52779913699697033705,52779913699697033705,27900
20,109668142829315109865,109668142829315109865,27960
21,16795262968489704564,16795262968489704564,28260
22,0,0,28740
23,561629075823014175494,561629075823014175494,28920
24,0,0,28980
25,305353569931986357605,305353569931986357605,29940
26,131209214474853862593,131209214474853862593,30000
27,0,0,30300
28,0,0,30360
29,0,0,30420
30,0,0,31380
31,169799764935516869048,169799764935516869048,31560
32,0,0,31860
33,0,0,32160
34,43812119787276271771,43812119787276271771,32220
35,8086348714649845237,8086348714649845237,32280
36,24733513202674023855,24733513202674023855,32340
37,479154394413592645644,479154394413592645644,32460
38,35592529780460870596,35592529780460870596,32520
39,18242065039892820308,18242065039892820308,32700
40,0,0,32760
41,114506900663518475429,114506900663518475429,33000
42,0,0,33060
43,58849628918643765210,58849628918643765210,33540
44,18371011055344882578,18371011055344882578,33660
45,0,0,33840
46,0,0,34020
47,586065576746260432258,586065576746260432258,34140
48,161601779033089832621,161601779033089832621,34260
49,182502909946135608124,182502909946135608124,34320
50,312873597811367431695,312873597811367431695,34380
51,0,0,34440
52,0,0,34500
53,44135988083992870401,44135988083992870401,34560
54,12561177249532467316,12561177249532467316,34680
55,0,0,34740
56,597831052535511619407,597831052535511619407,34860
57,0,0,34920
58,88440299701170860981,88440299701170860981,34980
59,301506059472295775862,301506059472295775862,35040
60,6571189995149394177,6571189995149394177,35220
61,3243972016362670982,3243972016362670982,35280
62,157296263646310621165,157296263646310621165,35340
63,0,0,35520
64,0,0,35580
65,114514487669430133173,114514487669430133173,35820
66,0,0,35880
67,1102100359548217670260,1102100359548217670260,35940
68,0,0,36000
69,0,0,36120
70,112927636466326907629,112927636466326907629,36360
71,0,0,36600
72,172244897087949431809,172244897087949431809,36660
73,46040383968945699430,46040383968945699430,36840
74,3348327322001158563123,3348327322001158563123,36900
75,0,0,37020
76,0,0,37080
77,70392049634596165265,70392049634596165265,37140
78,107723346474147169288,107723346474147169288,37200
79,714077551033649488189,714077551033649488189,37320
80,513591357679730410402,513591357679730410402,37380
81,261237777729605522377,261237777729605522377,37440
82,148495726667864219014,148495726667864219014,37500
83,0,0,37560
84,0,0,37620
85,0,0,37680
86,0,0,37740
87,0,0,37800
