,liquidityGross,liquidityNet,tickIdx
0,0,0,275270
1,0,0,275810
2,0,0,276070
3,0,0,276120
4,0,0,276130
5,7462623621976092785,7462623621976092785,276180
6,0,0,276190
7,80519953926560638,80519953926560638,276200
8,0,0,276210
9,0,0,276220
10,0,0,276230
11,0,0,276250
12,424549903916176941449,424549903916176941449,276260
13,0,0,276270
14,389355554643646790441,389355554643646790441,276280
15,2523852200426636510853,1769183062021074665115,276290
16,247053946361065991697,21860605806768853277,276300
17,860407772616581565351,-766834154458562663769,276310
18,1428749846811045499586,-583251895943053553406,276320
19,719121335590478848778,-719121335590478848778,276330
20,80519953926560638,-80519953926560638,276340
21,30760779832164280137,-30760779832164280137,276350
22,504980960563407904192,-504980960563407904192,276360
23,0,0,276370
24,7462623621976092785,-7462623621976092785,276400
25,0,0,276420
26,0,0,276430
27,0,0,276440
28,0,0,276450
29,0,0,276490
30,0,0,276520
31,0,0,276530
32,0,0,276670
33,0,0,276810
34,0,0,277280
35,0,0,887270
36,0,0,-887270
