,liquidityGross,liquidityNet,tickIdx
0,996003697273437993211,-996003697273437993211,0
1,1190905208661711630946,-1190905208661711630946,10600
2,0,0,-113000
3,67541729095304138479,67541729095304138479,-115200
4,187228555765482629795,187228555765482629795,-118600
5,0,0,-12400
6,101736280085522084764,-101736280085522084764,138200
7,316426515749216271276,-316426515749216271276,144800
8,187228555765482629795,-187228555765482629795,-20400
9,0,0,23000
10,0,0,-25200
11,67541729095304138479,-67541729095304138479,-26800
12,0,0,-29000
13,0,0,-34600
14,104579474847069828870,-104579474847069828870,-35200
15,0,0,-36600
16,965355960117251816327,-965355960117251816327,-38200
17,0,0,-39200
18,0,0,-40000
19,0,0,-42000
20,0,0,-44000
21,4466432466450581964691,-4466432466450581964691,-44200
22,450687837989357315490,-450687837989357315490,-44800
23,0,0,-45000
24,0,0,-45200
25,41811049534074501113,-41811049534074501113,-45800
26,4434622014009232454533,-4434622014009232454533,-46000
27,0,0,-46200
28,0,0,-46400
29,0,0,-46600
30,0,0,-46800
31,586538261781065529774,-586538261781065529774,-47000
32,0,0,-47200
33,0,0,-47400
34,0,0,-47600
35,4357016342191939536,-4357016342191939536,-47800
36,0,0,-48000
37,11333421979256802003461,-11333421979256802003461,-48200
38,0,0,-48400
39,221794475453903896764,-221794475453903896764,-48600
40,1014590457321077392142,-1014590457321077392142,-49000
41,0,0,-49600
42,0,0,-49800
43,0,0,5000
44,0,0,-50200
45,0,0,-50600
46,99297788590375704428,-99297788590375704428,-50800
47,1341030175846628468,-1341030175846628468,-51000
48,0,0,-51200
49,0,0,-51400
50,0,0,-51600
51,0,0,-51800
52,1468661744644078644026,-1468661744644078644026,-52000
53,0,0,-52400
54,0,0,-52600
55,101408510874420578345,-101408510874420578345,-52800
56,0,0,53000
57,5530556543578372330078,-5530556543578372330078,-53000
58,0,0,-53200
59,0,0,-53400
60,1045187116696918012643,-1045187116696918012643,-53600
61,0,0,-53800
62,1311868621826738164157,-1311868621826738164157,-54000
63,470396709586810472407,-470396709586810472407,-54200
64,500405857161625394770,-500405857161625394770,-54400
65,107591882405758242949,-107591882405758242949,-54600
66,441627035881585377145,-441627035881585377145,-54800
67,678409778335829600487,-678409778335829600487,-55000
68,0,0,-55200
69,0,0,-55400
70,0,0,-55800
71,0,0,-5600
72,0,0,-56000
73,215070609778213913314,-215070609778213913314,-56200
74,14704423716485047004582,-14704423716485047004582,-56400
75,2884034689199988025736,-2884034689199988025736,-56600
76,37510663125957536339,-37510663125957536339,-56800
77,925337959275645222571,-925337959275645222571,-57000
78,0,0,-57200
79,0,0,-57400
80,0,0,-57600
81,0,0,-57800
82,224606302496407505009,-224606302496407505009,-58000
83,29595326440071558976,-29595326440071558976,-58200
84,413198502950896758899,-413198502950896758899,-58400
85,2002011548965170737999,-2002011548965170737999,-58600
86,4370603688443737207,-4370603688443737207,-58800
87,33876894227370585868,-33876894227370585868,-59000
88,1903715623816468161009,-1903715623816468161009,-59200
89,402892364507335681643,-402892364507335681643,-59400
90,2998214706565477812666,-2998214706565477812666,-59600
91,338246906257698684276,-338246906257698684276,-59800
92,43132488027783190007146,-20465644069269586000224,-60000
93,330844915322963815042,-330844915322963815042,-60200
94,6504448419166020629601,-6504448419166020629601,-60400
95,1062798708816676531712,-1062798708816676531712,-60600
96,2954987086813296373421,-2954987086813296373421,-60800
97,377151600131762710314,-377151600131762710314,-61000
98,0,0,61200
99,5169862631507585701714,-5169862631507585701714,-61200
100,7496831693231876532949,-7496831693231876532949,-61400
101,3979612283469141191706,-3979612283469141191706,-61600
102,0,0,-61800
103,1873582472377992978864,-1873582472377992978864,-62000
104,881869393431057695174,-881869393431057695174,-62200
105,1108297830435618154094,-1108297830435618154094,-62400
106,1334314811949713810663,-1334314811949713810663,-62600
107,0,0,-62800
108,1085176896601966484808,-1085176896601966484808,-63000
109,23543520040202880620966,18716899567796039413338,-63200
110,1702884157320971480891,-1702884157320971480891,-63400
111,1059578097567122272071,-1059578097567122272071,-63600
112,4787293204762399644278,-4787293204762399644278,-63800
113,20062703984058590491790,-20062703984058590491790,-64000
114,2244393607806161483925,-2244393607806161483925,-64200
115,3326047126740464249901,-3326047126740464249901,-64400
116,1868785208159298026011,-1868785208159298026011,-64600
117,7794191093121096082744,-7794191093121096082744,-64800
118,3286572200500604559404,-3286572200500604559404,-65000
119,2123424521896994170218,2123424521896994170218,-65200
120,518106262812255628016,-518106262812255628016,-65400
121,10961728480931848400398,-10961728480931848400398,-65600
122,2948211531099820547230,-2948211531099820547230,-65800
123,5523275126277994304800,-5523275126277994304800,-66000
124,17889942585384867461026,13281292817168078111536,-66200
125,18268137470620203982850,7942917267112322550444,-66400
126,0,0,-66600
127,10366159649349570729442,-10366159649349570729442,-66800
128,7980578434674911331680,-5548651527730701538622,-67000
129,9231669462918451076561,4418686019970206900519,-67200
130,14127800268661839852363,-14127800268661839852363,-67400
131,8502069704102353289393,-8502069704102353289393,-67600
132,1138175501055271865546,-1138175501055271865546,-67800
133,2917578096269823406796,1723247436891750862016,-68000
134,4484342348869714488096,4164981552940164985340,-68200
135,9153773580794089248185,-844878128505632079385,-68400
136,9212798383419323007762,-8835734164929969145904,-68600
137,1077864114409838078502,-921367896557579219498,-68800
138,0,0,69000
139,1094755966403924910750,-1094755966403924910750,-69000
140,8319477214098524693062,-1840746431378589627116,-69200
141,6654157639968257719111,673903452693079293219,-69400
142,2584647550528304140279,-2584647550528304140279,-69600
143,9006006074044463179152,7909629741042860027720,-69800
144,62147476268836821380060,-56110208220191066553288,-70000
145,160306054853718160703414,-152120393428395403322482,-70200
146,1679497726540682366261,-1679497726540682366261,-70400
147,22981494214811110773144,-17150766069122891361618,-70600
148,4755725840201060187372,4755725840201060187372,-70800
149,11613196527291169054251,-9070108256381248991223,-71000
150,1590313506835497341101,1252888403138190908925,-71200
151,4826481881633796343519,4826481881633796343519,-71400
152,16899875600727459545542,-6194046254736659722334,-71600
153,4701840381230402235076,3210782859569532353738,-71800
154,41232930716725559570902,-24474079616012609941756,-72000
155,9654911301412297403102,4158758246759702132636,-72200
156,11528016955161104765720,-2919024234578181609612,-72400
157,22287658365398375964661,-5385616206937418253685,-72600
158,4888703181926228057260,-3161117672042760965714,-72800
159,1127904907872117095171,-1127904907872117095171,-73000
160,5211115196388671195982,1892191918969848037708,-73200
161,555337123517410530726,555337123517410530726,-73400
162,3021818879566878214148,3021818879566878214148,-73600
163,3401799068233612997396,3401799068233612997396,-73800
164,7258858293979005736794,7258858293979005736794,-74000
165,7607007169767266155703,7607007169767266155703,-74200
166,179291231844481794146,165121611771909399900,-74400
167,114784995843381302002736,-93256914182118468385336,-74600
168,57947452300384359926,57947452300384359926,-74800
169,1597156330381638806553,1597156330381638806553,-75000
170,282925692273166553571036,-279653998045084507033170,-75200
171,510169465390630053515,283358917148237633407,-75400
172,2756858744284795961928,381368433565901771884,-75600
173,16330477471658467440055,-14957291628116554862971,-75800
174,4365963508408160775093,-3473625268570107321589,-76000
175,19084435098939705579512,6795366085345042632754,-76200
176,25139356455208409598236,-25101376300053872857912,-76400
177,12998216759541125903381067,-12997700615022833928090365,-76600
178,13003432774263307088292546,13003432774263307088292546,-76800
179,13504540565563687447652,-4097746543120150377268,-77000
180,11705860106359261802508,11705860106359261802508,-77200
181,73925617270517069173620,73925617270517069173620,-77400
182,1771456819308762914357,1771456819308762914357,-77600
183,3909729468067242098219,3909729468067242098219,-77800
184,1910553822588405841685,1910553822588405841685,-78000
185,20317091807262550459287,20317091807262550459287,-78200
186,22404921626176564566492,22404921626176564566492,-78400
187,104288187887032360226309,104288187887032360226309,-78600
188,19705725153101630680767,19705725153101630680767,-78800
189,2150174674210064348588,2150174674210064348588,-79000
190,5186551921585108511606,5186551921585108511606,-79200
191,2747905494277902615100,2747905494277902615100,-79400
192,0,0,-79600
193,34824706732765420657402,34824706732765420657402,-79800
194,18978272277648510948710,18978272277648510948710,-80000
195,1414360689053321777721,1414360689053321777721,-80200
196,11797871668899337313039,11797871668899337313039,-80400
197,1045840368408902681881,1045840368408902681881,-80600
198,1703397824234808359510,1703397824234808359510,-80800
199,33352214905304365883,33352214905304365883,-81000
200,285731114147087316229149,285731114147087316229149,-81200
201,4068573338298576638192,4068573338298576638192,-81400
202,0,0,-81600
203,1402974783167024849712,1402974783167024849712,-81800
204,1114921476079572098588,1114921476079572098588,-82000
205,3323330339583494893574,3323330339583494893574,-82200
206,1005691626778828580934,1005691626778828580934,-82400
207,0,0,-82600
208,355008900422089252485,355008900422089252485,-82800
209,1761167247023213498989,1761167247023213498989,-83000
210,1816717946717939421908,1816717946717939421908,-83200
211,14127800268661839852363,14127800268661839852363,-83400
212,0,0,-83600
213,420306288342033516882,420306288342033516882,-83800
214,572480799889810446998,572480799889810446998,-84000
215,163068795323540488355,163068795323540488355,-84200
216,1981901516999859327793,1981901516999859327793,-84400
217,17119148005748561331186,17119148005748561331186,-84600
218,0,0,-84800
219,168712551848653216088,168712551848653216088,-85000
220,763700396853159371025,763700396853159371025,-85200
221,143330125209086279323954,143330125209086279323954,-85400
222,122195642827930636618,-122195642827930636618,-85600
223,0,0,-86000
224,122195642827930636618,122195642827930636618,-86200
225,51463966812948448177,51463966812948448177,-87000
226,0,0,-87200
227,33876894227370585868,33876894227370585868,-87600
228,0,0,-88600
229,6275421862903074715932,-6275421862903074715932,887200
230,6275421862903074715932,6275421862903074715932,-887200
231,0,0,-88800
232,0,0,-89800
233,0,0,-91000
234,4466432466450581964691,4466432466450581964691,-91400
235,41811049534074501113,41811049534074501113,-92600
236,0,0,-96200
