,liquidityGross,liquidityNet,tickIdx
0,0,0,0
1,0,0,103560
2,0,0,104520
3,0,0,10800
4,0,0,11100
5,0,0,111540
6,0,0,115140
7,0,0,-145620
8,0,0,-146040
9,10041280775,-10041280775,-149820
10,10041280775,10041280775,-150180
11,0,0,-151800
12,0,0,-151860
13,0,0,-154080
14,0,0,-154260
15,0,0,-157620
16,0,0,-171540
17,0,0,-171720
18,0,0,-172560
19,0,0,-172740
20,102097802,102097802,-184200
21,0,0,207240
22,277748550,277748550,20820
23,0,0,22980
24,2518161360,2518161360,23040
25,71596418,-71596418,231300
26,24966780,-24966780,299340
27,0,0,34020
28,0,0,35220
29,0,0,36720
30,0,0,39120
31,0,0,42540
32,0,0,45000
33,0,0,45540
34,0,0,46020
35,3275470854,3275470854,46080
36,117931915,117931915,47220
37,0,0,47640
38,0,0,47940
39,1251473635,1251473635,49200
40,0,0,49260
41,479754086,479754086,49740
42,2619809448,2619809448,50100
43,0,0,50220
44,1753291771,1753291771,50280
45,0,0,50340
46,0,0,50460
47,0,0,50520
48,0,0,50580
49,0,0,50700
50,374482,374482,50760
51,162394679,162394679,50820
52,0,0,50880
53,0,0,51000
54,0,0,51180
55,0,0,51360
56,0,0,51420
57,0,0,51480
58,0,0,51660
59,0,0,51780
60,0,0,51840
61,0,0,51900
62,0,0,51960
63,0,0,52020
64,0,0,52140
65,0,0,52380
66,357426935,357426935,52500
67,0,0,52680
68,0,0,52740
69,0,0,52860
70,0,0,52920
71,7030398315,7030398315,52980
72,0,0,53040
73,0,0,53100
74,1493154421,1493154421,53160
75,0,0,53220
76,0,0,53340
77,9290472184,9290472184,53400
78,0,0,53460
79,14664337756,14664337756,53520
80,0,0,53700
81,1375116801759,1375116801759,53760
82,0,0,53820
83,0,0,53880
84,0,0,53940
85,0,0,54000
86,0,0,54060
87,0,0,54120
88,59359864,59359864,54180
89,0,0,54240
90,0,0,54300
91,0,0,54360
92,0,0,54420
93,26722882,26722882,54480
94,0,0,54540
95,0,0,54600
96,366399192868,366399192868,54660
97,0,0,54720
98,0,0,54780
99,143729349,143729349,54840
100,0,0,54900
101,0,0,54960
102,0,0,55020
103,0,0,55080
104,0,0,55140
105,22964028432,22964028432,55200
106,0,0,55260
107,0,0,55320
108,0,0,55380
109,0,0,55440
110,0,0,55500
111,0,0,55560
112,102159466211,102159466211,55620
113,0,0,55680
114,0,0,55740
115,0,0,55800
116,0,0,55860
117,0,0,55920
118,0,0,55980
119,54545882,54545882,56040
120,0,0,56100
121,0,0,56160
122,0,0,56220
123,0,0,56280
124,6901199706,6901199706,56340
125,0,0,56400
126,0,0,56460
127,0,0,56520
128,0,0,56580
129,0,0,56640
130,1110211519,1110211519,56700
131,0,0,56760
132,0,0,56820
133,1404728160,1404728160,56880
134,0,0,56940
135,33448534,33448534,57000
136,24268681511,24268681511,57060
137,0,0,57120
138,14535724,14535724,57180
139,0,0,57240
140,0,0,57300
141,0,0,57360
142,0,0,57420
143,0,0,57480
144,0,0,57540
145,203878768,203878768,57600
146,0,0,57660
147,191694856,191694856,57720
148,0,0,57780
149,7976630743,7976630743,57840
150,13346202452,13346202452,57900
151,0,0,57960
152,15937813095,15937813095,58020
153,5389410623,5389410623,58080
154,392328887,392328887,58140
155,91067097,91067097,58200
156,0,0,58260
157,59013003,57385875,58320
158,0,0,58380
159,2885031001,2885031001,58440
160,117660483,117660483,58500
161,0,0,58560
162,68494755665,68494755665,58620
163,0,0,58680
164,203878768,-203878768,58740
165,0,0,58800
166,0,0,58860
167,0,0,58920
168,13399483906,-2553777580,58980
169,0,0,59040
170,0,0,59100
171,0,0,59160
172,0,0,59220
173,22605332,-22605332,59280
174,0,0,59340
175,4146998607,4146998607,59400
176,0,0,59460
177,0,0,59520
178,17439830524,17439830524,59580
179,5824267748,5824267748,59640
180,6881801005,-987129023,59700
181,0,0,59760
182,1168410958,-1168410958,59820
183,13014049952,13014049952,59880
184,1557107150715,1557107150715,59940
185,21601733,21601733,60000
186,195986347,-195986347,60060
187,21601733,-21601733,60120
188,0,0,60180
189,143729349,-143729349,60240
190,117660483,-117660483,60300
191,0,0,60360
192,5594407576,-5594407576,60420
193,91067097,-91067097,60480
194,1950721867,1950721815,60540
195,9497964462,9497964462,60600
196,5022424324,-872247658,60660
197,802066728,802066728,60720
198,3815141848,3815141848,60780
199,0,0,60840
200,26029951059,26029951059,60900
201,930283378459,930283378459,60960
202,33245686,-33245686,61020
203,3334413172,3327304474,61080
204,16103538478,15318880704,61140
205,21367920558,21367920558,61200
206,0,0,61260
207,13715037,-13715037,61320
208,0,0,61380
209,1508627848,-1508627848,61440
210,58549904629,58549904629,61500
211,0,0,61560
212,0,0,61620
213,12503773109,12503773109,61680
214,917819036915,917819036915,61740
215,917516410405,917516410405,61800
216,0,0,61860
217,0,0,61920
218,162495733343,162495733343,61980
219,14673214788,14673214788,62040
220,26029951059,-26029951059,62100
221,251872200334,251872200334,62160
222,0,0,62220
223,0,0,62280
224,0,0,62340
225,29810911585,29810911585,62400
226,0,0,62460
227,252515258919,252515258919,62520
228,138670615033,135861158713,62580
229,802066728,-802066728,62640
230,0,0,62700
231,2005370410077,2005370410077,62760
232,87546812562,87546812562,62820
233,0,0,62880
234,13191118639,13191118639,62940
235,0,0,63000
236,0,0,63060
237,13968040057,13968040057,63120
238,0,0,63180
239,0,0,63240
240,95085298156,95085298156,63300
241,0,0,63360
242,227954371750,227954371750,63420
243,7544126140,4751387448,63480
244,43079347818,40252995668,63540
245,1139833281808,1139833281808,63600
246,5303376858,5303376858,63660
247,0,0,63720
248,0,0,63780
249,14102843389,-14102843389,63840
250,0,0,63900
251,21501046415,8413805737,63960
252,14429185247,-14429185247,64020
253,10843202,-10843202,64080
254,0,0,64140
255,0,0,64200
256,0,0,64260
257,5303376858,-5303376858,64320
258,252677653598,-252677653598,64380
259,460683278803,460640678411,64440
260,0,0,64500
261,304030764432,304030764432,64560
262,13711400464,13710651500,64620
263,28397735510,-28397735510,64680
264,0,0,64740
265,1391869787711,-1391869787711,64800
266,4780274100,630097434,64860
267,0,0,64920
268,0,0,64980
269,0,0,65040
270,534983281,-534983281,65100
271,0,0,65160
272,182632110718,-182632110718,65220
273,0,0,65280
274,294070142517,294070142517,65340
275,0,0,65400
276,146114008068,-74207846748,65460
277,2394608571327,-2394608571327,65520
278,183249350929,-183249350929,65580
279,0,0,65640
280,294070142517,-294070142517,65700
281,0,0,65760
282,0,0,65820
283,0,0,65880
284,1371182336745,-1371182336745,65940
285,1850581356,-1850581356,66000
286,0,0,66060
287,0,0,66120
288,100301376173,-100301376173,66180
289,0,0,66240
290,0,0,66300
291,14673214788,-14673214788,66420
292,5388597059,-5388597059,66480
293,3330858823,-3330858823,66540
294,0,0,66600
295,0,0,66660
296,0,0,66720
297,0,0,66780
298,42743001366,-42743001366,66840
299,23602518454,-23583081170,66900
300,22579090632,-22579090632,66960
301,1950721841,-1950721841,67020
302,0,0,67080
303,0,0,67140
304,841712032943,-841712032943,67200
305,0,0,67260
306,35953080660,-35953080660,67320
307,14664337756,-14664337756,67380
308,0,0,67440
309,0,0,67560
310,3815141848,-3815141848,67680
311,0,0,67740
312,0,0,67800
313,0,0,67860
314,58549904629,-58549904629,67920
315,0,0,67980
316,0,0,68040
317,59359864,-59359864,68100
318,0,0,68160
319,0,0,68220
320,0,0,68280
321,26722882,-26722882,68340
322,0,0,68460
323,366872758855,-366872758855,68520
324,460661978607,-460661978607,68580
325,0,0,68640
326,13711025982,-13711025982,68700
327,0,0,68880
328,947723208983,-947723208983,68940
329,0,0,69000
330,8799310803,-8799310803,69060
331,19741418127,-19741418127,69120
332,789442586,-789442586,69180
333,304030764432,-304030764432,69420
334,1753291771,-1753291771,69480
335,6147756794,-6147756794,69660
336,0,0,69960
337,0,0,70140
338,10966239385,-10966239385,70680
339,0,0,70800
340,0,0,70860
341,903765256389,-903765256389,70920
342,0,0,71040
343,14535724,-14535724,71100
344,1828982902,-1828982902,71340
345,125256590,-125256590,71580
346,917042844418,-917042844418,71640
347,726576803516,-726576803516,71700
348,0,0,71940
349,7548385425,-7548385425,73140
350,9290472184,-9290472184,73200
351,479754086,-479754086,73500
352,9718642,-9718642,73800
353,0,0,74160
354,0,0,74400
355,24974132,24974132,74940
356,0,0,75360
357,1014347606,1014347606,75600
358,1014347606,-1014347606,75660
359,0,0,75720
360,0,0,75900
361,125024071,-125024071,76020
362,0,0,76980
363,0,0,78060
364,605403548,-605403548,78240
365,24974132,-24974132,78660
366,64515776,64515776,79020
367,0,0,79200
368,0,0,79680
369,2758169875,-2758169875,80040
370,64515776,-64515776,80700
371,0,0,81420
372,5770461417,-5770461417,85200
373,3102748787,-3102748787,85680
374,0,0,86100
375,0,0,86280
376,0,0,87780
377,0,0,887220
378,0,0,-887220
379,19569840,-19569840,92100
380,0,0,-92100
381,277748550,-277748550,92160
