,liquidityGross,liquidityNet,tickIdx
0,0,0,104880
1,0,0,105600
2,0,0,105960
3,0,0,108180
4,0,0,109020
5,4317515032780701,4317515032780701,109260
6,0,0,110040
7,0,0,110400
8,0,0,110460
9,0,0,111060
10,0,0,111420
11,0,0,111840
12,0,0,112140
13,0,0,112200
14,0,0,112260
15,0,0,112500
16,0,0,112620
17,0,0,112860
18,0,0,112920
19,0,0,112980
20,0,0,113040
21,560261043775110505,560261043775110505,113160
22,0,0,113340
23,0,0,113580
24,1218098511408734,1218098511408734,113820
25,0,0,113940
26,1218098511408734,-1218098511408734,114000
27,0,0,114120
28,560261043775110505,-560261043775110505,114180
29,0,0,114300
30,0,0,114420
31,0,0,114600
32,0,0,114780
33,0,0,115080
34,0,0,115200
35,0,0,115320
36,0,0,115500
37,0,0,116100
38,0,0,116160
39,0,0,116820
40,0,0,117060
41,0,0,117180
42,0,0,117360
43,0,0,117600
44,0,0,118500
45,0,0,118560
46,0,0,118680
47,0,0,118980
48,0,0,119160
49,0,0,119220
50,0,0,119400
51,0,0,119580
52,0,0,119820
53,0,0,119880
54,0,0,120120
55,0,0,120240
56,0,0,120300
57,0,0,120420
58,0,0,120480
59,0,0,120720
60,31564967445700924,31564967445700924,120960
61,0,0,121020
62,0,0,121140
63,0,0,121200
64,0,0,121560
65,0,0,121740
66,0,0,121860
67,0,0,121920
68,0,0,121980
69,0,0,122040
70,0,0,122100
71,0,0,122160
72,0,0,122220
73,0,0,122340
74,0,0,122400
75,0,0,122460
76,0,0,122520
77,0,0,122580
78,0,0,122700
79,0,0,122760
80,0,0,122880
81,0,0,123060
82,0,0,123240
83,0,0,123360
84,0,0,123420
85,0,0,123480
86,0,0,123540
87,0,0,123600
88,207268786606083,207268786606083,123660
89,0,0,123720
90,0,0,123780
91,0,0,123840
92,0,0,123900
93,0,0,124020
94,0,0,124080
95,0,0,124140
96,0,0,124260
97,2755796104129252,2755796104129252,124320
98,0,0,124440
99,0,0,124500
100,0,0,124680
101,0,0,124740
102,0,0,125040
103,0,0,125100
104,0,0,125160
105,246658984218809,246658984218809,125220
106,0,0,125520
107,0,0,125640
108,0,0,125700
109,25931206224613,25931206224613,125760
110,0,0,125880
111,0,0,125940
112,0,0,126060
113,0,0,126120
114,0,0,126180
115,0,0,126240
116,0,0,126360
117,0,0,126420
118,0,0,126480
119,0,0,126540
120,0,0,126600
121,0,0,126660
122,0,0,126780
123,0,0,126840
124,0,0,126960
125,0,0,127020
126,0,0,127080
127,0,0,127140
128,4022400266921086,4022400266921086,127200
129,1153851019903620,1153851019903620,127260
130,31564967445700924,-31564967445700924,127320
131,70302806066715480,70302806066715480,127380
132,286384211525911,-286384211525911,127440
133,0,0,127500
134,0,0,127560
135,0,0,127620
136,0,0,127680
137,0,0,127740
138,0,0,127800
139,0,0,127860
140,0,0,127920
141,0,0,127980
142,0,0,128040
143,0,0,128100
144,0,0,128160
145,0,0,128220
146,0,0,128280
147,0,0,128340
148,0,0,128400
149,0,0,128460
150,0,0,128520
151,0,0,128580
152,0,0,128640
153,0,0,128700
154,0,0,128760
155,0,0,128820
156,0,0,128880
157,0,0,128940
158,70832901167406942,70832901167406942,129000
159,0,0,129060
160,0,0,129120
161,0,0,129180
162,100240684609493321,100240684609493321,129240
