,liquidityGross,liquidityNet,tickIdx
0,17150020097352482860,-10545370770128812872,0
1,2500626133118865851,-2500626133118865851,101520
2,2156436596766938309,-2156436596766938309,-1080
3,3578763107901199041,3578763107901199041,-115140
4,0,0,-115740
5,0,0,-116760
6,0,0,118080
7,0,0,118200
8,0,0,-11940
9,55724497982821713709,55724497982821713709,-120
10,0,0,-12000
11,0,0,-12060
12,0,0,-131220
13,0,0,1320
14,28166606933791921282,-28166606933791921282,-13680
15,84513291775875523751,-84513291775875523751,138180
16,1089486422714308413,1089486422714308413,-138180
17,0,0,-13860
18,0,0,-15120
19,0,0,16080
20,8907208566474997684,-8907208566474997684,-16080
21,0,0,161160
22,1013465954725954131066,1013465954725954131066,-161160
23,0,0,-184200
24,0,0,-18540
25,0,0,-19260
26,42406379348915729,-42406379348915729,-19440
27,22293030952925110973,-22293030952925110973,-19620
28,0,0,-19860
29,0,0,-20820
30,0,0,-20940
31,0,0,21180
32,0,0,-22500
33,49712735231927489302,-49712735231927489302,-22980
34,0,0,23040
35,167181836576650733876,-167181836576650733876,-23040
36,0,0,-23220
37,20438673649518900456,-20438673649518900456,-23580
38,19795545071247106098,-19795545071247106098,-23820
39,55724497982821713709,-55724497982821713709,240
40,0,0,-240
41,148825449478654153,-148825449478654153,-2400
42,0,0,-24000
43,0,0,-24120
44,35157309151524501853,-35157309151524501853,-24420
45,0,0,-2460
46,0,0,-24900
47,1325288229962234748,-1325288229962234748,-25200
48,11367892489431771644,-11367892489431771644,-25260
49,0,0,-253320
50,44322872326307907330,-44322872326307907330,-25920
51,0,0,-26580
52,11165833322840126303,-11165833322840126303,-26640
53,0,0,-27060
54,54868043767120094041,-54868043767120094041,-27180
55,0,0,-27240
56,8274489194774278,8274489194774278,27840
57,8274489194774278,-8274489194774278,27900
58,0,0,-28080
59,52294674916469063838,-52294674916469063838,-28140
60,0,0,-28320
61,0,0,-28740
62,62315919722973880279,-62315919722973880279,-28800
63,0,0,-28920
64,34632777578483717975,-34632777578483717975,-28980
65,0,0,-29400
66,1791525940062069875179,-1762870554828891644047,-29940
67,0,0,30000
68,0,0,-30060
