,liquidityGross,liquidityNet,tickIdx
0,123285627186699133365,123285627186699133365,0
1,0,0,1000
2,0,0,12000
3,2903630754003628648,-2903630754003628648,138200
4,49106034400432367079,49106034400432367079,-138200
5,10237955515936256990,10237955515936256990,15200
6,15939327933850589201,15939327933850589201,15800
7,0,0,16000
8,0,0,161200
9,746672581521664701253,746672581521664701253,16200
10,0,0,20600
11,0,0,22800
12,115771486660079751307,115771486660079751307,23000
13,0,0,24000
14,0,0,24200
15,0,0,25000
16,0,0,25800
17,0,0,26600
18,0,0,27000
19,0,0,27800
20,0,0,28400
21,0,0,28800
22,17048694714530332548,17048694714530332548,29400
23,128357376573256524917,128357376573256524917,29600
24,56549689100778936304,56549689100778936304,30000
25,0,0,30200
26,12594073975056966693,12594073975056966693,30600
27,0,0,30800
28,0,0,31200
29,11368704977509328746,11368704977509328746,31400
30,0,0,31600
31,552890057418166564831,552890057418166564831,32000
32,43912461487709804202,43912461487709804202,32200
33,18231170499025404712,18231170499025404712,32600
34,0,0,32800
35,2903630754003628648,2903630754003628648,33000
36,0,0,33200
37,0,0,33400
38,7993855817223570295,7993855817223570295,33600
39,116020068698086722701,116020068698086722701,34000
40,166267943535669887291,166267943535669887291,34200
41,103711726779494777939,103711726779494777939,34400
42,90972744510928100746,90972744510928100746,34600
43,19804821661088205542,19804821661088205542,34800
44,1515342693209908335475,1515342693209908335475,35000
45,122953913169177188980,122953913169177188980,35200
46,16185181198378509765,16185181198378509765,35400
47,61781594118316226148,61781594118316226148,35600
48,4236761482564413239848,4236761482564413239848,35800
49,27763384846610694282,27763384846610694282,36000
50,297340052204040473852,297340052204040473852,36200
51,77878385274122175774,77878385274122175774,36400
52,0,0,36600
53,85567932728241543511,85567932728241543511,36800
54,384641539205982863580,384641539205982863580,37000
55,389245099857263744527,389245099857263744527,37200
56,123566544420179704398,123566544420179704398,37400
57,161159728574462779494,161159728574462779494,37600
58,0,0,37800
59,108665502056458709208,108665502056458709208,38000
60,682773036713408733072,682773036713408733072,38200
61,49635485295103872250,49635485295103872250,38400
62,377119169336046200412,377119169336046200412,38600
63,141388953694234540974,141388953694234540974,38800
64,81542300171239283660,81542300171239283660,39000
65,754770961843423940308,754770961843423940308,39200
66,0,0,39400
67,0,0,39600
68,48338867237761700483,48338867237761700483,39800
69,76781423369670097798,76781423369670097798,40000
70,140751780458104748950,140751780458104748950,40200
71,314194784359927256980,-227352252744461038892,40400
72,387510476645057520272,387510476645057520272,40600
73,95948001096099330785,95948001096099330785,40800
74,357807466987452379565,357807466987452379565,41000
75,102827980166513898174843,102827980166513898174843,41200
76,102786158760829591803607,-102219816550656266162017,41400
77,59208483382814826647,59208483382814826647,41600
78,428615520835401353522,428615520835401353522,41800
79,0,0,42000
80,0,0,42200
81,163164002773663923843,163164002773663923843,42400
82,672791825719325716994,672791825719325716994,42600
83,147437583447485889891,147437583447485889891,42800
84,1748882770941874778764,1748882770941874778764,43000
85,1412602679334996615229,1366253277428904614539,43200
86,581267983888555580659,581267983888555580659,43400
87,99763385468778752344,99763385468778752344,43600
88,23247414686986757530,23247414686986757530,43800
89,838580018411814709635,-838580018411814709635,44000
90,91530338666391346468,91530338666391346468,44200
91,91187762198343024399,91187762198343024399,44400
92,1300934282086213398705,-1239664508652228676127,44600
93,69707954009757808741,69707954009757808741,44800
94,232635580601664911415,-148574738038579887275,45000
95,10237955515936256990,-10237955515936256990,45200
96,647249546466728418797,-647249546466728418797,45400
97,25344597168763619015,3814333280391590043,45600
98,0,0,45800
99,105441532882458566215,-105441532882458566215,46000
100,702365665384329181534,484761864284322853658,46200
101,1209677060459821115336,-1209677060459821115336,46400
102,71190353615648798143,-71190353615648798143,46600
103,98350691641440046587,-98350691641440046587,46800
104,0,0,47000
105,885144383250890459579,-710872752723327282141,47200
106,0,0,-47200
107,472972158308207699650,-472972158308207699650,47400
108,2121064068151233228349,-2121064068151233228349,47600
109,214465581355860722107,-214465581355860722107,47800
110,57996126226546330743,-57996126226546330743,48000
111,164495073779540909194,-164495073779540909194,48200
112,81349628354807186585,-81349628354807186585,48400
113,152011473563045422113,-152011473563045422113,48600
114,467658570507562450760,-467658570507562450760,48800
115,247606410006615772394,-247606410006615772394,49000
116,33188509458708454199,-33188509458708454199,49200
117,174581242514951534848,-174581242514951534848,49400
118,4204562988839717884324,-4204562988839717884324,49600
119,16418543718792007410,-16418543718792007410,49800
120,35757240663834264577,-35757240663834264577,50000
121,251138526756643994082,-251138526756643994082,50200
122,84479270173856039478,-84479270173856039478,50400
123,361129898241400489373,99554154364232445283,50600
124,480784024488786631820,-480784024488786631820,50800
125,123134369979363701515,-123134369979363701515,51000
126,170603179206112574169,-170603179206112574169,51200
127,118279325198282795034,-118279325198282795034,51400
128,187550938611164699617,-187550938611164699617,51600
129,0,0,51800
130,180621218502010435359,-180621218502010435359,52000
131,59645224491772041913,-59645224491772041913,52200
132,71259743555176459207,-71259743555176459207,52400
133,16772809670709753593,-16772809670709753593,52600
134,0,0,52800
135,1573645229106274352651,-1573645229106274352651,53000
136,91187762198343024399,-91187762198343024399,53200
137,87135815263781588719,-87135815263781588719,53400
138,13479683414877138121,-13479683414877138121,53600
