,liquidityGross,liquidityNet,tickIdx
0,4228139620362192603338973501,4163977995082225112571901237,0
1,4196058807722208857955437369,-4196058807722208857955437369,10
2,82883828120580772709048961,82883828120580772709048961,-10
3,0,0,100
4,0,0,-100
5,0,0,140
6,82883828120580772709048961,-82883828120580772709048961,20
7,547755017644060752216120,547755017644060752216120,-20
8,0,0,210
9,0,0,280
10,6188330292038405242203264295,-6188330292038405242203264295,30
11,6219863349660744926834584307,6219863349660744926834584307,-30
12,0,0,-300
13,410744604266810982278492,410744604266810982278492,-40
14,0,0,50
15,0,0,-50
16,0,0,-520
17,410744604266810982278492,-410744604266810982278492,60
18,0,0,-70
19,0,0,90
20,0,0,-90
