,liquidityGross,liquidityNet,tickIdx
0,0,0,-92600
1,2297766829116,-2297766829116,-92900
2,436175811,-436175811,-93060
3,0,0,-93140
4,2099831344390,-2099831344390,-93160
5,0,0,-93220
6,3348943453,-3348943453,-93270
7,0,0,-93300
8,0,0,-93310
9,0,0,-93390
10,0,0,-93410
11,2297766829116,2297766829116,-93420
12,2099364181540,2099364181540,-93510
13,0,0,-93550
14,0,0,-93570
15,0,0,-93600
16,0,0,-93620
17,0,0,-93630
18,0,0,-93640
19,0,0,-93650
20,0,0,-93670
21,0,0,-93680
22,0,0,-93700
23,0,0,-93770
24,0,0,-93780
25,0,0,-93790
26,0,0,-93830
27,0,0,-93840
28,0,0,-93850
29,0,0,-93870
30,0,0,-93890
31,0,0,-93910
32,0,0,-93930
33,0,0,-93940
34,0,0,-93950
35,0,0,-94010
36,0,0,-94020
37,0,0,-94050
38,0,0,-94080
39,0,0,-94090
40,0,0,-94100
41,0,0,-94110
42,0,0,-94120
43,0,0,-94140
44,0,0,-94170
45,0,0,-94180
46,0,0,-94190
47,0,0,-94200
48,0,0,-94210
49,0,0,-94220
50,0,0,-94240
51,0,0,-94250
52,0,0,-94270
53,0,0,-94280
54,0,0,-94290
55,0,0,-94300
56,0,0,-94320
57,0,0,-94340
58,0,0,-94390
59,0,0,-94410
60,0,0,-94420
61,0,0,-94460
62,0,0,-94580
63,0,0,-94640
64,0,0,-94660
65,3348943453,3348943453,-94720
66,436175811,436175811,-94730
67,0,0,-94740
68,0,0,-94750
69,0,0,-94980
70,0,0,-95100
71,0,0,-95110
72,467162850,467162850,-95530
