,liquidityGross,liquidityNet,tickIdx
0,147902373438690961768,147643395848282127402,0
1,534321210112358129964,534321210112358129964,-100020
2,190943977159100648672,190943977159100648672,-101040
3,0,0,101280
4,306960460516384122,306960460516384122,-101280
5,1708914670926021996,1708914670926021996,-101520
6,46155040903607313748,46155040903607313748,-101640
7,0,0,-101940
8,99471413455631767,99471413455631767,-103080
9,0,0,-103140
10,464095308888702293477,464095308888702293477,-103500
11,6843706621301893551,6843706621301893551,-103740
12,108354801456253371778,108354801456253371778,-104220
13,0,0,-104640
14,236812660812916705083,-236812660812916705083,-105180
15,0,0,-106200
16,236812660812916705083,236812660812916705083,-107040
17,0,0,-107160
18,1901633440778194597,-1901633440778194597,1080
19,4792663242557871948,4792663242557871948,-1080
20,0,0,108180
21,599457361037417063998,599457361037417063998,-108180
22,39045238483959014925,39045238483959014925,-109260
23,16425467346961403172,16425467346961403172,-109440
24,0,0,-112800
25,126238485931844735042,126238485931844735042,-114060
26,299404331722566394417,299404331722566394417,-115140
27,63001887859764512030,63001887859764512030,-119160
28,796595158638291817094,-796595158638291817094,120
29,796595158638291817094,796595158638291817094,-120
30,0,0,12060
31,0,0,-12060
32,0,0,-124320
33,30726558971675521774,30726558971675521774,-125280
34,0,0,-127680
35,16355600309024158810,-16355600309024158810,138180
36,118862769041313229604,118862769041313229604,-138180
37,0,0,-145080
38,26112548291113827175,26112548291113827175,-147720
39,0,0,-154260
40,0,0,16080
41,0,0,-161160
42,0,0,-163080
43,908589097530438999,908589097530438999,-184500
44,0,0,197580
45,0,0,197940
46,0,0,198180
47,0,0,198960
48,0,0,-2280
49,16924274406083482493545,16924274406083482493545,-230280
50,0,0,23040
51,1774026957201892599288,-1774026957201892599288,-23040
52,0,0,-27060
53,26112548291113827175,-26112548291113827175,-32220
54,3985189032102823633,-3985189032102823633,34020
55,2229296310504032095,-2229296310504032095,-35040
56,0,0,-3540
57,0,0,-35580
58,5188590125114504531,5188590125114504531,-39120
59,0,0,-39180
60,4939264406795849455,-4939264406795849455,39720
61,0,0,-45000
62,107227621057653552528,-107227621057653552528,-45120
63,0,0,-45540
64,21386502131602456332,-21386502131602456332,46080
65,577225280854152353809,-577225280854152353809,-46080
66,107227621057653552528,107227621057653552528,-46440
67,304962131352602,-304962131352602,-46620
68,305538944722700,-305538944722700,-46740
69,16425467346961403172,-16425467346961403172,-49140
70,620299074212392,-620299074212392,-50100
71,0,0,-52500
72,111450995366840410936,-111450995366840410936,-52980
73,0,0,-53040
74,21331726558227748213,-21331726558227748213,-54840
75,190943977159100648672,-190943977159100648672,-55200
76,2649719709978452597,-2649719709978452597,-55380
77,0,0,-55860
78,0,0,-55920
79,30726558971675521774,-30726558971675521774,-56220
80,365496406240510,-365496406240510,-56820
81,0,0,-57060
82,2298808993864940241,-2298808993864940241,-58560
83,0,0,-58740
84,333745421653456240,-333745421653456240,-59520
85,338573922257905172,-338573922257905172,-59640
86,6104178225426101740356,-6104178225426101740356,-59940
87,1737414866682843772613,-1737414866682843772613,-61020
88,547440149649886571,-547440149649886571,-61440
89,0,0,-61500
90,46155040903607313748,-46155040903607313748,-62100
91,4617163903568684944579,4617163903568684944579,62160
92,380770814731331528005,-380770814731331528005,-62160
93,36483713481385182401,-36483713481385182401,-62520
94,2888,-24,-62580
95,1456,1456,-62640
96,167235340157868852,-167235340157868852,-63180
97,0,0,-63480
98,0,0,-63540
99,0,0,-63600
100,0,0,-63660
101,1376,-1376,-63720
102,1376,1376,-63780
103,587376308054183556163,-587376308054183556163,-63960
104,46,46,-64020
105,16736027500074185434996,-16736027500074185434996,-64260
106,123247482479675733,-123247482479675733,-64320
107,522876108354636559,-276381143395285093,-64380
108,0,0,-64500
109,9461190203744303882,-9461190203744303882,-64560
110,0,0,-64740
111,416301182217855583025,-416301182217855583025,-64800
112,0,0,-65040
113,944900662344774727859,-944900662344774727859,-65520
114,0,0,-65640
115,116798599054993224,-116798599054993224,-65700
116,745376605764253170,-745376605764253170,-65760
117,0,0,-66000
118,341137493454827653069,-341137493454827653069,-66180
119,195500068033108431,-195500068033108431,-66840
120,63513713864747346318,-63513713864747346318,-67140
121,0,0,-67260
122,0,0,-67320
123,0,0,-67440
124,0,0,-67620
125,0,0,-67680
126,0,0,-67740
127,22465003393338104099,-22465003393338104099,-67800
128,404996526134426876,-404996526134426876,-67860
129,245372547594240337782,-245372547594240337782,-67980
130,0,0,-68100
131,48374667723831542203,-48374667723831542203,-68160
132,194652300170627249378,-194652300170627249378,-68220
133,1316125732875520070,-1316125732875520070,-68340
134,2427563945056121730,-2427563945056121730,-68400
135,7185696779511968180,-7185696779511968180,-68460
136,2337144539020014745,-1049998482352021599,-68520
137,11918604810116792330,-11918604810116792330,-68580
138,8861726970065958564,-8861726970065958564,-68640
139,191092753267664924075,-191092753267664924075,-68700
