,liquidityGross,liquidityNet,tickIdx
0,1601123432338,-1601123432338,-272710
1,606555308653788,-606555308653788,-272720
2,4891116372211175,-4891116372211175,-275490
3,0,0,-276020
4,0,0,-276120
5,0,0,-276130
6,0,0,-276170
7,0,0,-276210
8,171018670030029,-171018670030029,-276220
9,93449569753681932,-93449569753681932,-276230
10,3249455116880073,-3249455116880073,-276240
11,0,0,-276250
12,0,0,-276260
13,32145645594083559023584,-32145645594083559023584,-276270
14,24632596244945475,-24632596244945475,-276280
15,848425646572697858,-848425646572697858,-276290
16,921036988294330773,-921036988294330773,-276300
17,313089452745237164,-313086250498372488,-276310
18,941038961653430130,901035014935231416,-276320
19,1106325176251832105,1106325176251832105,-276330
20,75190295301769936,75190295301769936,-276340
21,0,0,-276350
22,0,0,-276360
23,0,0,-276370
24,32145670226679803969059,32145670226679803969059,-276380
25,0,0,-276390
26,0,0,-276400
27,6306922837378912,6306922837378912,-276410
28,90563120703213122,90563120703213122,-276420
29,0,0,-276430
30,0,0,-276440
31,0,0,-276460
32,0,0,-276470
33,0,0,-276480
34,0,0,-276520
35,0,0,-276530
36,0,0,-276620
37,4891116372211175,4891116372211175,-277000
38,606555308653788,606555308653788,-279920
