,liquidityGross,liquidityNet,tickIdx
0,0,0,10120
1,5466192290481510744560,5466192290481510744560,10300
2,0,0,10360
3,0,0,10470
4,0,0,10480
5,0,0,10490
6,0,0,10540
7,0,0,10640
8,163225030409166877589327,163225030409166877589327,10650
9,0,0,10660
10,0,0,10680
11,0,0,10690
12,0,0,10700
13,0,0,10710
14,0,0,10720
15,0,0,10740
16,31786743119451238261418,31786743119451238261418,10750
17,0,0,10760
18,0,0,10770
19,93584823421532028486193,93584823421532028486193,10780
20,0,0,10790
21,0,0,10800
22,45795156362299914936284,45795156362299914936284,10810
23,6621979923501239520282159,6621979923501239520282159,10820
24,0,0,10830
25,0,0,10840
26,0,0,10850
27,25890981246146366269429,25890981246146366269429,10860
28,3882685824895832443747,3882685824895832443747,10870
29,11973167991694810030879453,11973167991694810030879453,10880
30,454812002955046635077171,454812002955046635077171,10890
31,0,0,10900
32,52163726466216081086736,5738008003732744673034,10910
33,2498558746269465384234712,2482681378705522492381022,10920
34,0,0,10930
35,0,0,10940
36,56263732196225775717649343,56205830461755826891889573,10950
37,23085465363644400948426,23085465363644400948426,10960
38,0,0,10970
39,390738265204799066332981,390738265204799066332981,10980
40,1700701778329893528,-1700701778329893528,10990
41,0,0,11000
42,14528289609509484263847318,13700642148372597329284504,11010
43,154448829616208336836852220,154188140435334734593699206,11020
44,129580217054182762227062760,-107521559221840624164958156,11030
45,0,0,11040
46,774501087866009126546030200,774424226430116199860894810,11050
47,7939953075058336524064734486,7939953075058336524064734486,11060
48,1712928844243135257404089138,1179558387921751938924869816,11070
49,6130358906825606360105625663,-4401048122089273821264522117,11080
50,5277084805263845868237276027,-5274637883722533132720421265,11090
51,55776325857695069667968785,-55776325857695069667968785,11100
52,9352178369947532550234301,-9352178369947532550234301,11110
53,112913407062041572615020789,-112913407062041572615020789,11120
54,32939481215411494374145545,-32939481215411494374145545,11130
55,33414748054649659890972233,-33414748054649659890972233,11140
56,39083282513433813059405699,-39083282513433813059405699,11150
57,7115479520782169453854394,-7115479520782169453854394,11160
58,45795156362299914936284,-45795156362299914936284,11170
59,31786743119451238261418,-31786743119451238261418,11180
60,0,0,11190
61,0,0,11200
62,0,0,11220
63,0,0,11230
64,63940442759914703506848788,-63940442759914703506848788,11240
65,0,0,11250
66,2678122014904698062578,-2678122014904698062578,11260
67,0,0,11270
68,2451650711694124291077819,-2451650711694124291077819,11280
69,0,0,11290
70,0,0,11310
71,0,0,11330
72,0,0,11350
73,0,0,11360
74,0,0,11370
75,0,0,11390
76,0,0,11410
77,71849790765735403242868,-71849790765735403242868,11470
78,0,0,11480
79,0,0,11490
80,0,0,11520
81,0,0,11600
82,5466192290481510744560,-5466192290481510744560,11630
83,0,0,11790
84,0,0,11940
85,700627550072881721892224,-700627550072881721892224,12530
86,0,0,13860
87,1700701778329893528,1700701778329893528,-400
88,0,0,887270
89,0,0,-887270
90,700627550072881721892224,700627550072881721892224,9170
91,0,0,9560
92,0,0,9930
