,liquidityGross,liquidityNet,tickIdx
0,10943161472679,10943161472679,0
1,0,0,114060
2,0,0,145080
3,0,0,151800
4,40166358066529,40166358066529,152640
5,40166358066529,-40166358066529,152880
6,155684471699734,155684471699734,153360
7,155684471699734,-155684471699734,153420
8,0,0,153780
9,1155435668577,1155435668577,154020
10,0,0,154260
11,0,0,161160
12,181470429131796,181470429131796,161220
13,0,0,168600
14,358354299830,358354299830,176220
15,1155435668577,-1155435668577,180900
16,358354299830,-358354299830,183180
17,195701474775762,35573288849766,184200
18,0,0,191160
19,0,0,192900
20,0,0,195180
21,0,0,195300
22,0,0,196800
23,0,0,199020
24,0,0,199260
25,0,0,201300
26,0,0,202140
27,0,0,203700
28,0,0,204780
29,0,0,205260
30,54402074932,54402074932,206580
31,54402074932,-54402074932,206640
32,0,0,207240
33,0,0,207720
34,0,0,209160
35,0,0,210600
36,0,0,211080
37,0,0,211320
38,0,0,211980
39,0,0,214200
40,20003326073958,20003326073958,221040
41,0,0,221100
42,37897374158065,37897374158065,223320
43,0,0,223680
44,0,0,226200
45,0,0,226680
46,1670921212240,1670921212240,230160
47,161528630110931,161528630110931,230220
48,164508867215797,161166344601313,230280
49,0,0,230340
50,95934675977347,95934675977347,230400
51,10325006026,10325006026,231180
52,9636087679,9636087679,231240
53,4067292562252,4067292562252,231300
54,10098305733,10098305733,231360
55,105440390087,105440390087,231420
56,389377464792,389377464792,231480
57,62725860270,62725860270,231540
58,11103257778529,11103257778529,231780
59,316484541147,316484541147,231900
60,180173064512125,180173064512125,232080
61,693558089594,693558089594,232440
62,0,0,232500
63,0,0,232560
64,0,0,232920
65,0,0,232980
66,0,0,233100
67,0,0,233220
68,0,0,233640
69,543008626307,543008626307,233820
70,0,0,234000
71,0,0,234060
72,0,0,234120
73,0,0,234240
74,379213263309,-379213263309,234300
75,0,0,235080
76,0,0,235380
77,13143858905286,13143858905286,235620
78,0,0,235680
79,7747919524521,7747919524521,235740
80,62479100483,62479100483,237120
81,69119560015827,68967208104281,237180
82,2400978048987579,2400978048987579,237300
83,367091805052,367091805052,239400
84,130785938295278,130785938295278,239460
85,0,0,239580
86,0,0,239700
87,3095863280482,3095863280482,239760
88,0,0,240300
89,0,0,240720
90,7818819408261,7818819408261,240780
91,33802856067993,33802856067993,241260
92,7814421206784,7814421206784,241380
93,0,0,241920
94,380390288359077,380390288359077,242040
95,0,0,242280
96,3373862096954,3373862096954,242340
97,0,0,242700
98,0,0,242820
99,316994044737702,316994044737702,242880
100,0,0,242940
101,0,0,243000
102,0,0,243300
103,103000565770,103000565770,243360
104,0,0,243660
105,0,0,243720
106,0,0,243840
107,0,0,243900
108,8600627627719,8600627627719,244020
109,344829152944254,344829152944254,244140
110,0,0,244320
111,416650027833297,416650027833297,244560
112,893004067318,893004067318,244860
113,0,0,244980
114,26419261965223,26419261965223,245100
115,0,0,245280
116,0,0,245340
117,266126101590362,266126101590362,245520
118,0,0,245580
119,0,0,245640
120,12488750546004,12488750546004,245760
121,0,0,245880
122,0,0,246120
123,0,0,246180
124,0,0,246240
125,0,0,246300
126,872195215868578,872195215868578,246360
127,69923058683730,69923058683730,246420
128,91338350968463,91338350968463,246540
129,17210324552087,17210324552087,246600
130,13332022038787,13332022038787,246660
131,0,0,246720
132,233944583115,233944583115,246780
133,0,0,246840
134,0,0,247320
135,5079730276374533,5079730276374533,247380
136,646838003704937,646838003704937,247440
137,0,0,247500
138,0,0,247560
139,0,0,247800
140,1649567047148,1649567047148,247860
141,16962378355461,16962378355461,247980
142,6060018180622,6060018180622,248100
143,90789665163819,90789665163819,248160
144,0,0,248220
145,292955057377767,292955057377767,248280
146,0,0,248340
147,22604697018032,22604697018032,248460
148,684322066989,684322066989,248520
149,31674019862463,31674019862463,248580
150,27858094403111,27858094403111,248640
151,13317611892741,13317611892741,248700
152,16225298212939,16225298212939,248760
153,522652210929347,522652210929347,248820
154,0,0,248880
155,0,0,248940
156,46485550892376,46485550892376,249000
157,1889580146251,1889580146251,249060
158,8507658011507,8507658011507,249120
159,80321110773549,80321110773549,249180
160,16150629639614599,16150629639614599,249240
161,49607907586681,49607907586681,249300
162,67226397230898,67226397230898,249360
163,738495135170348,738495135170348,249420
164,154205411508352,154205411508352,249480
165,411855985767442,411855985767442,249540
166,10103368106983,10103368106983,249600
167,121740997144552,121740997144552,249660
168,117724471189603,117724471189603,249720
169,39518605738349,39518605738349,249780
170,13217487754426238,13217487754426238,249840
171,291447928498497,291447928498497,249900
172,978944305658466,978944305658466,249960
173,525164409539965,525164409539965,250020
174,879261923540253,879261923540253,250080
175,316498808355329,316498808355329,250140
176,2301838933864,2301838933864,250200
177,55645295163323,55645295163323,250260
178,263012268088964,263012268088964,250320
179,44207100612151,44207100612151,250380
180,128690845210979,128690845210979,250440
181,1763558087685326,1763558087685326,250500
182,304079962275068,304079962275068,250560
183,570087622030500,570087622030500,250620
184,4029389092677,4029389092677,250680
185,294141872171633,294141872171633,250740
186,6754703993604,6754703993604,250800
187,7830681367345,7830681367345,250860
188,441449505789289,441449505789289,250920
189,54038512220969,54038512220969,250980
190,347758087777515,347758087777515,251040
191,114520157828552,114520157828552,251100
192,30436299473195,30436299473195,251160
193,382123544547986,382123544547986,251220
194,50189456589805,50189456589805,251280
195,267324268521476,267324268521476,251340
196,38598254495029,38598254495029,251400
197,4086409536792763,4086409536792763,251460
198,644310896939437,644310896939437,251520
199,379395389787164,379395389787164,251580
200,145163345690960,145163345690960,251640
201,26244042510027,26244042510027,251700
202,12903299297568,12903299297568,251760
203,173472363498183,173472363498183,251820
204,2734860298372776,2734860298372776,251880
205,19460426775700,19460426775700,251940
206,7210349583050,7210349583050,252000
207,468171815732511,468171815732511,252060
208,45997590491286,45997590491286,252120
209,131981469259185,131981469259185,252180
210,526003403678802,526003403678802,252240
211,1934907901079801,1934907901079801,252300
212,7511456139386516,7511456139386516,252360
213,1790004468128371,1790004468128371,252420
214,15233620811809,15233620811809,252480
215,15529118021818,15529118021818,252540
216,593603575747961,593603575747961,252600
217,118581295594,118581295594,252660
218,40428922597764,40428922597764,252720
219,8713908652563,8713908652563,252780
220,33706444156783509,33706444156783509,252840
221,1292725977085546,1292725977085546,252900
222,2590538321141679,2590538321141679,252960
223,376978311262857,376978311262857,253020
224,994816489338963,994816489338963,253080
225,381030525221735,381030525221735,253140
226,2751640376066856,2751640376066856,253200
227,118528920470822836,118528920470822836,253260
228,7089366330638280,7089366330638280,253320
229,12574496736992968,12574496736992968,253380
230,7534016381396,7534016381396,253440
231,9521185124410185,9521185124410185,253500
232,3934511806771629,3934511806771629,253560
233,1541181551811563,1541181551811563,253620
234,0,0,253680
235,1223966329680779,1223966329680779,253740
236,1092789324287173,1092789324287173,253800
237,3462561835730261,3462561835730261,253860
238,111584757597848,111584757597848,253920
239,27352489259938,27352489259938,253980
240,7684985179902117,7684985179902117,254040
241,60546876320388407,60546876320388407,254100
242,229177581393340,229177581393340,254160
243,3319748627435282,3319748627435282,254220
244,5654183220582052,5654183220582052,254280
245,2050611995189807,2050611995189807,254340
246,8211646307477470,8211646307477470,254400
247,2083387845104023,2083387845104023,254460
248,4432236062047594,4432236062047594,254520
249,4466065391787848,4466065391787848,254580
250,4146107382575034,4146107382575034,254640
251,387486357085096,387486357085096,254700
252,1018271433309439,1018271433309439,254760
253,969677836949759,969677836949759,254820
254,2787580813199176,2787580813199176,254880
255,11293482597346311,11293482597346311,254940
256,42807196614545,42807196614545,255000
257,15827641244373969,15827641244373969,255060
258,65859052454619488,65859052454619488,255120
259,19237211105312899,19215601283667147,255180
260,11718153680502433,11718153680502433,255240
261,1521271762355997,1521263552777869,255300
262,2684823473590055,2684823473590055,255360
263,76779075836277221,76779075836277221,255420
264,7723852345628866,7723852345628866,255480
265,145931867343534327,-38072727690098429,255540
266,1854209724090490,1854209724090490,255600
267,10975642545701308,10975642545701308,255660
268,3432515479442148,3432515479442148,255720
269,19029704798474163,12478009740381757,255780
270,4711075780463323,4711075780463323,255840
271,112988920524350768,106405073166502498,255900
272,13848372404755154,13384230690798598,255960
273,25969440085880983,18879093634004841,256020
274,2039961208565292,2039961208565292,256080
275,25187656187239607,11478796445460077,256140
276,12206994966578208,5439299351968098,256200
277,8522405035140584,7332482667095796,256260
278,2575291720802075,2526173503761951,256320
279,7332154613031939,503200179659015,256380
280,34344838160473102,32063788091060976,256440
281,17846246509694985,-2055397056652951,256500
282,32777685887229835,-30993013646483207,256560
283,7782704070191659,136739128042933,256620
284,20007347614486205,16462610722476065,256680
285,7502179273964580,-459556904205294,256740
286,7639465016910045,6116972758483993,256800
287,19316642382359056,-10061331501945078,256860
288,2647834178165552,-316685366195082,256920
289,8597428355731722,-764197220117172,256980
290,362372816027004,362372816027004,257040
291,8210238328234553,-303582583343147,257100
292,7327104337252638,-7072010547169928,257160
293,21253293418325083,-11008107665615033,257220
294,18248828250960640,-15160700521355876,257280
295,65128189058527873,-35821030529422199,257340
296,13689710631256722,8472605865497912,257400
297,42063175233576074,-34643613231917640,257460
298,3246723221576535,1029887003129627,257520
299,15634620102146322,-7729610528926326,257580
300,1509708461403413,-1466582670450281,257640
301,22881112709927791,-13108235693257917,257700
302,40920519609083603,-16997271761790859,257760
303,10549422183579520,-3237524320690944,257820
304,15671104149398487,12497423911192975,257880
305,9278509480541500,-1648188800569968,257940
306,4901139688595294,-4238151907533796,258000
307,24798302860741792,-15245998723805450,258060
308,12453980263950635,-11893079912343845,258120
309,18393360420420730,-9806233601933636,258180
310,15049112973600391,-14970454970325621,258240
311,8189388460907021,-648174270216667,258300
312,8502840424245801,-8494208038676351,258360
313,20486230174117575,-12960859209388643,258420
314,6747742035485717,-6481968870308221,258480
315,96014592404854391,73513481378038219,258540
316,89452385572821584,-89452385572821584,258600
317,69003999131000573,-61400473186402307,258660
318,69222745910567,-69222745910567,258720
319,30049779432649342,-22266978146695392,258780
320,454087958986560,-454087958986560,258840
321,10799282289035080,-2931487304507372,258900
322,5293999063102355,-5293999063102355,258960
323,7626311393400165,-7626311393400165,259020
324,6958295229798123,-6958295229798123,259080
325,2418425020343986,-2418425020343986,259140
326,118712497204132418,-118712497204132418,259200
327,8983921499345840,-8983921499345840,259260
328,6733086410795199,-6733086410795199,259320
329,705092983201982,-705092983201982,259380
330,678335968867296,-678335968867296,259440
331,1218342773441061,-1218342773441061,259500
332,13756778614133896,-13756778614133896,259560
333,3179630079016298,-3179630079016298,259620
334,24821368923677801,-24821368923677801,259680
335,9280486762766813,-9280486762766813,259740
336,810773387233347,-810773387233347,259800
337,18921028185787820,-18921028185787820,259860
338,658533684181261,-658533684181261,259920
339,491785182805818,-488468918344882,259980
340,2640245984271946,-2640245984271946,260040
341,3322122696344629,-3322122696344629,260100
342,606549602286559,-606549602286559,260160
343,9237939688161765,-9237939688161765,260220
344,213241818691618,-213241818691618,260280
345,223119805111392,-223119805111392,260340
346,65836863454236,-65836863454236,260400
347,1002353475182457,-1002353475182457,260460
348,245235749368246,-245235749368246,260520
349,571386278730916,-571386278730916,260580
350,1549101062551937,-1549101062551937,260640
351,2257792388936450,-2257792388936450,260700
352,657632762724335,-657632762724335,260760
353,236874328539791,-236874328539791,260820
354,364243673488084,-364243673488084,260880
355,323607182193760,-323607182193760,260940
