,liquidityGross,liquidityNet,tickIdx
0,0,0,184200
1,0,0,-28980
2,0,0,-29160
3,45890659091717555788502,-45890659091717555788502,-39720
4,0,0,-43920
5,0,0,-45300
6,0,0,-45360
7,921072124837594336139,-921072124837594336139,-45600
8,0,0,-45960
9,777883808909334620,-777883808909334620,-46080
10,0,0,-46140
11,0,0,-46560
12,0,0,-46620
13,0,0,-46740
14,0,0,-46800
15,155661871425767473987,-155661871425767473987,-47100
16,0,0,-47160
17,13951283211004143480,-13951283211004143480,-47340
18,0,0,-47760
19,22254033279061087,-22254033279061087,-47820
20,0,0,-48120
21,0,0,-48360
22,0,0,-48480
23,0,0,-48540
24,0,0,-48660
25,0,0,-48720
26,0,0,-48900
27,0,0,-48960
28,0,0,-49020
29,0,0,-49140
30,0,0,-49260
31,0,0,-49380
32,0,0,-49440
33,0,0,-49560
34,0,0,-49620
35,0,0,-49740
36,0,0,-49800
37,0,0,-49920
38,6518830655785346192,-6518830655785346192,-49980
39,0,0,-50040
40,21767278000503783431,-21767278000503783431,-50100
41,0,0,-50280
42,0,0,-50340
43,0,0,-50460
44,0,0,-50520
45,0,0,-50580
46,2049763598743889163729,-2049763598743889163729,-50700
47,0,0,-50760
48,0,0,-50820
49,0,0,-50880
50,0,0,-50940
51,0,0,-51000
52,0,0,-51060
53,0,0,-51120
54,70793664397586325028,-70793664397586325028,-51180
55,0,0,-51300
56,0,0,-51360
57,0,0,-51420
58,0,0,-51480
59,0,0,-51660
60,59123782309952890356,-59123782309952890356,-51720
61,0,0,-51780
62,0,0,-51900
63,0,0,-51960
64,0,0,-52020
65,0,0,-52140
66,0,0,-52200
67,0,0,-52260
68,0,0,-52320
69,0,0,-52380
70,0,0,-52440
71,0,0,-52500
72,0,0,-52560
73,0,0,-52620
74,0,0,-52680
75,0,0,-52740
76,0,0,-52800
77,0,0,-52860
78,0,0,-52920
79,13810474126578976242586,-13810474126578976242586,-52980
80,0,0,-53040
81,0,0,-53100
82,0,0,-53160
83,0,0,-53220
84,0,0,-53280
85,0,0,-53340
86,0,0,-53460
87,155661871425767473987,155661871425767473987,-53520
88,0,0,-53580
89,0,0,-53640
90,0,0,-53700
91,0,0,-53820
92,0,0,-53880
93,0,0,-53940
94,12748563894180177224734,12748563894180177224734,-54060
95,0,0,-54120
96,0,0,-54180
97,0,0,-54240
98,0,0,-54300
99,0,0,-54360
100,0,0,-54420
101,0,0,-54480
102,0,0,-54540
103,0,0,-54600
104,0,0,-54720
105,0,0,-54840
106,0,0,-54900
107,0,0,-54960
108,0,0,-55020
109,0,0,-55080
110,0,0,-55200
111,6518830655785346192,6518830655785346192,-55260
112,0,0,-55320
113,0,0,-55380
114,0,0,-55560
115,0,0,-55620
116,0,0,-55680
117,0,0,-55740
118,1267370958212721545628,1267370958212721545628,-55800
119,0,0,-55860
120,0,0,-55920
121,55627497905295019783,-55627497905295019783,-55980
122,549176408427379086292,-549176408427379086292,-56040
123,59123782309952890356,59123782309952890356,-56160
124,0,0,-56220
125,0,0,-56340
126,0,0,-56400
127,0,0,-56460
128,55627497905295019783,55627497905295019783,-56640
129,0,0,-56700
130,0,0,-56760
131,0,0,-56880
132,0,0,-57060
133,0,0,-57240
134,549176408427379086292,549176408427379086292,-57360
135,0,0,-57420
136,0,0,-57540
137,70793664397586325028,70793664397586325028,-57900
138,0,0,-57960
139,0,0,-58020
140,0,0,-58140
141,0,0,-58200
142,0,0,-58440
143,0,0,-58500
144,0,0,-58560
145,0,0,-58620
146,0,0,-58680
147,0,0,-58920
148,5459866590173274594,-5459866590173274594,-58980
149,5459866590173274594,5459866590173274594,-59040
150,21767278000503783431,21767278000503783431,-59160
151,0,0,-59220
152,0,0,-59280
153,0,0,-59400
154,921072124837594336139,921072124837594336139,-59460
155,0,0,-59700
156,0,0,-59820
157,0,0,-59940
158,0,0,-60000
159,0,0,-60360
160,0,0,-60900
161,1061542276323733308700,1061542276323733308700,-61140
162,13951283211004143480,13951283211004143480,-61200
163,22254033279061087,22254033279061087,-61680
164,777883808909334620,777883808909334620,-62160
165,782760596606233327253,782760596606233327253,-66840
166,45890659091717555788502,45890659091717555788502,-78840
167,84413248122592583429,-84413248122592583429,887220
168,84413248122592583429,84413248122592583429,-887220
