,liquidityGross,liquidityNet,tickIdx
0,277189843689952923,-277189843689952923,-10080
1,0,0,-10500
2,7227922246908416938,-7227922246908416938,-10980
3,5389923085879194611,-5389923085879194611,-11040
4,0,0,11160
5,0,0,-11280
6,0,0,-11340
7,792754938116488134,-792754938116488134,-11400
8,0,0,-11520
9,0,0,-11580
10,7132080885788890531,-7132080885788890531,-11700
11,213072499671226974902,-213072499671226974902,-11760
12,3386335264721784110,-3386335264721784110,-11880
13,0,0,-12000
14,0,0,-12060
15,6587331654761951599,-6587331654761951599,-12120
16,0,0,-12300
17,0,0,-12360
18,0,0,-12420
19,0,0,-12480
20,0,0,-12540
21,0,0,-12600
22,1932092742405721774,-1932092742405721774,-12660
23,0,0,-12720
24,0,0,-12780
25,0,0,-12840
26,0,0,-12960
27,0,0,-13020
28,0,0,-13140
29,47261061159913790498,-47261061159913790498,-13200
30,0,0,-13320
31,0,0,-13380
32,0,0,-13440
33,0,0,-13500
34,0,0,-13560
35,0,0,-13620
36,0,0,-13680
37,24140184138479392817,-24140184138479392817,-13800
38,277189843689952923,277189843689952923,-138120
39,3718507603115760337,-3718507603115760337,-13860
40,6639492980584269342,-6639492980584269342,-13920
41,63858128082361867159,-63858128082361867159,-13980
42,0,0,-14040
43,87452783607877145271,-87452783607877145271,-14100
44,0,0,-14160
45,59804908500446918014,-59804908500446918014,-14280
46,0,0,-14340
47,0,0,-14400
48,0,0,-14460
49,0,0,-14520
50,0,0,-14580
51,239253740889719792175,-239253740889719792175,-14700
52,0,0,-14760
53,0,0,-14820
54,209504001255427181881,-209504001255427181881,-14880
55,0,0,-14940
56,92277594356769946717,-92277594356769946717,-15000
57,0,0,-15060
58,369411001197108639655,-369411001197108639655,-15120
59,0,0,-15240
60,2792799566307242359,-2792799566307242359,-15300
61,0,0,-15360
62,87452783607877145271,87452783607877145271,-15420
63,0,0,-15480
64,0,0,-15540
65,0,0,-15600
66,0,0,-15660
67,47261061159913790498,47261061159913790498,-15720
68,0,0,-15780
69,0,0,-15840
70,0,0,-15900
71,0,0,-15960
72,0,0,-16020
73,0,0,-16080
74,0,0,-16140
75,0,0,-16200
76,266184132799322401799,-266184132799322401799,-16260
77,0,0,-16320
78,145144553606441003075,-145144553606441003075,-16380
79,0,0,-16440
80,0,0,-16500
81,0,0,-16560
82,445497407970275566773,33010073809164017577,-16620
83,3070111012418972115,3070111012418972115,-16680
84,0,0,-16740
85,34913281957801456966,-34913281957801456966,-16800
86,54825797465564299569,-50961611980752856021,-16860
87,0,0,-16920
88,0,0,-16980
89,0,0,-17040
90,0,0,-17100
91,169450852699023289849,-169450852699023289849,-17160
92,0,0,-17220
93,0,0,-17280
94,0,0,-17340
95,0,0,-17400
96,0,0,-17460
97,0,0,-17520
98,0,0,-17580
99,0,0,-17640
100,621557936762144046453,131528227403651013919,-17700
101,42188989364641345525,-42188989364641345525,-17760
102,0,0,-17820
103,0,0,-17880
104,280694205821401353739,-280694205821401353739,-17940
105,0,0,-18060
106,0,0,-18120
107,0,0,-18180
108,0,0,-18240
109,0,0,-18300
110,0,0,-18360
111,0,0,-18420
112,0,0,-18480
113,59804908500446918014,59804908500446918014,-18540
114,0,0,-18600
115,0,0,-18660
116,197603786459512270509,197603786459512270509,-18720
117,0,0,-18780
118,148863061209556763412,148863061209556763412,-18840
119,0,0,-18900
120,0,0,-18960
121,221394211983328873007,-221394211983328873007,-19020
122,0,0,-19080
123,0,0,-19260
124,0,0,-19320
125,24140184138479392817,24140184138479392817,-19440
126,0,0,-19500
127,0,0,-19560
128,0,0,-19620
129,0,0,-19680
130,0,0,-19740
131,0,0,-19800
132,0,0,-19920
133,1359992786361564638204,-1359992786361564638204,-19980
134,0,0,-20040
135,189340839875189005349,189340839875189005349,-20100
136,0,0,-20160
137,849485137641780881064,-849485137641780881064,-20220
138,266184132799322401799,266184132799322401799,-20280
139,0,0,-20340
140,0,0,-20400
141,433321643778141764167,-20834309617030214971,-20460
142,0,0,-20520
143,0,0,-20640
144,0,0,-20700
145,0,0,-20760
146,164699265901810049684,164699265901810049684,-20820
147,183081417920949664108,183081417920949664108,-20880
148,0,0,-21060
149,83884970745601763810,83884970745601763810,-21120
150,280694205821401353739,280694205821401353739,-21180
151,0,0,-21240
152,63858128082361867159,63858128082361867159,-21360
153,849485137641780881064,849485137641780881064,-21420
154,0,0,-21480
155,0,0,-21600
156,0,0,-21720
157,0,0,-21780
158,0,0,-21840
159,0,0,-21900
160,0,0,-21960
161,236417506764964614473,236417506764964614473,-22080
162,1195977975985131303416,1195977975985131303416,-22140
163,324903977432322144803,324903977432322144803,-22200
164,279971681420744567364,279971681420744567364,-22320
165,0,0,-22380
166,0,0,-22440
167,15468713211714704393,15468713211714704393,-22500
168,0,0,-22680
169,0,0,-22920
170,5389923085879194611,5389923085879194611,-22980
171,0,0,-23100
172,0,0,-23160
173,0,0,-23340
174,0,0,-23820
175,0,0,-24120
176,0,0,-24360
177,0,0,-24540
178,0,0,-24780
179,7227922246908416938,7227922246908416938,-24840
180,792754938116488134,792754938116488134,-25260
181,0,0,-25320
182,167249143159514713,167249143159514713,-25380
183,0,0,-25440
184,0,0,-25740
185,3386335264721784110,3386335264721784110,-25800
186,6587331654761951599,6587331654761951599,-25980
187,0,0,2640
188,0,0,-27240
189,0,0,-27360
190,0,0,-27780
191,0,0,-30480
192,0,0,-30780
193,0,0,-31020
194,0,0,-31200
195,2792799566307242359,2792799566307242359,-33540
196,0,0,-35640
197,0,0,-6900
198,0,0,-7500
199,0,0,-7860
200,167249143159514713,-167249143159514713,-8580
201,0,0,-9780
202,0,0,-9960
