,liquidityGross,liquidityNet,tickIdx
0,598735239585268148927,-598735239585268148927,0
1,52951972989695588923,52951972989695588923,107340
2,52951972989695588923,-52951972989695588923,108420
3,0,0,-115140
4,0,0,12540
5,12690036803955330695,-12690036803955330695,138180
6,3696311477245599196866,3696311477245599196866,15900
7,3696311477245599196866,-3696311477245599196866,15960
8,450969028355933324,-450969028355933324,16080
9,30121636135497971063,30121636135497971063,-161220
10,0,0,-20940
11,0,0,-22080
12,30121636135497971063,-30121636135497971063,23040
13,0,0,-30420
14,0,0,-38100
15,0,0,-38580
16,1531106908523973664,-1531106908523973664,-39120
17,1473054280312932406,-1473054280312932406,-44640
18,0,0,-45180
19,0,0,-45720
20,13788830084087573291,-13788830084087573291,-46080
21,102157262915930844813,-102157262915930844813,-49620
22,0,0,-50700
23,0,0,-5100
24,0,0,-5160
25,4557113868778861148,-4557113868778861148,-52980
26,0,0,-53460
27,0,0,-54240
28,23458868111533739524,-23458868111533739524,-54600
29,0,0,-54720
30,169712359222708714155,-169712359222708714155,-54900
31,112448959809546569882,-112448959809546569882,-55200
32,9901640123030148132,-9901640123030148132,-55920
33,150357496683813087402,-150357496683813087402,-56280
34,65809122942079461434,-65809122942079461434,-56580
35,0,0,-56820
36,31157586999197673951,-31157586999197673951,-57060
37,0,0,-57420
38,0,0,-57600
39,0,0,-57780
40,112621220890074342609,-112621220890074342609,-57900
41,0,0,-57960
42,141716878345081444846,-141716878345081444846,-58080
43,0,0,-58140
44,0,0,-58440
45,0,0,-58560
46,27129078944227598818,-27129078944227598818,-58680
47,0,0,-58800
48,0,0,-58980
49,0,0,-59100
50,14007122991514718492,-14007122991514718492,-59160
51,878444998984212547,-878444998984212547,-59460
52,0,0,-59520
53,0,0,-59880
54,579082759218529393221,-579082759218529393221,-59940
55,0,0,-60000
56,6720277874483003809,-6720277874483003809,-60300
57,68462985307567224811,-68462985307567224811,-60780
58,0,0,-60840
59,0,0,-60900
60,506050267539004416272,-506050267539004416272,-60960
61,14761433378796612128360,-14761433378796612128360,-61020
62,10483055882079745659,-10483055882079745659,-61080
63,0,0,-61200
64,0,0,-61260
65,12388186358673178957,-12388186358673178957,-61320
66,25874450930368807804,-25874450930368807804,-61380
