,liquidityGross,liquidityNet,tickIdx
0,54850788615782443455,-54850788615782443455,0
1,0,0,-16080
2,0,0,-23040
3,121551516351575087192,-121551516351575087192,-26700
4,0,0,-28140
5,0,0,-28620
6,0,0,-30000
7,0,0,-34020
8,0,0,-34080
9,21058887380716538863,-21058887380716538863,-34500
10,0,0,-35580
11,201676235326974881209,-201676235326974881209,-36120
12,0,0,-36780
13,369564578145435885264,-369564578145435885264,-36840
14,369564578145435885264,369564578145435885264,-37680
15,0,0,-37800
16,0,0,-38340
17,0,0,-38820
18,0,0,-39060
19,0,0,-39120
20,0,0,-39240
21,0,0,-39360
22,360185706944418004892,-360185706944418004892,-39420
23,0,0,-39540
24,0,0,-39960
25,0,0,-40440
26,89681411888759096455,-89681411888759096455,-40500
27,0,0,-40800
28,0,0,-40920
29,0,0,-40980
30,0,0,-41040
31,164244283402891872473,-164244283402891872473,-41100
32,0,0,-41220
33,125561793533267676658,-125561793533267676658,-41280
34,0,0,-41340
35,0,0,-41400
36,55594746733297379418,-55594746733297379418,-41460
37,0,0,-41820
38,509299116386105851091,-509299116386105851091,-41940
39,99958132971882362069,-99958132971882362069,-42000
40,0,0,-42060
41,238788731008298094287,-238788731008298094287,-42240
42,0,0,-42360
43,0,0,-42480
44,0,0,-42540
45,59563311243196306343,-59563311243196306343,-42600
46,0,0,-42660
47,0,0,-42720
48,0,0,-43080
49,10409410288623195575,-10409410288623195575,-43140
50,62615988865725063014,-62615988865725063014,-43200
51,0,0,-43260
52,0,0,-43320
53,0,0,-43500
54,0,0,-43560
55,0,0,-43740
56,0,0,-43800
57,0,0,-43860
58,632291985362574710557,-632291985362574710557,-43980
59,12666787012124200966,-12666787012124200966,-44160
60,283859011807715452722,-283859011807715452722,-44220
61,208875368550798112975,-208875368550798112975,-44280
62,0,0,-44340
63,177709463576883855558,-177709463576883855558,-44400
64,108078942249810597200,-108078942249810597200,-44460
65,0,0,-44700
66,0,0,-44760
67,0,0,-44820
68,0,0,-45000
69,0,0,-45060
70,0,0,-45120
71,0,0,-45180
72,0,0,-45240
73,187745187167286271299,-187745187167286271299,-45300
74,0,0,-45360
75,0,0,-45480
76,53488862373580755662,-53488862373580755662,-45540
77,0,0,-45600
78,0,0,-45660
