,liquidityGross,liquidityNet,tickIdx
0,3845240941487175445,3845240941487175445,-101200
1,0,0,-108800
2,3149260400548686928,-3149260400548686928,138200
3,0,0,-161200
4,0,0,-16600
5,0,0,-24600
6,0,0,-26800
7,37728023215096901667,-37728023215096901667,-27400
8,0,0,-30000
9,0,0,-30800
10,0,0,-32200
11,0,0,-34200
12,0,0,-34600
13,0,0,-35200
14,0,0,-36800
15,0,0,-37200
16,16622605911869610177,-16622605911869610177,-37800
17,0,0,-38000
18,0,0,-38800
19,0,0,-39000
20,0,0,-39200
21,582819013584521793442,-582819013584521793442,-39400
22,725423962260861885486,-725423962260861885486,-39600
23,0,0,-40000
24,684255623857230174636,-684255623857230174636,-40200
25,5520583006443808595,-5520583006443808595,-40400
26,0,0,-40600
27,0,0,-40800
28,84471944512860960706,-84471944512860960706,-41000
29,0,0,-41400
30,0,0,-41800
31,0,0,-42000
32,0,0,-42200
33,0,0,-42400
34,0,0,-42600
35,11986637628336011810,-11986637628336011810,-42800
36,75761682448734297310,-75761682448734297310,-43000
37,0,0,-43200
38,136923703350255025008,-136923703350255025008,-43400
39,0,0,-43600
40,0,0,-43800
41,401351627928248055889,-401351627928248055889,-44000
42,0,0,-44200
43,0,0,-44400
44,41815217041780233598,-41815217041780233598,-44600
45,43191885422340992092,-43191885422340992092,-44800
46,0,0,-45000
47,530770982304696024,-530770982304696024,-45200
48,2106125623738275602233,-2106125623738275602233,-45400
49,0,0,-45600
50,3722815100267338898260,-3722815100267338898260,-45800
51,3845240941487175445,-3845240941487175445,-46000
52,0,0,-46200
53,1527304534673120117922,-1527304534673120117922,-46400
54,0,0,-46600
55,295737211199465973,-295737211199465973,-46800
56,316332788847255801744,-316332788847255801744,-47000
57,26939321751404104985,-26939321751404104985,-47200
58,541506855276399831921,-541506855276399831921,-47400
59,699291826884945360507,-699291826884945360507,-47600
60,23529278912827557972,-23529278912827557972,-47800
61,184063374289058710923,-184063374289058710923,-48000
62,4187363633517165767147,-4187363633517165767147,-48200
63,1246717781439196139772,991068650583412329320,-48400
64,664589903575260708310,664589903575260708310,-48600
65,348335414114235045700,284330163580276557788,-48800
66,4638852807944183745916,4638852807944183745916,-49000
67,0,0,-49200
68,0,0,-49400
69,1570496420095461110014,1570496420095461110014,-49600
70,0,0,-49800
71,0,0,-50000
72,405282474216558090312,397420781639938021466,-50200
73,0,0,-50400
74,0,0,-50600
75,600107676371332995392,565530350797710591492,-50800
76,0,0,-51000
77,0,0,-51200
78,530770982304696024,530770982304696024,-51400
79,0,0,-51600
80,0,0,-51800
81,0,0,-52000
82,0,0,-52200
83,520911898383946208298,-520911898383946208298,-52400
84,0,0,-52600
85,0,0,-52800
86,461859290252794433211,-392455443633425128817,-53000
87,0,0,-53200
88,0,0,-53400
89,0,0,-53600
90,163910423497664747996,163910423497664747996,-53800
91,23747397083420651485322,-23627268079761963170410,-54000
92,617298891891356743170,-617298891891356743170,-54200
93,23687332581591307327866,23687332581591307327866,-54400
94,5729358972007390828,5729358972007390828,-54600
95,0,0,-54800
96,0,0,-55000
97,0,0,-55200
98,0,0,-55400
99,279957231930798848913,-279957231930798848913,-55600
100,136923703350255025008,136923703350255025008,-55800
101,200102987521912293785,200102987521912293785,-56000
102,0,0,-56200
103,0,0,-56400
104,11986637628336011810,11986637628336011810,-56600
105,38544868270508037528559,-38544868270508037528559,-56800
106,38762382381767691363110,38762382381767691363110,-57000
107,763151985475958787153,763151985475958787153,-57200
108,0,0,-57400
109,0,0,-57600
110,0,0,-57800
111,177523205658400882615,177523205658400882615,-58000
112,0,0,-58200
113,56084823169629185248,56084823169629185248,-58400
114,3068470417505861532601,3068470417505861532601,-58600
115,19676859279105112062,19676859279105112062,-58800
116,0,0,-59000
117,11300708713456489047,11300708713456489047,-59200
118,320808910862033914513,320808910862033914513,-59400
119,0,0,-59600
120,32120050025055063848,32120050025055063848,-59800
121,63678954524906350911,63678954524906350911,-60000
122,810163378493742191787,810163378493742191787,-60200
123,0,0,-60400
124,84767681724060426679,84767681724060426679,-60600
125,0,0,-60800
126,0,0,-61000
127,26939321751404104985,26939321751404104985,-61200
128,0,0,-61400
129,23529278912827557972,23529278912827557972,-61600
130,184063374289058710923,184063374289058710923,-61800
131,684255623857230174636,684255623857230174636,-62000
132,617298891891356743170,617298891891356743170,-62200
133,32002625266979243956,32002625266979243956,-62600
134,0,0,-62800
135,0,0,-63000
136,0,0,-63200
137,0,0,-63400
138,0,0,-63600
139,0,0,-63800
140,1075795889001934089228,1075795889001934089228,-64000
141,0,0,-64200
142,0,0,-64600
143,17288662786811201950,17288662786811201950,-64800
144,0,0,-65000
145,0,0,-65200
146,0,0,-65400
147,0,0,-65600
148,2735921501166508948,2735921501166508948,-65800
149,16622605911869610177,16622605911869610177,-66200
150,0,0,-67600
151,0,0,-68200
152,0,0,-69000
153,0,0,-70000
154,0,0,-70800
155,0,0,-76000
156,0,0,-80800
157,413338899382177980,413338899382177980,-84400
158,0,0,-85800
159,0,0,-86000
160,0,0,-86200
161,0,0,-88600
162,58033649135039632821,-58033649135039632821,887200
163,58033649135039632821,58033649135039632821,-887200
164,0,0,-92200
165,0,0,-94000
