,liquidityGross,liquidityNet,tickIdx
0,9252597249731538336,-9252597249731538336,0
1,0,0,-10020
2,1098514645545655544,-1098514645545655544,-1020
3,0,0,-10320
4,33364857056109267,33364857056109267,-103740
5,0,0,-10440
6,0,0,-10500
7,0,0,-10620
8,0,0,-1080
9,0,0,-10800
10,8583823050853068153,-8583823050853068153,-10920
11,0,0,-10980
12,0,0,-11100
13,0,0,1140
14,7436685387451410954,-7436685387451410954,-11400
15,0,0,-11520
16,0,0,-11580
17,0,0,-116160
18,0,0,-11700
19,0,0,-11760
20,0,0,-11880
21,0,0,-12000
22,618624443584697496,-618624443584697496,-12060
23,0,0,-12180
24,0,0,-12240
25,2159411125274678592,-2159411125274678592,-12300
26,0,0,-12360
27,0,0,-12420
28,270622602523052856,-270622602523052856,-12480
29,0,0,-12540
30,35047558239820460872703,-35047558239820460872703,-12720
31,12388342129223734098,-12388342129223734098,-12780
32,0,0,-12840
33,0,0,-12900
34,0,0,-12960
35,2031922578385666987,-2031922578385666987,-13080
36,0,0,-13320
37,0,0,-13440
38,0,0,-13500
39,4018351631860132478,-4018351631860132478,-13680
40,122882439327729,-122882439327729,-13740
41,0,0,-13800
42,60966619100935179,-60966619100935179,138180
43,15920489018322784822,-15920489018322784822,-13860
44,0,0,-13920
45,0,0,-13980
46,0,0,-14040
47,0,0,-14100
48,0,0,-14160
49,0,0,-14220
50,86818203111361616427989,-86818203111361616427989,-14280
51,0,0,-14340
52,15287873655264030498,-15287873655264030498,-14400
53,0,0,-14580
54,208825994307946295,208825994307946295,-146160
55,0,0,-14640
56,0,0,-14700
57,0,0,-14760
58,339810739687580475,339810739687580475,-14820
59,336760804879430218,-336760804879430218,-14880
60,86818203111361616427989,86818203111361616427989,-14940
61,20906913134134302388,-20906913134134302388,-15000
62,0,0,-15060
63,7109874232250641501,-7109874232250641501,-15120
64,7109874232250641501,7109874232250641501,-15180
65,0,0,-15240
66,0,0,-15300
67,1476090128304034943,-1476090128304034943,-15360
68,173688676455741266336,-173688676455741266336,-15420
69,0,0,-15480
70,173688676455741266336,173688676455741266336,-15540
71,1451440113135764,-1451440113135764,-15600
72,162022947396835,-162022947396835,-15660
73,592084803481474955275,-592084803481474955275,-15720
74,0,0,-15780
75,336760804879430218,336760804879430218,-15840
76,609962564516829019039,562750840043969532147,-15900
77,0,0,-15960
78,0,0,-16020
79,48127242959947821466,-48127242959947821466,-16080
80,2460771402071717,2460771402071717,-161160
81,0,0,-16140
82,0,0,-16200
83,24405483182426379282,-24405483182426379282,-16260
84,13216595226962069998,-13216595226962069998,-16320
85,0,0,-16380
86,45080861553892429110,-16644640711393675012,-16440
87,0,0,-16500
88,1476090128304034943,1476090128304034943,-16560
89,0,0,-16620
90,0,0,-16680
91,0,0,-16740
92,0,0,-16800
93,24405483182426379282,24405483182426379282,-16860
94,107600193162389960461,-107600193162389960461,-16920
95,0,0,-16980
96,59261806759727328032,-59261806759727328032,-17040
97,4018351631860132478,4018351631860132478,-17100
98,1254088654758640232,-1254088654758640232,-17160
99,0,0,-17220
100,3293136246949497420,-3293136246949497420,-17280
101,6576406983189572461,9865510709422379,-17340
102,371458208085111941413,-364891666612631791331,-17400
103,0,0,-17460
104,0,0,-17520
105,0,0,-17580
106,0,0,-17640
107,310553684230902564084,-304292809783039919022,-17700
108,9776283900515294014,-9776283900515294014,-17760
109,0,0,-17820
110,78015321711204351475,-78015321711204351475,-17880
111,102516332363213863015,-91938057471134913485,-17940
112,0,0,-18000
113,797295607483044275859,-797295607483044275859,-18060
114,801016866358178961317,781248101577907711449,-18120
115,1288084958001986109,1288084958001986109,-18180
116,0,0,-18240
117,4923187780871789396,4923187780871789396,-18300
118,779041872888283081,779041872888283081,-18360
119,0,0,-18420
120,2460771402071717,-2460771402071717,184560
121,4774083327660941052,-4774083327660941052,-18480
122,0,0,-18540
123,19797689434012260941,-19797689434012260941,-18600
124,0,0,-18660
125,0,0,-18720
126,480565056809567614,-480565056809567614,-18780
127,0,0,-18840
128,307423247006971241553,307423247006971241553,-18900
129,123240051691343111778,113731413936699011438,-18960
130,9290025638308422531,9290025638308422531,-19020
131,388053163916203028528,-388053163916203028528,-19080
132,0,0,-19140
133,1234943873756306197,1234943873756306197,-19200
134,0,0,-19260
135,0,0,-19320
136,0,0,-19380
137,86191060548676944222,-86191060548676944222,-19440
138,10520013916389869105,-10520013916389869105,-19500
139,0,0,-19560
140,20906913134134302388,20906913134134302388,-19620
141,23605862236429743446,23605862236429743446,-19680
142,0,0,-19740
143,0,0,-19800
