,liquidityGross,liquidityNet,tickIdx
0,0,0,161600
1,0,0,173200
2,0,0,174200
3,53170744433000,53170744433000,175200
4,0,0,175400
5,0,0,175600
6,0,0,177400
7,0,0,177600
8,0,0,177800
9,0,0,179000
10,53170744433000,-53170744433000,179200
11,0,0,179400
12,0,0,179600
13,0,0,179800
14,0,0,180000
15,0,0,180200
16,0,0,180400
17,0,0,180600
18,0,0,180800
19,0,0,181000
20,0,0,181200
21,0,0,181400
22,0,0,181600
23,0,0,181800
24,0,0,182000
25,0,0,182200
26,0,0,182400
27,523931440727925,523931440727925,182600
28,0,0,182800
29,0,0,183000
30,25472108114833,25472108114833,183200
31,0,0,183400
32,0,0,183600
33,0,0,183800
34,577513677977063,577513677977063,184000
35,47846337947646,47846337947646,184200
36,0,0,184400
37,0,0,184600
38,0,0,184800
39,0,0,185000
40,537430366976628,537430366976628,185200
41,562228181595619,562228181595619,185400
42,163884770814209,163884770814209,185600
43,0,0,185800
44,0,0,186000
45,1312349702480384,1312349702480384,186200
46,0,0,186400
47,0,0,186600
48,78687165493395,78687165493395,186800
49,669008832791310,669008832791310,187000
50,0,0,187200
51,245586260323835,245586260323835,187400
52,19391323301164,19391323301164,187600
53,0,0,187800
54,2801045417353521,2801045417353521,188000
55,4242810826263622,4242810826263622,188200
56,1491955017374100,1491955017374100,188400
57,41108808750072818,41108808750072818,188600
58,0,0,188800
59,195696866705908,195696866705908,189000
60,12626773181588616,12626773181588616,189200
61,9379421962481614,9379421962481614,189400
62,2166643216929768,2166643216929768,189600
63,43305177270614966,43305177270614966,189800
64,72203205328783917,72203205328783917,190000
65,195340485396491611,195340485396491611,190200
66,630136330498132,630136330498132,190400
67,170409601996348806,-44544067411808844,190600
68,78397915675107771,-78397915675107771,190800
69,0,0,191000
70,1335581897441614,-546299829895224,191200
71,55992766441327236,-55992766441327236,191400
72,63197271230066325,-62668263354473637,191600
73,41154613616864680,-41063003883280956,191800
74,1087824285845360,-1087824285845360,192000
75,2381189762177194,-2381189762177194,192200
76,39045422087752463,-39045422087752463,192400
77,4108467664931983,-4108467664931983,192600
78,9131548452749954,-9131548452749954,192800
79,267707535102507,267707535102507,193000
80,549268913039973,-549268913039973,193200
81,4756364145877790,-4756364145877790,193400
82,195696866705908,-195696866705908,193600
83,0,0,193800
84,889818697740808,-889818697740808,194000
85,844114087301406,-844114087301406,194200
86,33640924704862463,-33476912209664753,194400
87,0,0,194600
88,0,0,194800
89,1590859404331038,-1590859404331038,195000
90,267707535102507,-267707535102507,195200
91,0,0,195400
92,0,0,195600
93,0,0,195800
94,45804866791862,-45804866791862,196000
95,0,0,196200
96,0,0,196400
97,303812337076027,-303812337076027,196600
98,943816447555562,-943816447555562,196800
99,25472108114833,-25472108114833,197000
100,0,0,197200
101,0,0,197400
102,1067339371217227,-1067339371217227,197600
103,0,0,197800
104,1002129324133936,-1002129324133936,198000
105,47846337947646,-47846337947646,198200
106,2466410698325007,-2466410698325007,198400
107,326323993422105,-326323993422105,198600
108,0,0,198800
109,0,0,199000
110,0,0,199200
111,163884770814209,-163884770814209,199400
112,0,0,199600
113,0,0,199800
114,1278728589134052,-1278728589134052,200000
115,298125051142676,-298125051142676,200200
116,0,0,200400
117,82006247598855,-82006247598855,200600
118,669008832791310,-669008832791310,200800
119,13347735089786,-13347735089786,201000
120,245586260323835,-245586260323835,201200
121,0,0,201400
122,0,0,202200
123,19391323301164,-19391323301164,202400
124,0,0,202600
125,0,0,203000
126,0,0,204000
127,0,0,205600
128,0,0,206800
129,0,0,208400
130,0,0,214200
131,0,0,224400
132,0,0,227000
133,0,0,-23000
134,0,0,345000
135,0,0,345400
136,13347735089786,13347735089786,69000
137,0,0,-7000
138,1355934866701,-1355934866701,887200
139,1355934866701,1355934866701,-887200
