,liquidityGross,liquidityNet,tickIdx
0,0,0,101220
1,10234711759583888,10234711759583888,101280
2,0,0,101760
3,0,0,102180
4,0,0,102960
5,0,0,103080
6,0,0,103500
7,0,0,103680
8,0,0,103740
9,0,0,103860
10,0,0,103920
11,0,0,103980
12,0,0,104040
13,0,0,104160
14,0,0,104340
15,0,0,104460
16,0,0,104640
17,0,0,104760
18,0,0,104820
19,0,0,104880
20,0,0,105060
21,0,0,105120
22,8380058758790534,8380058758790534,105240
23,0,0,105420
24,0,0,105540
25,0,0,105600
26,0,0,105720
27,0,0,105840
28,96624705608575835,96624705608575835,105960
29,0,0,106020
30,4089237190880460,4089237190880460,106080
31,0,0,106140
32,0,0,106200
33,0,0,106320
34,0,0,106380
35,0,0,106440
36,0,0,106500
37,0,0,106560
38,0,0,106620
39,0,0,106740
40,0,0,107040
41,0,0,107160
42,3941526445019130,3941526445019130,107220
43,0,0,107280
44,0,0,107400
45,0,0,107520
46,0,0,107640
47,0,0,107700
48,0,0,107760
49,0,0,108060
50,0,0,108120
51,12545012631049691,-7924410888118085,108180
52,0,0,108240
53,0,0,108360
54,0,0,108720
55,0,0,108840
56,0,0,108900
57,0,0,108960
58,0,0,109020
59,0,0,109080
60,0,0,109140
61,0,0,109200
62,2593030475759737,2593030475759737,109260
63,0,0,109320
64,0,0,109380
65,0,0,109500
66,0,0,109560
67,0,0,109620
68,0,0,109800
69,0,0,109860
70,0,0,109980
71,201664531601601,201664531601601,110040
72,0,0,110100
73,0,0,110160
74,0,0,110220
75,0,0,110280
76,0,0,110340
77,0,0,110400
78,0,0,110460
79,0,0,110520
80,0,0,110640
81,0,0,110880
82,0,0,110940
83,0,0,111000
84,0,0,111060
85,0,0,111180
86,0,0,111240
87,0,0,111300
88,0,0,111480
89,0,0,111540
90,0,0,111600
91,0,0,111660
92,0,0,111780
93,0,0,111840
94,0,0,111900
95,4513183383843934,4513183383843934,111960
96,0,0,112020
97,0,0,112080
98,0,0,112140
99,0,0,112200
100,0,0,112260
101,0,0,112320
102,0,0,112440
103,0,0,112500
104,0,0,112560
105,0,0,112620
106,0,0,112740
107,0,0,112860
108,0,0,112920
109,0,0,112980
110,0,0,113040
111,0,0,113280
112,0,0,113340
113,0,0,113460
114,0,0,113580
115,0,0,113640
116,0,0,113760
117,0,0,114000
118,0,0,114060
119,0,0,114120
120,0,0,114180
121,0,0,114240
122,0,0,114300
123,0,0,114600
124,0,0,114660
125,0,0,114720
126,0,0,114780
127,1464936005749562,1464936005749562,114840
128,0,0,115020
129,0,0,115080
130,0,0,115140
131,0,0,115200
132,0,0,115260
133,0,0,115320
134,0,0,115380
135,0,0,115440
136,7468792919061318,7468792919061318,115560
137,0,0,115800
138,0,0,115980
139,0,0,116100
140,0,0,116220
141,0,0,116280
142,0,0,116340
143,0,0,116460
144,0,0,116520
145,0,0,116640
146,0,0,116760
147,0,0,116880
148,0,0,116940
149,0,0,117300
150,0,0,117360
151,0,0,117420
152,0,0,117480
153,0,0,117540
154,0,0,117600
155,0,0,117780
156,0,0,117840
157,0,0,117900
158,0,0,118200
159,0,0,118260
160,0,0,118320
161,0,0,118380
162,0,0,118440
163,0,0,118500
164,0,0,118620
165,0,0,118680
166,0,0,118740
167,0,0,118800
168,0,0,118860
169,0,0,118920
170,0,0,119100
171,0,0,119160
172,0,0,119220
173,0,0,119280
174,0,0,119340
175,0,0,119400
176,0,0,119460
177,0,0,119580
178,0,0,119700
179,42688321284579653,42688321284579653,119820
180,0,0,119880
181,0,0,119940
182,0,0,120000
183,0,0,120240
184,0,0,120360
185,0,0,120540
186,0,0,120600
187,0,0,120900
188,0,0,121200
189,0,0,121260
190,96624705608575835,-96624705608575835,121320
191,0,0,121380
192,0,0,121440
193,0,0,121500
194,0,0,121560
195,0,0,121620
196,3283518361787207,3283518361787207,121680
197,0,0,121740
198,0,0,121800
199,0,0,121920
200,0,0,121980
201,0,0,122040
202,0,0,122100
203,0,0,122160
204,0,0,122220
205,0,0,122280
206,0,0,122340
207,0,0,122400
208,2708735017131222,2708735017131222,122460
209,26813812496312996,26813812496312996,122520
210,0,0,122580
211,0,0,122640
212,0,0,122700
213,0,0,122820
214,0,0,122940
215,0,0,123000
216,0,0,123060
217,0,0,123120
218,0,0,123180
219,0,0,123240
220,0,0,123300
221,0,0,123360
222,0,0,123480
223,0,0,123660
224,0,0,123720
225,0,0,123780
226,0,0,123840
227,0,0,123900
228,0,0,123960
229,0,0,124020
230,0,0,124080
231,0,0,124140
232,0,0,124200
233,0,0,124260
234,48846084411787950,48846084411787950,124320
235,0,0,124380
236,0,0,124440
237,0,0,124500
238,0,0,124560
239,0,0,124620
240,0,0,124680
241,0,0,124800
242,0,0,124860
243,0,0,124920
244,0,0,124980
245,0,0,125040
246,0,0,125100
247,0,0,125220
