,liquidityGross,liquidityNet,tickIdx
0,0,0,0
1,0,0,-104100
2,0,0,-105360
3,0,0,-107040
4,0,0,-110280
5,0,0,-111780
6,1249560850404520658307,-1249560850404520658307,-111840
7,265607325052077176448,-265607325052077176448,-112380
8,0,0,-112440
9,22273691234047393182220,-22273691234047393182220,-112500
10,0,0,-113340
11,0,0,-114120
12,0,0,-114180
13,0,0,-114660
14,5202071682981822347307,-5202071682981822347307,-114720
15,268102691393673146814825,-268102691393673146814825,-114840
16,0,0,-114900
17,1284028495380831386631463,-1284028495380831386631463,-115140
18,0,0,-115440
19,0,0,-115560
20,0,0,-116160
21,0,0,-116400
22,0,0,-116520
23,56437737701468094269904,-56437737701468094269904,-116700
24,0,0,-116760
25,0,0,-116820
26,0,0,-116880
27,0,0,-117000
28,882968576203322232676,-882968576203322232676,-117060
29,0,0,-117120
30,0,0,-117180
31,4889564820938884245746,-4889564820938884245746,-117300
32,0,0,-117360
33,0,0,-117600
34,0,0,-117660
35,0,0,-117720
36,0,0,-117780
37,0,0,-117840
38,0,0,-117900
39,0,0,-117960
40,0,0,-118020
41,0,0,-118140
42,0,0,-118260
43,0,0,-118320
44,0,0,-118440
45,0,0,-118500
46,0,0,-118620
47,0,0,-118680
48,0,0,-118800
49,0,0,-118860
50,0,0,-118920
51,0,0,-119040
52,0,0,-119100
53,0,0,-119160
54,0,0,-119220
55,0,0,-119340
56,0,0,-119580
57,0,0,-119640
58,0,0,-119880
59,0,0,-119940
60,0,0,-120000
61,0,0,-120060
62,0,0,-120120
63,0,0,-120180
64,0,0,-120240
65,0,0,-120300
66,98375038286361213764,-98375038286361213764,-120360
67,0,0,-120480
68,0,0,-120540
69,0,0,-120600
70,0,0,-120660
71,0,0,-120720
72,0,0,-120780
73,0,0,-120840
74,0,0,-120900
75,0,0,-120960
76,0,0,-121020
77,0,0,-121080
78,0,0,-121140
79,0,0,-121260
80,0,0,-121320
81,0,0,-121380
82,0,0,-121440
83,0,0,-121500
84,0,0,-121560
85,0,0,-121620
86,0,0,-121680
87,0,0,-121800
88,0,0,-121860
89,0,0,-121920
90,0,0,-121980
91,0,0,-122040
92,0,0,-122160
93,0,0,-122220
94,0,0,-122280
95,22273691234047393182220,22273691234047393182220,-122340
96,0,0,-122400
97,0,0,-122460
98,0,0,-122520
99,134009211541709516833741,-134009211541709516833741,-122580
100,722686734761829084454074,-186481351974482790824424,-122640
101,0,0,-122700
102,0,0,-122760
103,0,0,-122820
104,0,0,-122940
105,0,0,-123000
106,0,0,-123060
107,98375038286361213764,98375038286361213764,-123120
108,0,0,-123180
109,0,0,-123240
110,3745384982345996098362,3745384982345996098362,-123300
111,0,0,-123360
112,0,0,-123420
113,0,0,-123480
114,0,0,-123540
115,0,0,-123600
116,56437737701468094269904,56437737701468094269904,-123720
117,105401977433193895745207,-105401977433193895745207,-123780
118,0,0,-123900
119,0,0,-123960
120,0,0,-124020
121,0,0,-124080
122,0,0,-124140
123,0,0,-124200
124,0,0,-124260
125,0,0,-124320
126,882968576203322232676,882968576203322232676,-124380
127,0,0,-124560
128,0,0,-124620
129,0,0,-124680
130,134009211541709516833741,134009211541709516833741,-124920
131,0,0,-124980
132,0,0,-125040
133,0,0,-125100
134,0,0,-125280
135,0,0,-125340
136,0,0,-125400
137,0,0,-125460
138,0,0,-125580
139,0,0,-125760
140,0,0,-125820
141,0,0,-125880
142,0,0,-125940
143,0,0,-126000
144,265607325052077176448,265607325052077176448,-126240
145,0,0,-126420
146,0,0,-126540
147,105401977433193895745207,105401977433193895745207,-126900
148,0,0,-127080
149,7129727920569952359116,7129727920569952359116,-127200
150,454584043368155937639249,454584043368155937639249,-127260
151,0,0,-127320
152,1275261243355867502903316,1275261243355867502903316,-127680
153,0,0,-128040
154,0,0,-128100
155,0,0,-128520
156,5202071682981822347307,5202071682981822347307,-128580
157,0,0,-128880
158,0,0,-129060
159,0,0,-129240
160,0,0,-129300
161,0,0,-129600
162,1144179838592888147384,1144179838592888147384,-129720
163,0,0,-129840
164,0,0,-129900
165,0,0,-130500
166,0,0,-130980
167,1637524104393931369031,1637524104393931369031,-131220
168,0,0,-131700
169,1249560850404520658307,1249560850404520658307,-137220
170,0,0,138180
171,0,0,-183420
172,0,0,184620
173,0,0,194820
174,0,0,-215640
175,236592246264706773493,-236592246264706773493,887220
176,236592246264706773493,236592246264706773493,-887220
177,0,0,-95520
